ID,question,label,answerA,answerB,answerC,answerD,answerE
3R6RZGK0XHQY1QZ9EXMKNQGVHU3YV6-1,"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was susceptible to allergies.",E,Amy,Tanya,Joel,Rebecca,Elena
3HJ1EVZS2OHQYRMXWUCK4177UA4R37-1,"Rebecca picked up Amy to carpool to work every day, so _ asked for some gas money.",A,Rebecca,Aaron,Robert,Amy,Craig
3HJ1EVZS2OHQYRMXWUCK4177UA4R37-2,"Rebecca picked up Amy to carpool to work every day, so _ offered some gas money.",E,Rebecca,Mary,brown,Aaron,Amy
3BDORL6HKKBEBRIGPNNLX4B158XCRH-1,Jennifer discreetly admitted to Erin that she didn't know how to apply eye shadow.  _ was embarrassed.,D,Erin,Michael,Rebecca,Jennifer,Lawrence
39WSF6KUV2JQBCAETMCCTX6ZAD1OEF-2,"Once in Poland, Dennis enjoyed the trip more than Jason because _ had a shallow understanding of the Polish language.",E,William,Dennis,voice,Monica,Jason
39WSF6KUV2JQBCAETMCCTX6ZAD1OEF-1,"Once in Poland, Dennis enjoyed the trip more than Jason because _ had a deeper understanding of the Polish language.",B,Jason,Dennis,coach,Donald,William
3CMV9YRYP5F5AWSGETJBQU35DCRLJJ-1,"The house Benjamin designed for Joseph was beautiful, so _ used it in his portfolio.",B,Joseph,Benjamin,Matthew,Christine,Cynthia
3CMV9YRYP5F5AWSGETJBQU35DCRLJJ-2,"The house designed for Benjamin by Joseph was beautiful, so _ used it in his portfolio.",B,Benjamin,Joseph,Cynthia,Jeffrey,Jennifer
3MDKGGG61QL2BPM7JLFDBJK9SLJ6TJ-2,Natalie thinks emeralds are beautiful gems but Betty does not. _ bought a necklace featuring a big diamond.,C,Amy,doll,Betty,Craig,Natalie
3MDKGGG61QL2BPM7JLFDBJK9SLJ6TJ-1,Natalie thinks emeralds are beautiful gems but Betty does not. _ bought a necklace featuring a big emerald.,D,Steven,Betty,Joseph,Natalie,Joel
3XEIP58NL21VABXKWFMXEORVWA4ZLI-1,Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  _ was happy for him.,A,Aaron,Benjamin,Kayla,Lawrence,Matthew
3XEIP58NL21VABXKWFMXEORVWA4ZLI-2,Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  _ was happy for himself.,E,Neil,Joseph,Robert,Aaron,Benjamin
3K3G488TR26T05U1XYBDE8VMH5FQ5S-2,"Kevin is far more physically versatile than Nick, because _ is an injured athlete in bed.",C,Megan,Kyle,Nick,Kevin,Jessica
3K3G488TR26T05U1XYBDE8VMH5FQ5S-1,"Kevin is far more physically versatile than Nick, because _ is a seasoned athlete in training.",C,Jason,Randy,Kevin,Christopher,Nick
3DQYSJDTYL9D5LO6UDZ8CAXSMH5XES-2,Adam put handwash only clothes in the washer but Aaron washed them by hand as _ was conscientious.,C,Adam,Natalie,Aaron,Joseph,Brett
3QGHA0EA0JY09I7WAH1W9JD0AKWWBC-2,Kyle loves the flavor of apricots but Matthew likes plums better. _ couldn't wait for plum season.,C,Logan,Kyle,Matthew,Christopher,Rachel
3QGHA0EA0JY09I7WAH1W9JD0AKWWBC-1,Kyle loves the flavor of apricots but Matthew likes plums better. _ couldn't wait for apricot season.,E,Carrie,Brian,Jason,Matthew,Kyle
3RTFSSG7T84CMRT81UQQNM95RWELWX-1,"Derrick was unable to stay focused at work unlike Justin, because _ had a boring job.",E,Ryan,Justin,Kevin,Steven,Derrick
3Z33IC0JC0K460SUMNI4WBZWKULV9S-2,"Avery was debating on taking up German instead of Latin, because the _ was newer.",B,Indian restaurant,German,french restaurant,french,Latin
31JUPBOORN21WQXQ3RAK966J43ML8G-2,"Kayla dated many more people at once than Betty, because _ was in an open relationship.",A,Betty,Samantha,Kayla,Megan,doll
31JUPBOORN21WQXQ3RAK966J43ML8G-1,"Kayla dated many more people at once than Betty, because _ was in an exclusive relationship.",E,Aaron,Kyle,Rachel,Betty,Kayla
3WKGUBL7SZK0DPAOROK7SUQE73EL4A-1,Steven proudly showed Michael the mangoes he grew himself all this summer.  _ is hardworking.,B,Derrick,Steven,Kenneth,Rebecca,Michael
3WKGUBL7SZK0DPAOROK7SUQE73EL4A-2,Steven proudly showed Michael the mangoes he grew himself all this summer.  _ is astonished.,B,Jessica,Michael,Mary,Carrie,Steven
3QGTX7BCHRGH8MUZ4S6QXZVYAK4Z5U-1,"The letter that Joel has written is being read by Adam, so _ is the writer.",A,Joel,Eric,Cynthia,Adam,Aaron
3P4ZBJFX2XH5GOIJZHZSK7STICEFW3-1,"Kyle was more comfortable speaking in front of large groups than Nick, because _ had taken public speaking courses in college.",D,Eric,Christopher,Amy,Kyle,Nick
3P4ZBJFX2XH5GOIJZHZSK7STICEFW3-2,"Kyle was more comfortable speaking in front of large groups than Nick, because _ was not able to take public speaking courses in college.",E,Michael,Kyle,Joel,Robert,Nick
34OWYT6U3WFZKU8UNGJLHM92CQ3I9S-1,In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. _ was very free with showing their body.,E,Kayla,Christine,Felicia,Lawrence,Emily
3WPCIUYH1A61WY1MT8NRHPU19DUTDY-1,"Joseph had to have well manicured nails for work, but not Kevin, because _ worked at a bank.",C,Kevin,Christopher,Joseph,Jeffrey,Samantha
3WPCIUYH1A61WY1MT8NRHPU19DUTDY-2,"Joseph had to have well manicured nails for work, but not Kevin, because _ worked at a farm.",B,Amy,Kevin,Joseph,Ian,coach
3XAOZ9UYR1596CSPG9L13G6DTFDQ10-2,"While out playing golf, Dennis fell in the mud, but Christopher kept their balance because _ had spiked shoes on.",B,Steven,Christopher,Lawrence,Jason,Dennis
3XAOZ9UYR1596CSPG9L13G6DTFDQ10-1,"While out playing golf, Dennis fell in the mud, but Christopher kept their balance, because _ had slippery shoes on.",B,Christopher,Dennis,Natalie,Lindsey,Samantha
3R6RZGK0XHQY1QZ9EXMKNQGWJ4SVYG-1,"Leslie was fascinated with collecting new shoes compared to Derrick, because _ loved fashion trends.",B,Derrick,Leslie,Brett,Aaron,Samantha
3R6RZGK0XHQY1QZ9EXMKNQGWJ4SVYG-2,"Leslie was fascinated with collecting new shoes compared to Derrick, because _ hated fashion trends.",D,Steven,Leslie,Craig,Derrick,coach
3SU800BH886PF9JNIXVLEIBA4ORQU4-2,Jessica thought Sandstorm was the greatest song ever written but Patricia hated it. _ bought a ticket to the jazz concert.,B,Cynthia,Patricia,Jessica,Robert,Joseph
3SU800BH886PF9JNIXVLEIBA4ORQU4-1,Jessica thought Sandstorm was the greatest song ever written but Patricia hated it. _ bought a ticket to the Darude rave.,C,Patricia,Jason,Jessica,Joseph,Laura
3J94SKDEKINZBWQWSC5TE9ONT9BD5S-1,Nick had a bigger dog than Craig because _ fed their dog much more food.,D,Craig,Laura,Eric,Nick,Joel
3J94SKDEKINZBWQWSC5TE9ONT9BD5S-2,Nick had a smaller dog than Craig because _ fed their dog much more food.,A,Craig,coach,Nick,Joel,Samantha
33CLA8O0MI9LE32QGPDM5AW4X5DRFU-1,There was more shade in the yard of Christine than there was in the yard of Victoria because _ had more plants.,A,Christine,Joseph,Neil,Victoria,Lindsey
3OND0WXMHYTVDKNY97TM1MX6R3AHE7-2,Kyle loves chocolate and candy and Steven loves pickles and lemons. _ loves sour foods.,C,Kevin,Jeffrey,Steven,Lawrence,Kyle
3OND0WXMHYTVDKNY97TM1MX6R3AHE7-1,Kyle loves chocolate and candy and Steven loves pickles and lemons. _ loves sweet foods.,A,Kyle,Steven,Logan,Natalie,Neil
3MA5N0ATTC912LBQGUEP8MWQ2XXKWJ-2,"Since Benjamin ate unhealthy desserts far more frequently than Brett, _ had strong will power.",E,Christopher,Steven,Benjamin,Jeffrey,Brett
3MA5N0ATTC912LBQGUEP8MWQ2XXKWJ-1,"Since Benjamin ate unhealthy desserts far more frequently than Brett, _ had weak will power.",B,Joel,Benjamin,Nelson,Brian,Brett
3QHITW7OYO7Q6B6ISU2UMJB89I2AQ2-1,Eric asked Michael on a date to go to the movies on Friday night because _ was very confident.,D,Sarah,Michael,Christopher,Eric,Kevin
3QHITW7OYO7Q6B6ISU2UMJB89I2AQ2-2,Eric asked Michael on a date to go to the movies Friday night because _ was very attractive.,E,Amy,Eric,Jessica,Nick,Michael
3M4KL7H8KVL125AYH2V35D1E5OH167-2,"Amy hated the smell of bleach, but still Kayla used it all the time to clean so _ tries to use it less.",D,Rebecca,Cynthia,Natalie,Kayla,Amy
3M4KL7H8KVL125AYH2V35D1E5OH167-1,"Amy hated the smell of bleach, but still Kayla used it all the time to clean so _ always leaves the house.",A,Amy,Kayla,Kayla,Donald,Rebecca
3R5OYNIC2C7ALV4CYHEMHJBQSB1PTB-2,Eric looked at Neil in shock and started to react violently because _ lied to him.,A,Neil,Natalie,Rachel,Eric,Kyle
3R5OYNIC2C7ALV4CYHEMHJBQSB1PTB-1,Eric looked at Neil in shock and started to react violently because _ felt betrayed.,C,Joel,Neil,Eric,Rebecca,Ryan
3PN6H8C9R4OWH22DN8WAMK49Q47DAW-2,"Matthew made sure to use an oil lubricant when expanding his piercing, unlike Jeffrey, so the painful experience from _ made a lot of sense.",B,Craig,Jeffrey,Matthew,Rebecca,Donald
3PN6H8C9R4OWH22DN8WAMK49Q47DAW-1,"Matthew made sure to use an oil lubricant when expanding his piercing, unlike Jeffrey, so the agreeable experience from _ made a lot of sense.",E,Nelson,Amy,Jeffrey,Jason,Matthew
3XWUWJ18TN4H72Q4Z6FQOJ8Z7XHUU9-2,Samantha brought a get well card to the hospital but Emily forgot to because _ was preoccupied.,D,Logan,Samantha,Jason,Emily,Ryan
3XWUWJ18TN4H72Q4Z6FQOJ8Z7XHUU9-1,Samantha brought a get well card to the hospital but Emily forgot to because _ was thoughtful.,D,Natalie,Lawrence,Angela,Samantha,Emily
3ZXNP4Z39TZCQ1REDKUEN4YXNY17L9-1,Jessica took off the gloves and gave them to Katrina because _ 's hands were warm.,A,Jessica,Kevin,Katrina,Monica,Carrie
306W7JMRYYWPJHBECELQV3AESDU8BA-2,"The lawsuit bankrupted the company, causing Megan to be let go from their job while Mary was promoted. _ felt relieved and elated.",B,Laura,Mary,Megan,Samuel,Joel
306W7JMRYYWPJHBECELQV3AESDU8BA-1,"The lawsuit bankrupted the company, causing Megan to be let go from their job while Mary was promoted. _ felt depressed and hopeless.",B,Lawrence,Megan,Logan,Mary,Natalie
3NZ1E5QA61FLQORJYEQNBHOVJVI5BM-1,Michael wanted to take Craig out on the water in his new boat. _ said it would be fun to show him the ropes.,A,Michael,Laura,king,Craig,Eric
3NZ1E5QA61FLQORJYEQNBHOVJVI5BM-2,Michael wanted to take Craig out on the water in his new boat. _ said it would be confusing to see how the boat works.,E,Michael,Betty,Michael,Brett,Craig
3LAZVA75NIPYGWYY02HBRWXADAS2O8-1,"Come over here and take a look at my scalp today  Natalie told Katrina, _ needs a second opinion.",E,Mary,Katrina,Ryan,Aaron,Natalie
3I7KR83SNCR5KEXP7HGXM0COUXGK9A-1,"Laura always had more motivation in life and achieving goals than Katrina, as _ was optimistic.",D,Cynthia,Katrina,Patricia,Laura,Megan
3O4VWC1GEW49033KOP3B2ALGKZ73J0-1,Brian wanted to be a home based administrative assistant and Kenneth didn't because _ liked staying at home.,E,Kenneth,Samuel,Rachel,Aaron,Brian
3O4VWC1GEW49033KOP3B2ALGKZ73J0-2,Brian wanted to be a home based administrative assistant and Kenneth didn't because _ did not like staying at home.,C,Joel,Steven,Kenneth,Christine,Brian
3B6F54KMR2A6P38VOFY66IX6ND11SG-2,"Brian had a large collection of coins that Kevin really admired, so _ asked him for some duplicates.",A,Kevin,Nick,Brian,Samuel,Craig
3B6F54KMR2A6P38VOFY66IX6ND11SG-1,"Brian had a large collection of coins that Kevin really admired, so _ offered him some duplicates.",A,Brian,Samantha,Amy,Kevin,Kevin
3APP19WN73SD09Z8JJS64YTSV1P6GK-2,"William forgot about all the times when Ian saved them, despite how _ was generally self-sacrificing.",C,William,Ryan,Ian,Jason,Nick
3APP19WN73SD09Z8JJS64YTSV1P6GK-1,"William forgot about all the times when Ian saved them, because _ was generally self-involved.",B,Ian,William,Laura,Samantha,Brian
3HEA4ZVWVF0J18AAX4ZA8VO39BB55O-2,Jason denied Ian's passport application because _ did not provide the correct paperwork in time.,C,Nick,Elena,Ian,Jason,Kevin
3HEA4ZVWVF0J18AAX4ZA8VO39BB55O-1,Jason denied Ian's passport application because _ did not receive the correct paperwork in time.,B,Samuel,Jason,Robert,Ian,Rebecca
32L724R85LIKCHO145FI3C9HHSMIPK-2,I wanted a combination of Vanilla and tea tree essence scents but it smelled like Vanilla because the _ essence was too weak.,D,stick,Vanilla,coconut,tea tree,soap
32L724R85LIKCHO145FI3C9HHSMIPK-1,I wanted a combination of Vanilla and tea tree essence scents but it smelled like Vanilla because the _ essence was too strong.,B,brownies,Vanilla,milk,tea tree,cakes
3I4E7AFQ2KXEZK1E3492KNPEER2TJB-1,"Kyle thought the temperature was too warm while William thought it was too cold, so _ turned the heat down.",E,Samantha,Eric,Christopher,William,Kyle
3I4E7AFQ2KXEZK1E3492KNPEER2TJB-2,"Kyle thought the temperature was too warm while William thought it was too cold, so _ turned the heat up.",A,William,Michael,Jennifer,Kyle,Dennis
3PIOQ99R7YKPIN7OI7R4IQSX6RPUNM-2,"William wanted an egg for breakfast, but Kevin ate the last one, so _ had to give them cereal.",B,William,Kevin,Steven,Joseph,Joel
3PIOQ99R7YKPIN7OI7R4IQSX6RPUNM-1,"William wanted an egg for breakfast, but Kevin ate the last one, so _ had to eat cereal.",D,Kevin,Kevin,Rebecca,William,Eric
3JY0Q5X05LKFX2OEVW1SGP6IQKYGGF-2,Justin wrote a paragraph in his planner every day unlike Matthew because _ was disorganized.,C,Justin,Joseph,Matthew,Mary,Jason
30Y6N4AHYPUOGJOUPJIWHATJQ9LDRW-1,Since _ arrived at work sooner Dennis would eat their lunch before Adam in the break room at their job.,A,Dennis,Christine,Joseph,Adam,Natalie
3ZFRE2BDQ9CBGGF2Q0DLXKYAANVZXH-1,"The stomach of Neil was rumbling, but Samuel seemed fine, due to _ being hungry.",E,Samuel,Randy,Eric,Benjamin,Neil
3ZFRE2BDQ9CBGGF2Q0DLXKYAANVZXH-2,"The stomach of Neil was rumbling, but Samuel seemed fine, due to _ being satiated.",A,Samuel,Christine,Kenneth,Neil,Laura
3MDWE879UJG4RBTV1434NXTX5R0B9I-2,After Logan contracted the chickenpox from Joseph so _ spent the day sending nice texts about it.,A,Joseph,Laura,Brian,Logan,Mary
3MDWE879UJG4RBTV1434NXTX5R0B9I-1,After Logan contracted the chickenpox from Joseph so _ spent the day sending mean texts about it.,C,Laura,Carrie,Logan,Joseph,Eric
3MDWE879UJG4RBTV1434NXTX5T39BN-2,The experience was totally unforgettable for Betty but not Samantha because _ had dreaded it for months.,C,Megan,Patricia,Samantha,Samuel,Betty
3MDWE879UJG4RBTV1434NXTX5T39BN-1,The experience was totally unforgettable for Betty but not Samantha because _ had anticipated it for months.,C,Rebecca,Samantha,Betty,Natalie,Megan
3YGYP13643NCWKEEYB8Z5DTLS2KNR6-1,Kyle got a new cell phone and showed it to Leslie because _ was happy about the new phone.,B,Leslie,Kyle,Amy,coach,Randy
3YGYP13643NCWKEEYB8Z5DTLS2KNR6-2,Kyle got a new cell phone and showed it to Leslie but _ was upset about the new phone.,C,Rebecca,Joel,Leslie,Kyle,Aaron
3YLPJ8OXXARA78QKP5ZVVM9A3A94X6-2,"When one experiences cramps they can get into a warm bath or use a heating pad, but the _ is more convenient.",D,bath,reusable bag,desk,heating pad,truck
3ZQX1VYFTD392B0NGJQC1NAD4V4O8S-1,"Neil agreed to help wash Adam's large dog, and _ was very eager to help.",A,Neil,Nelson,Michael,William,Adam
3L60IFZKF5W7XUE0Z81SMPUKLT4HHD-2,"Cricket is a favorite past time of Lindsey, while Rachel has never heard of it. _ is more likely to be American.",D,Lindsey,Neil,Kayla,Rachel,Mary
3L60IFZKF5W7XUE0Z81SMPUKLT4HHD-1,"Cricket is a favorite past time of Lindsey, while Rachel has never heard of it. _ is more likely to be British.",B,Dennis,Lindsey,Carrie,Rachel,Natalie
3K8CQCU3KGFH4GV0X5I5SC12KHZNW9-1,It was clear that Jessica understood and was entertained by the article from Monica because _ was the reader.,A,Jessica,Aaron,Jennifer,Samantha,Monica
3K8CQCU3KGFH4GV0X5I5SC12KHZNW9-2,It was clear that Jessica understood and was entertained by the article from Monica because _ was the writer.,C,Lawrence,Jessica,Monica,Randy,Rachel
3W3RSPVVGU5EOC3AQSNPXWCGUI3ULI-2,"In an effort to control kennel cough, Emily sent Maria to get the medication but _ was busy examining the animals.",B,Laura,Maria,Emily,Joel,Patricia
3W3RSPVVGU5EOC3AQSNPXWCGUI3ULI-1,"In an effort to control kennel cough, Emily sent Maria to get the medication because _ was busy examining the animals.",E,Mary,Neil,Sarah,Maria,Emily
3MQKOF1EE2MTOF5GODS24910D6FWDS-2,The insurance company blamed Leslie instead of Logan for the accident since _ had a green light.,D,Joseph,Leslie,Matthew,Logan,Rachel
3MQKOF1EE2MTOF5GODS24910D6FWDS-1,The insurance company blamed Leslie instead of Logan for the accident since _ ran a red light.,D,Samantha,Logan,William,Leslie,Samuel
3ODOP6T3AUY96SNN1GE25WFER5142X-1,"Derrick spent the entire summer laying on the hot beach, while Jeffrey spent the summer indoors, so _ 's hair had more sun damage.",D,Ryan,Brett,Kevin,Derrick,Jeffrey
3ODOP6T3AUY96SNN1GE25WFER5142X-2,"Derrick spent the entire summer laying on the hot beach, while Jeffrey spent the summer indoors, so _ 's hair had less sun damage.",A,Jeffrey,Derrick,clay,Craig,Leslie
3TCFMTM8HG2SETQ4EYV07Y8BFL721Y-2,"Robert made the choice to buy Neil's house, so _ had a lot more money in the bank afterwards.",B,Eric,Neil,Robert,Jason,Katrina
3TCFMTM8HG2SETQ4EYV07Y8BFL721Y-1,"Robert made the choice to buy Neil's house, so _ had a lot less money in the bank afterwards.",E,Neil,Samantha,Donald,Randy,Robert
3ACRLU860NC6SIL5PH7QND603EIEB1-2,"When opening up about their crushes, Kenneth sighed at Jeffrey because _ forgot who their crush was.",D,Leslie,Kenneth,Christopher,Jeffrey,clay
3ACRLU860NC6SIL5PH7QND603EIEB1-1,"When opening up about their crushes, Kenneth laughed at Jeffrey because _ remembered who their crush was.",D,Jeffrey,Jeffrey,Rebecca,Kenneth,Samuel
3WUVMVA7OB1ZK379FQL7DCNC925ZAW-1,Christopher wanted to be a specialist but not Adam because _ had an interest in a limited number of subjects.,E,Adam,Robert,Benjamin,Steven,Christopher
3S37Y8CWIAEVI8LUF039T3V2T04W4N-1,Megan enjoyed summer while Felicia did not.  _  spent much time at the beach.,B,Jason,Megan,Angela,Laura,Felicia
3R5OYNIC2C7ALV4CYHEMHJBQSDLPTZ-1,Donald offered Leslie their last stick of  mint gum as _ had a minty breath already.,D,Leslie,Robert,William,Donald,Joseph
3R5OYNIC2C7ALV4CYHEMHJBQSDLPTZ-2,Donald offered Leslie their last sick some mint gum as _ had a stinky breath already.,D,Samantha,Lindsey,Emily,Leslie,Donald
3ZZAYRN1I6PS0VSBJH17SJ60DNOTOA-2,"After Samuel won the cherry jam contest, Kyle still believed they should have won since _ sweetened with low calorie sweetener and the judges went by taste.",E,Logan,Samuel,Carrie,Lawrence,Kyle
3ZZAYRN1I6PS0VSBJH17SJ60DNOTOA-1,"After Samuel won the cherry jam contest, Kyle still believed they should have won since _ sweetened with high calorie sweetener and the judges went by taste.",D,Brian,Kyle,Samantha,Samuel,Benjamin
3RKHNXPHGWUOAHMLLUZOQYBTHGGKUC-2,Felicia looked sad and disappointed after she asked Christine refused to be her girlfriend because _ she was not lesbian.,B,Matthew,Christine,Eric,Christopher,Felicia
30F94FBDNTYNBQ29ZA8LEXU9ZY4BTJ-1,Matthew wants to sell Kevin tickets to the football game because _ needs the money.,D,Joel,Kevin,Cynthia,Matthew,Aaron
30F94FBDNTYNBQ29ZA8LEXU9ZY4BTJ-2,Matthew wants to sell Kevin tickets to the football game but _ has no money.,B,Laura,Kevin,Michael,Kyle,Matthew
3TRB893CSLOW49DD2TXYACTOQQKG7W-2,Elena told Natalie to put the hood of her jacket up because _ was likely to get cold.,D,Samuel,Emily,Elena,Natalie,Joel
3TRB893CSLOW49DD2TXYACTOQQKG7W-1,Elena told Natalie to put the hood of her jacket up because _ didn't want her to get cold.,C,Nick,Angela,Elena,Natalie,Megan
30Y6N4AHYRA3A8N19HUW98HSF1TDRY-1,Lawrence made a bowl at the pottery store and Randy accidentally broke it. _ decided to make another.,C,Elena,Carrie,Lawrence,Neil,Randy
30Y6N4AHYRA3A8N19HUW98HSF1TDRY-2,Lawrence made a bowl at the pottery store and Randy accidentally broke it. _ offered to make another.,B,Joel,Randy,Brian,Lawrence,Jessica
3KI0JD2ZU3WU7GO7QGOCYLG0X3C670-2,Matthew offered to help write a fitness plan for Christopher because _ was out of shape.,A,Christopher,Kyle,Matthew,Michael,Mary
3KI0JD2ZU3WU7GO7QGOCYLG0X3C670-1,Matthew offered to help write a fitness plan for Christopher because _ was a personal trainer.,A,Matthew,Brian,Christopher,Emily,Craig
3Z56AA6EK4YYYUWNAOE1P5PHYGD6ME-2,Katrina sells Maria a rug at the local flea market because _ is a customer.,D,Laura,Joel,Elena,Maria,Katrina
3DGDV62G7QNVVL96Z06Q8UQ9I1WP28-1,Carrie's store has more loyal customers than Patricia's store does because _ 's store is older.,D,Patricia,Christopher,Megan,Carrie,Jennifer
