ID,question,option1,option2,label
3XEIP58NL21VABXKWFMXEORVWQ5LZ1-1,Cynthia asked Megan how to grow lettuce and a variety of other vegetables as _ was an inexperienced gardener.,Cynthia,Megan,1
37VE3DA4YUFICSC7FIFW8G3D0FDHBY-1,During lunch the employees had to eat the salads instead of the sandwiches because the _ were fresh.,salads,sandwiches,1
307FVKVSYTTGSTKT7SVX1NWM1JA47V-2,James realized he could eat more of the apple unlike the banana because the _ is large.,apple,banana,2
3RSBJ6YZECOIHQAAOXWIBFRZRVYFO9-2,Their mother told them to strictly avoid inserting dirty fingers in their ears. The _ are destructive.,Ears,Fingers,2
3TCFMTM8HG2SETQ4EYV07Y8AD7412Y-1,"Natalie was scared of the dark, but Jennifer was not so _ had a teddy bear to sleep with.",Natalie,Jennifer,1
3LCXHSGDLVKK3T1EK15L50492O9ESV-2,Patricia wanted to massage her partner while Natalie want to massage her arm. _ massaged her arm.,Patricia,Natalie,2
35U0MRQMUJ57DNW0OC1MT1ULAADOVY-1,Kevin was less easily threatened by physical violence than Lawrence because _ was large and muscular.,Kevin,Lawrence,1
3VIVIU06FMQTL3QVWNZQE63V1OPMII-2,"In the crash between the car and the truck, the _ received less damage because it was heavier and more strong.",car,truck,2
33W1NHWFYHJ4ZZ6ILQCO8HD42B4TZY-1,"The variety of cars that Katrina had compared to Elena was amazing, and it was because _ is rich.",Katrina,Elena,1
31YWE12TE2Q7QV83R3X2YYTJT25X72-1,"Megan loved the table she saw, but Emily hated it. When they left the store empty-handed, _ was disappointed.",Megan,Emily,1
375VMB7D4JHBNKLBZWON3ISS3B2IDT-1,"The toddler kicked the hard furniture and soft toy, but only the _ caused pain.",furniture,toy,1
3M4KL7H8KVL125AYH2V35D1E07J166-1,Joel asked Donald to take care of their horse while they were on vacation and _ was mad the horse was neglected.,Joel,Donald,1
3HXCEECSQO7FAA4JFUBN8WTS797YZG-1,"We decided chemistry would not be the topic for the article, and chose biology instead, as the _ was irrelevant to the current studies.",chemistry,biology,1
3K1H3NEY7NDCLIENT60KA43KCB8GDU-1,Angela is skimming quickly over the article that Jessica just wrote because _ is the editor.,Angela,Jessica,1
3T5ZXGO9DEMR7JEQ4MIT3C2HDK8ZQK-2,"Outside of Steven house Kenneth  is looking for where the buzzing is coming from, _ has training for dealing with dealing with the insect problem.",Steven,Kenneth,2
3ZCC2DXSD9IF5KUEJ894UPKQ1F3YYP-2,The paste applied on the brush could not cover it all. The _ is big.,paste,brush,2
3R5LWXWHR06BPZKX08PWCDI4Z1YGXE-1,"Kevin was frightened by Aaron carrying a firearm, so _ asked him to put it away.",Kevin,Aaron,1
37SOB9Z0SUBUPIQRB8ROANMGHT53LH-1,Living abroad for the year suited Emily more than Mary because _ made it her home.,Emily,Mary,1
3PGQRAZX02I3F9JY045FK58GUWDYSA-1,The mirror will not fit through the slot in the door because the _ is too short.,slot,mirror,1
3ACRLU860NC6SIL5PH7QND608ZJEBD-1,Elena was asked by Jessica to put patches in the holes in her pants; _ used some she already had at home.,Elena,Jessica,1
3ACRLU860NC6SIL5PH7QND608YUBEJ-1,"Eric put out his electrical fire with baking soda, while Craig tried water. The house of _ survived.",Eric,Craig,1
3NOEP8XAU6GWW1C3NPRJYKK4T0VPXT-2,Kevin was not able to run fast compared to William because _ had no broken bones in his body.,Kevin,William,2
33P2GD6NRP6YZKF85T4PZHACC1SHKI-1,Steven donated blood two days ago unlike Derrick because _ was an exact match for the blood type.,Steven,Derrick,1
39O0SQZVJN58ZANKY6FAHIJN4S37R6-1,The reunion committee decided to hold the reunion in the park rather than the commons because there was more room at the _ for those attending.,park,commons,1
34OWYT6U3YVEEJ717EVL9KXA0FPI9Z-1,"Christine wanted to go visit the aquarium on the weekend, but not Victoria, because _ had never been there.",Christine,Victoria,1
3WRAAIUSBLDP9X61Y69M8PVAWI7AXM-1,James was able to get more slices from the cakes than expected. The _ are small.,slices,cakes,1
3VW0145YLYAAMPBUU78QY9UMP6LMJX-1,"There was no money in the safe, and plenty in the lock box, because the _ had been robbed.",safe,lock box,1
3X4Q1O9UBHK52XV46EY6NNEIOTDO7F-2,Walking in the rain was something that Sarah liked to do but Megan hated because _ hated the feel of it.,Sarah,Megan,2
3G5RUKN2EEH6SKIS4U8DESTRMI39NY-2,Rachel was interested in learning about herbal treatments and asked Betty to share her knowledge. _ was anxious to help.,Rachel,Betty,2
3YLTXLH3DF4KGMDHYNXX3082HF7HPQ-2,Hilda planned to go to the play but wanted more excitement so went to the lecture instead because she though the _ was boring.,lecture,play,2
3R0WOCG21M7GWBGBTDD1MLG3X7JUD9-2,Jessica wanted Kayla to attend the birth of her child but she had other plans. _ was happy that she couldn't make it.,Jessica,Kayla,2
3QHITW7OYO7Q6B6ISU2UMJB89F7QAH-2,The dancer tried to put the skirt into the bag but the _ was too large.,bag,skirt,2
36GJS3V78X4PO4EF32MVD2YYJF5GJG-1,"I bought the wrong size of tarp and it didn't fit the truck, because the _ was too short.",tarp,truck,1
356TQKY9XHBHBU7VJVLAIZCQ2RJ87O-2,The plants do not grow because too much was planted at a spot. The _ is too big.,spot,plant,2
3BS6ERDL935VU0QAXVFY6F2NUK76DN-1,Mina decided to cook her curry with brown rice instead of white because the _ rice was more healthy.,brown,white,1
3AJA9FLWSECNFTYEA0VDJGJL31GIFZ-2,Logan was denied a loan but not Matthew because _ was responsible with their credit card payments.,Logan,Matthew,2
3WRKFXQBOB5ELVG2VSB1G32TGKKIYE-1,"Megan had to brush their hair frequently, but Laura avoided brushing too much, because _ had long hair.",Megan,Laura,1
3Z8UJEJOC1RZOGPIMBOY5EVLH0Z39X-1,"The guitar is more pleasurable to listen to because we can hear it, unlike the piano. The _ is louder.",guitar,piano,1
3VDI8GSXAH704NIWCYP4OCPJ1U2G8Z-2,The boy was more afraid of vampires than he was of ghosts because he thought the _ were fake.,vampires,ghosts,2
3YO4AH2FPFY9ZN77KQH1PBN4QZF0Q7-1,Jessica wanted to fix a broken nail while Elena wanted to fix a broken friendship. _ fixed the broken nail.,Jessica,Elena,1
3V7ICJJAZCU3U5NJK97D6PIHJB2B4Q-1,"Kenneth walked under the ladder while Joel went around it, since _ did not believe in superstitions .",Kenneth,Joel,1
3H1C3QRA03X4WCCINFFLQV0QE7LCE1-1,Lawrence used logic to determine if Benjamin was lying because _ had been lied to before.,Lawrence,Benjamin,1
3JGHED38EDPHWBZ6C174PECK7K77Y7-1,Natalie took the hand of Monica and pulled them towards the new dawn that was ahead. _ is a leader.,Natalie,Monica,1
3YLPJ8OXXARA78QKP5ZVVM9920FX4I-1,"Carrie thought frogs were gross and slimy, but Christine liked them, so _ was horrified when one jumped in their hair.",Carrie,Christine,1
388CL5C1RL19JQXQQTGQEHNQ0LFHL4-2,"After running the dishwasher, Mary removed the plates but left the cups in there because the _ were still dirty.",plates,cups,2
36JW4WBR08YNJYNU4IDSJ4I633CHFA-1,"Jan planted her herbs in small growing bags, but she worried that the _ would be too stifled to put down roots.",herbs,bags,1
37MQ8Z1JQEUAAA206PQ9TNVCRPFY2D-1,Logan knew Ryan was terrified of rats in the house so _ went and set up traps.,Logan,Ryan,1
3TL87MO8CO3P5U6KV3SQBWBELMKFLL-1,Leslie asked Lawrence to tutor his daughter so she could get a better grade in French because _ didn't understand the language.,Leslie,Lawrence,1
3UQVX1UPFUVS745MIFR0TTP08I5209-1,We kept the bread in the box to help prevent mold and to keep it out of sight because the _ made the kitchen look messy.,bread,mold,1
3ZTE0JGGCEQBEEQ0XV6H396WUJSCOJ-2,"He tried to put his portfolio in the folder, but the _ was too small.",portfolio,folder,2
3UXQ63NLAC0ZSDU4Q16US6KS5LHBLF-2,"Because Christopher was in a relationship but Brett was single, _ would often flirt with women at the bars.",Christopher,Brett,2
34HEO7RUG885C1KPP73UJ79LTXAAR2-1,"Tanya needed help from Cynthia to get down the stairs in her huge wedding dress, and _ felt a bit silly.",Tanya,Cynthia,1
3UY4PIS8QTZO3FFX0HTKZMB9QGXN19-1,Christopher was very outgoing and so wanted to make a public speech but Michael dreaded it. This is because _ was an extrovert.,Christopher,Michael,1
337F8MIIMZBNGTL22VYOUAYQZQX40F-2,"Hunter needed some solitude from Steven, because _ was tired and snored real loud at their house.",Hunter,Steven,2
3D17ECOUOET25MNGY0X5YAPUQHF312-2,Applying to dance in music videos was great for Erin but not Lindsey because _ was a beginner dancer.,Erin,Lindsey,2
3TLFH2L6Y9METO36WJ3AL63XH25T2Q-2,Joel tried to gloss over the facts when talking to Robert because _ was naive when it came to business dealings.,Joel,Robert,2
39I4RL8QGJFYRTRY035902X7QM74HO-2,"Emily wanted to sell vodka and Christine wanted to sell sandwiches, _ needed to obtain a food safety license.",Emily,Christine,2
3CO05SML7V3UHZN0D7U12390R1KR0I-2,The mental health of Brian is much worse than William's because _ sees a therapist.,Brian,William,2
3IV1AEQ4DRBV109Q06Y7TRTR0F2J8Z-1,Ryan made more money than Kyle due to the fact that _ is a great at sales.,Ryan,Kyle,1
3L60IFZKF5W7XUE0Z81SMPUJJHEHHV-1,Angela was the king while Carrie was a jester so _ laughed at the other's performance.,Angela,Carrie,1
3RZS0FBRWMO8T318WTVWK7ZUSI7PCR-1,"Adam cleaned his bathroom sink more often than Jason, therefore _ wasn't embarrassed when company came over.",Adam,Jason,1
3RWO3EJELJNO60RAGW6C3BG4PP01P8-1,James threw the ball into the basket and it could not enter it. The _ is very big.,ball,basket,1
3Q9SPIIRWL0AKX1BO1D066H2LBBWAB-1,"Perry wanted to use a ruler to measure the distance across the backyard, but the _ was too small.",ruler,backyard,1
3APP19WN73SD09Z8JJS64YTTXA66GN-1,"Mary left her laptop at home and just took the calculator to accounting class, because the _ wasn't allowed.",laptop,calculator,1
3T8DUCXY0PK4NXNC1QUPNRZJBK29TG-1,"Kayla is interested in card games, but Natalie is the opposite, so _ is more interested in game theory.",Kayla,Natalie,1
3P520RYKCJK0MN0PY57IG7GK9BH5UO-2,Habits are a lot easier to enjoy than routines because the _ are usually more boring.,habits,routines,2
3YCT0L9OMM793AFKT2W43PA9LXKSNQ-2,Earplugs were often required around Kevin but not Nick because _ never played the accordian.,Kevin,Nick,2
3OPLMF3EU5LMZXKU9TZ3R3WETYMLN5-1,Rebecca wears their hair in a ponytail but Victoria does not because _ has long hair.,Rebecca,Victoria,1
3P458N04Q3V04UBXLRG727CCKW12XX-2,Joey was careful when he passed by the tack but he managed to scratch himself on the nail because the _ was sharp.,tack,nail,2
3HO4MYYR12MHB21WJQ5NGF6BGLQ6UN-1,"The doctor said that Betty was in very bad health compared to Rebecca, due to _ never going to the gym.",Betty,Rebecca,1
3X55NP42EOE5ME6IJ28VZ67STRW3P5-2,Craig really loves to clean all the time but Derrick does not because _ is very untidy.,Craig,Derrick,2
3XUSYT70ITZ0GP4VV6ZHXESWC10D07-2,Leslie could smell the body odor off of Steven even through the perfume they put on. _ was gross.,Leslie,Steven,2
3OB6JN3A9QNRKDU72CHZ00GDU2SRMW-2,"Monica really enjoys a vodka drink, but Felicia prefers whiskey because _ likes dark liquors.",Monica,Felicia,2
3S8APUMBJXHYYWL1KSRW5VR0KZ9BF1-1,"The norovirus was caught by Michael but Matthew was able to avoid it because, _ never washed their hands.",Michael,Matthew,1
3NOEP8XAU40H2CDW3RFJ6MWW0MWPXQ-1,The game of chess was easy to play for Angela but not Rebecca because _ had a analytical mind.,Angela,Rebecca,1
33QQ60S6AUW1RGEO1Z16ZCKTS35U0R-2,The eggs smelled a lot worse than the vegetables because the _ were still good.,eggs,vegetables,2
3OKP4QVBP4BENBBB9W9IK3VFSU9AGV-2,She wanted to shop for more clothes and ultimately decided on the velvet dress instead of the denim jacket because the _ was more casual.,dress,jacket,2
3FO95NVK5CYUI87CM9DLC9FJMU9SRE-1,Lindsey has travelled to many more countries than Erin because _ is very outgoing overall.,Lindsey,Erin,1
35U0MRQMULLM7CV78ADMLZIT35VOVI-2,"The paint was peeling off the schoolhouse, but not the gymnasium because the _ is in indirect sunlight.",schoolhouse,gymnasium,2
3PEG1BH7AG5O87CM51UTD67DGXSKBP-2,It is better to play a prank on Samuel than Craig because _ gets angry more often.,Samuel,Craig,2
37SDSEDIN90O6JTMAHS1PRX563681Y-2,Megan had to buy puppy training pads but not Katrina because _ had an outdoor dog.,Megan,Katrina,2
33K3E8REWY9BQ9DM18P8CYPF5UF8XN-1,The toddler preferred to play with the ball than with the bike because the _ needed less coordination.,ball,bike,1
38DCH97KHH01749MM0F7FIERULOJQA-2,"Jessica often experiences severe nausea, Victoria does not therefore _ often rides big roller coasters.",Jessica,Victoria,2
31MCUE39BKKZ91DJGJI85XT0XLT3GW-2,"To have better dreams, Rick stopped watching scary movies before bed and started listening to classical songs. The _ was more arousing.",songs,movies,2
374UMBUHN5NRR6V8TCSGXJCJTT6CT6-2,Tigers were chasing the tourists and unfortunately they managed to pounce on Rebecca although Christine outran them. The faster runner was _ .,Rebecca,Christine,2
32TMVRKDGPCKS7PCHXN3FNSHC1048Y-1,The drywall took us longer to do than the plumbing because our tools were specific to the _ business.,plumbing,drywall,1
3RSBJ6YZEE4XBF9H8V8I3DF8GJ6OFC-1,"When making a jacket, Jim decided to use leather over cloth as a material because the _ was susceptible to damage.",cloth,leather,1
3DZKABX2ZI364YZXY7SVY104QEGVCZ-2,"Kenneth always had fine skin unlike Steven, so it was no surprise when _ was that one that developed a mole.",Kenneth,Steven,2
3VDVA3ILIFTITNYBDDGP922BNFYG1Z-1,I slowly poured the milk over my bowl of cereal until the _ was gone.,milk,cereal,1
3PKJ68EHDNUOUBAJ3ASD64MQ8H7JH0-1,During the recording session the artist didn't make a sound out of the drum but instead used the flute because the _ was broken.,drum,flute,1
3OKP4QVBP4BENBBB9W9IK3VFSPLGA3-2,Cynthia drove to Angela's house to return the black glasses because _ had lost them.,Cynthia,Angela,2
3U74KRR67OZPCZR620DU5SU3GJ9NT3-1,The filter in the living room needed to be changed more often than the one in the bedroom because the _ was dirtier.,living room,bedroom,1
3VI0PC2ZAYIZHC1VOR24HMR6V10OXH-2,The press searched for news regarding celebrities or laws. They found the _ news more dull.,celebrities,laws,2
3HKIF5DF60B0IS16HQVIO8KUL6HG9X-1,"Jessica wants to protect herself from infectious diseases so she goes to doctor Samantha, because _ is careful.",Jessica,Samantha,1
3A520CCNWNY198GDJ37US2MULWXAE2-2,"Natalie has a rich husband and lots of money, Jennifer is poor _ needs to make her clothes.",Natalie,Jennifer,2
3IH9TRB0FBXHVP5ZJ34S2GRJED31IO-2,The students were educated through watching the video but not reading the book because the _ was complicated.,video,book,2
3EQVJH0T42ZX235VZ2IH08X8WNFHT3-2,Carrie dressed her baby girl in pink and Maria dressed her baby boy in blue. _ has the blue baby coat.,Carrie,Maria,2
3HEA4ZVWVF0J18AAX4ZA8VO39RT552-1,The candy was sweeter than the cake because the _ was made with more sugar.,candy,cake,1
