ID,question,label,option1,option2
3E9ZFLPWOYQPLQQSQWPZXPVKJR3IXG-1,"I wanted to buy small tweezer to fit in my wristlet, but they still didn't fit. The _ were too big.",1,tweezer,wristlet
3R6RZGK0XHQY1QZ9EXMKNQGVHU3YV6-2,"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was immune to allergies.",2,Tanya,Elena
3BDORL6HKKBEBRIGPNNLX4B158XCRH-2,Jennifer discreetly admitted to Erin that she didn't know how to apply eye shadow.  _ was reassuring.,2,Erin,Jennifer
34D9ZRXCYT8HDGK24W3Z9HEIG7ISAG-1,The employees threw a party and drank so much alcohol that they could not go into work the next day. The _ was loud.,1,party,alcohol
34D9ZRXCYT8HDGK24W3Z9HEIG7ISAG-2,The employees threw a party and drank so much alcohol that they could not go into work the next day. The _ was copious.,2,alcohol,party
3YLTXLH3DF4KGMDHYNXX3082HG2HPN-2,John poured the entire bowl of fish into the hot pan on the stove until the _ was full.,2,pan,bowl
3YLTXLH3DF4KGMDHYNXX3082HG2HPN-1,John poured the entire bowl of fish into the hot pan on the stove until the _ was empty.,1,bowl,pan
3L1EFR8WWVJU4S5B66P06NKJLV1F9S-2,Sue wanted to practice meditation so she went to the gym with her class but the _ was too busy.,2,gym,class
3L1EFR8WWVJU4S5B66P06NKJLV1F9S-1,Sue wanted to practice meditation so she went to the gym with her class but the _ was too late.,1,class,gym
3DQYSJDTYL9D5LO6UDZ8CAXSMH5XES-1,Adam put handwash only clothes in the washer but Aaron washed them by hand as _ was lazy.,1,Adam,Aaron
3RTFSSG7T84CMRT81UQQNM95RWELWX-2,"Derrick was unable to stay focused at work unlike Justin, because _ had a fun job.",2,Justin,Derrick
3Z33IC0JC0K460SUMNI4WBZWKULV9S-1,"Avery was debating on taking up German instead of Latin, because the _ was old.",1,Latin,German
3QGTX7BCHRGH8MUZ4S6QXZVYAK4Z5U-2,"The letter that Joel has written is being read by Adam, so _ is the editor.",2,Adam,Joel
34OWYT6U3WFZKU8UNGJLHM92CQ3I9S-2,In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. _ was very hesitant with showing their body.,2,Felicia,Emily
33K3E8REWWTWWKEFHAD8K016GUUX8H-2,Sarah Jane's watch smashed when the book hit it since the _ was too strong.,2,book,watch
33K3E8REWWTWWKEFHAD8K016GUUX8H-1,Sarah Jane's watch smashed when the book hit it since the _ was too weak.,1,watch,book
3G9UA71JVX86VB3EAZI17PL5KCMJ7G-2,"I couldn't control the moisture like I controlled the rain, because the _ was coming in at one spot.",2,rain,moisture
3G9UA71JVX86VB3EAZI17PL5KCMJ7G-1,"I couldn't control the moisture like I controlled the rain, because the _ was coming in everywhere.",1,moisture,rain
3EHVO81VN5JHZUUFDLM724Q4E0O1HV-2,Bill poured the entire bowl of cheese snack into his mouth until the _ was empty.,2,bowl,mouth
3EHVO81VN5JHZUUFDLM724Q4E0O1HV-1,Bill poured the entire bowl of cheese snack into his mouth until the _ was full.,1,mouth,bowl
3126F2F5F818WCMF8MPRIXBPP0LEPF-2,"Ben played soccer and bowling every week. However, it was easy for him to play in the _ game because he hurt his arm.",2,soccer,bowling
3126F2F5F818WCMF8MPRIXBPP0LEPF-1,"Ben played soccer and bowling every week. However, it was difficult for him to play in the _ game because he hurt his arm.",1,bowling,soccer
33CLA8O0MI9LE32QGPDM5AW4X5DRFU-2,There was more shade in the yard of Christine than there was in the yard of Victoria because _ had less plants.,2,Victoria,Christine
3ZXNP4Z39TZCQ1REDKUEN4YXNY17L9-2,Jessica took off the gloves and gave them to Katrina because _ 's hands were cold.,2,Katrina,Jessica
3YZ7A3YHR77K7A8L90CI16YWOEW5S8-1,John's certification was less important that Jim's degree because the _ was from a minor University.,1,certification,degree
3YZ7A3YHR77K7A8L90CI16YWOEW5S8-2,John's certification was less important that Jim's degree because the _ was from a major University.,2,degree,certification
3ZG552ORAOI80562LCFPEMFR4LT2VU-2,"They opted not to go to the dance but to the movie instead, the _ seemed like a proper destination for their date.",2,movie,dance
3ZG552ORAOI80562LCFPEMFR4LT2VU-1,"They opted not to go to the dance but to the movie instead, the _ seemed like an inappropriate destination for their date.",1,dance,movie
3D0LPO3EADD3B6QCDL06SYMNLVWOY8-1,"The thermostat showed that it was twenty degrees cooler downstairs than it was upstairs, so Byron stayed in the _ because he was hot.",1,downstairs,upstairs
3D0LPO3EADD3B6QCDL06SYMNLVWOY8-2,"The thermostat showed that it was twenty degrees cooler downstairs than it was upstairs, so Byron stayed in the _ because he was cold.",2,upstairs,downstairs
3LAZVA75NIPYGWYY02HBRWXADAS2O8-2,"Come over here and take a look at my scalp today  Natalie told Katrina, _ hates providing her  opinion.",2,Katrina,Natalie
3421H3BM9CVA9UR7PWGLLLCBE2HJ9Y-1,"The sushi rotted on the counter unless it was put in the cooler, as the _ exposed it to contamination.",1,counter,cooler
3421H3BM9CVA9UR7PWGLLLCBE2HJ9Y-2,"The sushi rotted on the counter unless it was put in the cooler, as the _ protected it from contamination.",2,cooler,counter
3WRBLBQ2GTMIMYDTHUCPVXJ2JTP0GS-1,The contract could not be drafted at the business during that day because the _ was too small to care about.,1,contract,business
3WRBLBQ2GTMIMYDTHUCPVXJ2JTP0GS-2,The contract could not be drafted at the business during that day because the _ was too big to care about it.,2,business,contract
3I7KR83SNCR5KEXP7HGXM0COUXGK9A-2,"Laura always had more motivation in life and achieving goals than Katrina, as _ was lazy.",2,Katrina,Laura
3MZ3TAMYTLL5OU4GHXJ7879WIBGRIT-2,Ben had to either stop eating chocolates or nuts. He chose to stop eating the _ because they were savory.,2,nuts,chocolates
3MZ3TAMYTLL5OU4GHXJ7879WIBGRIT-1,Ben had to either stop eating chocolates or nuts. He chose to stop eating the _ because they were sweet.,1,chocolates,nuts
3909MD9T21VBZOWSEH5MY1LUCSHFE2-1,James was looking if there is any space to put the book into the shelf. The _ is small.,1,space,book
3909MD9T21VBZOWSEH5MY1LUCSHFE2-2,James was looking if there is any space to put the book into the shelf. The _ is big.,2,book,space
3SNR5F7R947V9FYIFPB71YYMSK9EIS-1,James was writing a poem on his jotter when the ink finished. The _ is a long .,1,poem,ink
3SNR5F7R947V9FYIFPB71YYMSK9EIS-2,James was writing a poem on his jotter when the ink finished. The _ is a low.,2,ink,poem
34F34TZU7WXKFL71KPP6J0GOJZ2J2X-2,"The couple drank wine out of glasses instead of mugs, because the _ were clean.",2,glasses,mugs
34F34TZU7WXKFL71KPP6J0GOJZ2J2X-1,"The couple drank wine out of glasses instead of mugs, because the _ were dirty.",1,mugs,glasses
37PGLWGSJVKYVFQSBBMAZTBQBYPKIX-1,Dividing the candy was more difficult than dividing the apples because every kid wanted the _ .,1,candy,apples
37PGLWGSJVKYVFQSBBMAZTBQBYPKIX-2,Dividing the candy was more difficult than dividing the apples because no kid wanted the _ .,2,apples,candy
3CMIQF80GP44DYTMMFXIYCXU1CV6QO-2,"Katrina's being taught how to speak Korean by Felicia, so _ was most likely born in Korea.",2,Felicia,Katrina
3CMIQF80GP44DYTMMFXIYCXU1CV6QO-1,"Katrina's being taught how to speak Korean by Felicia, so _ was most likely born in the US.",1,Katrina,Felicia
3LN50BUKPXP1W7VE96OVNQPINZBPLG-2,I'd rather play on a soccer team than be a kicker on a foot ball team since the _ ball is harder to kick.,2,foot,soccer
3LN50BUKPXP1W7VE96OVNQPINZBPLG-1,I'd rather play on a soccer team than be a kicker on a foot ball team since the _ ball is easier to kick.,1,soccer,foot
3LN3BXKGC29BUOEEA15A2SS5J15WGU-2,The woman sprayed cleaner on the mirror but skipped the countertop because the _ was clean.,2,countertop,mirror
3LN3BXKGC29BUOEEA15A2SS5J15WGU-1,The woman sprayed cleaner on the mirror but skipped the countertop because the _ was dirty.,1,mirror,countertop
3JY0Q5X05LKFX2OEVW1SGP6IQKYGGF-1,Justin wrote a paragraph in his planner every day unlike Matthew because _ was organized.,1,Justin,Matthew
3UOMW19E6D4P64KISGAIU365DNSC5H-2,The children could only count the number of balls in one jar and not the beans in the other because the _ were too numerous.,2,beans,balls
3UOMW19E6D4P64KISGAIU365DNSC5H-1,The children could only count the number of balls in one jar and not the beans in the other because the _ were more manageable.,1,balls,beans
33W1NHWFYHJ4ZZ6ILQCO8HD4XV4TZX-1,Erin is known an an entrepreneur while Victoria is only an employee because _ owns a business.,1,Erin,Victoria
33W1NHWFYHJ4ZZ6ILQCO8HD4XV4TZX-2,Erin is known as an entrepreneur while Victoria is only an employee because _ doesn't yet own a business.,2,Victoria,Erin
30Y6N4AHYPUOGJOUPJIWHATJQ9LDRW-2,Since _ arrived at work later Dennis would eat their lunch before Adam in the break room at their job.,2,Adam,Dennis
31ANT7FQN80GNCVYE8OJ5U3LQEB5HV-1,The man wanted to put the luggage in the house but the _ was too small.,1,house,luggage
31ANT7FQN80GNCVYE8OJ5U3LQEB5HV-2,The man wanted to put the luggage in the house but the _ was too large.,2,luggage,house
3YLPJ8OXXARA78QKP5ZVVM9A3A94X6-1,"When one experiences cramps they can get into a warm bath or use a heating pad, but the _ is more of an inconvenience.",1,bath,heating pad
3ZQX1VYFTD392B0NGJQC1NAD4V4O8S-2,"Neil agreed to help wash Adam's large dog, and _ was very grateful for the help.",2,Adam,Neil
3BC9H1KCYUAWMQ07K9FGHUB108VWY7-1,Jan poured the entire cup of lemon juice into the bowl bananas until the _ was empty.,1,cup,bowl
3BC9H1KCYUAWMQ07K9FGHUB108VWY7-2,Jan poured the entire cup of lemon juice into the bowl bananas until the _ was full.,2,bowl,cup
3N5YJ55YXG153ETQC2ADIPG345GANC-1,The chef decided to store the food in the container but the _ was too large.,1,food,container
3N5YJ55YXG153ETQC2ADIPG345GANC-2,The chef decided to store the food in the container but the _ was too small.,2,container,food
3TFJJUELSHNX771VAX8KWW3TTFCC2V-1,"My sister enjoyed writing on the blog more than in her journal, because the _ for everyone to see.",1,blog,journal
3TFJJUELSHNX771VAX8KWW3TTFCC2V-2,"My sister enjoyed writing on the blog more than in her journal, because the _ for nobody to see.",2,journal,blog
3NQUW096N8MG4KF7SHSY10P3IVT9L5-1,This menu was very eclectic. They served everything from  a three tiered burger to sushi to omeletes. The _ was juicy.,1,burger,sushi
3NQUW096N8MG4KF7SHSY10P3IVT9L5-2,This menu was very eclectic. They served everything from  a three tiered burger to sushi to omeletes. The _ was raw.,2,sushi,burger
3VGET1QSZ0XD7646X0PG4HR4W9E7W9-2,"the statistics show many females compared to the males are being born everyday, the _ are few.",2,males,females
3VGET1QSZ0XD7646X0PG4HR4W9E7W9-1,"the statistics show many females compared to the males are being born everyday, the _ are many.",1,females,males
3RWB1RTQDL16H0BVFHFRIL3C3XW8PT-2,The medical exam for the broken arm was longer than the exam on the heart because the _ was a serious problem.,2,arm,heart
3RWB1RTQDL16H0BVFHFRIL3C3XW8PT-1,The medical exam for the broken arm was shorter than the exam on the heart because the _ was a serious problem.,1,heart,arm
3R6RZGK0XHQY1QZ9EXMKNQGWI2FVYY-1,"Jack loved math and disliked social sciences, so when deciding to take sociology or math that semester, the counselor entered the _ because Jack was receptive to it.",1,math,sociology
3R6RZGK0XHQY1QZ9EXMKNQGWI2FVYY-2,"Jack loved math and disliked social sciences, so when deciding to take sociology or math that semester, the counselor deleted the _ because Jack was resistant to it.",2,sociology,math
3WUVMVA7OB1ZK379FQL7DCNC925ZAW-2,Christopher wanted to be a specialist but not Adam because _ had an interest in a many number of subjects.,2,Adam,Christopher
3S37Y8CWIAEVI8LUF039T3V2T04W4N-2,Megan enjoyed summer while Felicia did not.   _  spent much time indoors.,2,Felicia,Megan
3OEWW2KGQLP0DVVLHPDSFDCN5IJDO8-2,John could not remove the wallpaper attached to the wall with a glue without the wallpaper tearing apart. The _ is weak.,2,wallpaper,glue
3OEWW2KGQLP0DVVLHPDSFDCN5IJDO8-1,John could not remove the wallpaper attached to the wall with a glue without the wallpaper tearing apart. The _ is strong.,1,glue,wallpaper
3VJ4PFXFJ35IY4DZ93MZWK8XC3SAUR-2,The counselor treated the child who suffered from abuse by giving her a teddy instead of a blanket because the _ was boring.,2,blanket,teddy
3VJ4PFXFJ35IY4DZ93MZWK8XC3SAUR-1,The counselor treated the child who suffered from abuse by giving her a teddy instead of a blanket because the _ was comforting.,1,teddy,blanket
38Z7YZ2SB5GK6IONOG67VFN0CNPIQ1-2,John cared for the pot while it was being transported in the box but it eventually got broken. The _ is hard.,2,box,pot
38Z7YZ2SB5GK6IONOG67VFN0CNPIQ1-1,John cared for the pot while it was being transported in the box but it eventually got broken. The _ is fragile.,1,pot,box
3RKHNXPHGWUOAHMLLUZOQYBTHGGKUC-1,Felicia looked sad and disappointed after she asked Christine refused to be her girlfriend because _ liked her.,1,Felicia,Christine
35F6NGNVMAX09EZJMTW59V8EHIR7TU-1,The node on the head needed medication applied to its area because the _ was swollen.,1,node,medication
35F6NGNVMAX09EZJMTW59V8EHIR7TU-2,The node on the head needed medication applied to its area because the _ would contract it.,2,medication,node
3Y3CZJSZ9KRTC691AD0DJY5RDO45RP-1,Sue traditionally donated old clothes to her favorite charity but in recent years has just written them checks as the _ were better received.,1,checks,clothes
3Y3CZJSZ9KRTC691AD0DJY5RDO45RP-2,Sue traditionally donated old clothes to her favorite charity but in recent years has just written them checks as the _ were worse received.,2,clothes,checks
3QO7EE372Q1AJAAHI6EQ9SJMFJ1QB0-1,The waves destroyed the garage but left the house intact because the _ was so close to the shore.,1,garage,house
3QO7EE372Q1AJAAHI6EQ9SJMFJ1QB0-2,The waves destroyed the garage but left the house intact because the _ was so far from the shore.,2,house,garage
3Z56AA6EK4YYYUWNAOE1P5PHYGD6ME-1,Katrina sells Maria a rug at the local flea market because _ is a vendor.,1,Katrina,Maria
3UUSLRKAUL1EY04FG5KQCT2JPT87D0-2,"Joan's grandmother always wanted a hug and a kiss, but Joan preferred the _ because she was afraid of germs.",2,hug,kiss
3UUSLRKAUL1EY04FG5KQCT2JPT87D0-1,"Joan's grandmother always wanted a hug and a kiss, but Joan didn't like the _ because she was afraid of germs.",1,kiss,hug
35ZRNT9RUIWN1EUH42VGA622O6G3OD-2,The library kept an enormous collection of novels but not comics because the _ were dull.,2,comics,novels
35ZRNT9RUIWN1EUH42VGA622O6G3OD-1,The library kept an enormous collection of novels but not comics because the _ were popular.,1,novels,comics
3S4TINXCC0LS49YUJVAMSP0ECY1BOK-1,I would rather listen to the radio than watch the TV at night since I find the _ soothing.,1,radio,TV
3NI0WFPPIBUGP5ON5H33J66DPUU60Y-2,"Her boyfriend regretted buying her a jacket and got her a new hat instead, as he knew she thought the _ was a perfect match for her wardrobe.",2,hat,jacket
3NI0WFPPIBUGP5ON5H33J66DPUU60Y-1,"Her boyfriend regretted buying her a jacket and got her a new hat instead, as he knew she thought the _ was a bad match for her wardrobe.",1,jacket,hat
3OID399FXG5RDTJLYOI20LF0NKKDF9-2,"Monica wanted to use a vacuum to clean the floor, but Victoria wanted to use a broom. _ cleaned the floor much slower.",2,Victoria,Monica
31ANT7FQN80GNCVYE8OJ5U3LQG1H51-1,"I used several sprays to get rid of the bedbugs but they didn't work, because the _ were powerless.",1,sprays,bedbugs
31ANT7FQN80GNCVYE8OJ5U3LQG1H51-2,"I used several sprays to get rid of the bedbugs but they didn't work, because the _ were powerful.",2,bedbugs,sprays
3V8JSVE8Y04HZFDNJ7XANMS9HPVYEB-1,There were more books at the library than at the bookstore because the _ was bigger.,1,library,bookstore
3V8JSVE8Y04HZFDNJ7XANMS9HPVYEB-2,There were more books at the library than at the bookstore because the _ was smaller.,2,bookstore,library
3ACRLU860PSLM7KC9FJQFBU9XUOBEF-2,"Tea and coffee should be drunk out of different vessels, cups and mugs respectively. Coffee is usually served in the _ , with milk and sometimes sugar.",2,mug,cup
3ACRLU860PSLM7KC9FJQFBU9XUOBEF-1,"Tea and coffee should be drunk out of different vessels, cups and mugs respectively. Tea is usually served in the _ , with milk and sometimes sugar.",1,cup,mug
3UEDKCTP9X416V9WSKID84LHXNJ7K4-2,I went into the mine looking for diamonds but all I found was quartz and topaz.  I settled on the _ because it was almost clear.,2,quartz,topaz
3UEDKCTP9X416V9WSKID84LHXNJ7K4-1,I went into the mine looking for diamonds but all I found was quartz and topaz.  I settled on the _ because it shined yellow.,1,topaz,quartz
3D3B8GE892PR1GVY0B95QJAEY279P0-2,"The chef thinks it's more healthy to eat apples than beets, so he hates putting the _ in his smoothies.",2,beets,apples
3D3B8GE892PR1GVY0B95QJAEY279P0-1,"The chef thinks it's more healthy to eat apples than beets, so he likes putting the _ in his smoothies.",1,apples,beets
3P888QFVX3SF8F0J2D7CNEVDYXFOQK-1,Mary only wore stripes to work and not plaids because the _ made her look sloppy.,1,plaids,stripes
3P888QFVX3SF8F0J2D7CNEVDYXFOQK-2,Mary only wore stripes to work and not plaids because the _ made her look professional.,2,stripes,plaids
3IZVJEBJ6CYDRQUD9BGVP59Y6LBZ6I-2,The bumper on the car shone brighter than the handle on the car because the _ was dirtier.,2,handle,bumper
3IZVJEBJ6CYDRQUD9BGVP59Y6LBZ6I-1,The bumper on the car shone brighter than the handle on the car because the _ was cleaner.,1,bumper,handle
302U8RURJ1F4PRVV7VD96AIOD98VNK-2,"While Billie brought a pencil, I brought a pen to the realtor’s office. I gave Billie my pen and she gladly used the _ to sign the document.",2,pen,pencil
302U8RURJ1F4PRVV7VD96AIOD98VNK-1,"While Billie brought a pencil, I brought a pen to the realtor’s office. I gave Billie my pen but she stubbornly used  the _ to sign the document.",1,pencil,pen
3C8QQOM6JRF9FL8AWBYBETO62IMLI1-1,No one was able to enjoy the story and we started to listen to the music. The _ is boring.,1,story,music
3C8QQOM6JRF9FL8AWBYBETO62IMLI1-2,No one was able to enjoy the story and we started to listen to the music. The _ is interesting.,2,music,story
37VUR2VJ6C35CBI6BRK6JBHXRC41CQ-1,The teeth of Katrina are more yellow than Laura's due to _ drinking mostly coffee all the time.,1,Katrina,Laura
3P4C70TRMTVVJU2F6NY8THBPLQ7LGO-1,It was necessary to hit the iron with the sledgehammer after the _ got heated.,1,iron,sledgehammer
3P4C70TRMTVVJU2F6NY8THBPLQ7LGO-2,It was necessary to hit the iron with the sledgehammer before the _ got heated.,2,sledgehammer,iron
39AYGO6AFFI4GCHNMPT12KEH8NL6NF-2,"The theraband that Jill purchased for herself would not fit around her leg, the _ was too wide.",2,leg,theraband
39AYGO6AFFI4GCHNMPT12KEH8NL6NF-1,"The theraband that Jill purchased for herself would not fit around her leg, the _ was too narrow.",1,theraband,leg
3IVKZBIBJ2NWN3SGA2DRQ31MTY2SHD-2,James could not get the bag closed because of the clothe in it. The _ is small.,2,bag,cloth
3IVKZBIBJ2NWN3SGA2DRQ31MTY2SHD-1,James could not get the bag closed because of the clothe in it. The _ is plenty.,1,cloth,bag
3HJ1EVZS2QX5SGL4GSOKWZVGPWV3RY-2,"Michelle made her biscuits with shortening and no butter at all, because she thought the _ made them taste lighter.",2,shortening,butter
3HJ1EVZS2QX5SGL4GSOKWZVGPWV3RY-1,"Michelle made her biscuits with shortening and no butter at all, because she thought the _ made them too heavy.",1,butter,shortening
3V0TR1NRVA0JH6JKUXVHJGA3DQC4A6-2,"Jen put her derma roller into the water, so that the cleaner could sterilize it with the _ .",2,water,derma roller
3V0TR1NRVA0JH6JKUXVHJGA3DQC4A6-1,"Jen put her derma roller into the water, so that the cleaner could sterilize the _ .",1,derma roller,water
32LAQ1JNTB327PBFZ1PGJNMXOF2TU1-2,The case James used to carry the file still got more space in it. I wonder why he chose the _ that is small.,2,file,case
32LAQ1JNTB327PBFZ1PGJNMXOF2TU1-1,The case James used to carry the file still got more space in it. I wonder why he chose the _ that is big.,1,case,file
31JUPBOORN21WQXQ3RAK966J43N8L4-2,Learning to play a glockenspiel was instinctual for Derrick but not Adam because _ is unmusical.,2,Adam,Derrick
3PKJ68EHDNUOUBAJ3ASD64MQ8GSHJH-1,"The man realized he had gotten the lens for his glasses instead of his camera, the _ lens was much thicker.",1,camera,glasses
3PKJ68EHDNUOUBAJ3ASD64MQ8GSHJH-2,"The man realized he had gotten the lens for his glasses instead of his camera, the _ lens was much thinner.",2,glasses,camera
3CZH926SIES118Z3U0937XO2MY24EM-2,"Sunday afternoon Laura made some buttermilk biscuits for Victoria, and _ made quick work of eating them.",2,Victoria,Laura
3GKAWYFRAR7IYV7MWPQ74DHCD8SDP4-1,To cope with her problems the teenager wrote in the journal and not the diary since the _ 's pages were bigger.,1,journal,diary
3GKAWYFRAR7IYV7MWPQ74DHCD8SDP4-2,To cope with her problems the teenager wrote in the journal and not the diary since the _ 's pages were smaller.,2,diary,journal
37VHPF5VYC18TM3KQEHL6NGWAZ08CP-2,"Rachel included Tanya in her YouTube video, but _ was furious because she had failed to obtain permission.",2,Tanya,Rachel
3421H3BM9CVA9UR7PWGLLLCADYY9JU-1,A conductor on the train Felicia has been for years today Elena will present them with a award _ is being honored.,1,Felicia,Elena
34XASH8KLS0L2PDZ9IPAN346MHFMPG-1,"The police could escort the prisoner to the gate but not to the cell, as entry to _ was permitted .",1,gate,cell
34XASH8KLS0L2PDZ9IPAN346MHFMPG-2,"The police could escort the prisoner to the gate but not to the cell, as entry to _ was forbidden .",2,cell,gate
3LOJFQ4BOXD2TFBZZZ9ZGY75VD8DKC-1,"When Brenda coated her wood panels with varnish, the concrete surface beneath got stained. The varnish protected and beautified the _ .",1,wood,concrete
3LOJFQ4BOXD2TFBZZZ9ZGY75VD8DKC-2,"When Brenda coated her wood panels with varnish, the concrete surface beneath got stained. The varnish harmed and uglified the _ .",2,concrete,wood
3E22YV8GG14CQIZS1LSA8K5Y3PJPN6-1,John was eager to put his fish in the new fish tank on a table but the _ was too delicate.,1,table,tank
3E22YV8GG14CQIZS1LSA8K5Y3PJPN6-2,John was eager to put his fish in the new fish tank on a table but the _ was too heavy.,2,tank,table
33KGGVH24UFELKUUIP4T5QEY2RB1XU-1,"The tea was hurting Ben's teeth, though the coffee was not because the _ was loaded with sugar.",1,tea,coffee
33KGGVH24UFELKUUIP4T5QEY2RB1XU-2,"The tea was hurting Ben's teeth, though the coffee was not because the _ was lacking any sugar.",2,coffee,tea
3D0LPO3EABXOHHR5TNO600YFX6WOYN-2,"He preferred to clean with the soap instead of the body wash, because the _ left him feeling refreshed.",2,soap,body wash
3UEDKCTP9X416V9WSKID84LHXTQK70-1,"Katrina loaned their jacket to Carrie during the cold night, although _ was feeling cold themselves.",1,Katrina,Carrie
3HO4MYYR12MHB21WJQ5NGF6BB5EU6Y-1,Adam had to schedule a visit a dermatologist but Joseph didn't because _ had bad skin.,1,Adam,Joseph
3LOJFQ4BOXD2TFBZZZ9ZGY75VBGKDN-2,Nancy preferred to eat popcorn rather than candy at the movies because the _ is sweet.,2,candy,popcorn
3LOJFQ4BOXD2TFBZZZ9ZGY75VBGKDN-1,Nancy preferred to eat popcorn rather than candy at the movies because the _ is salty.,1,popcorn,candy
36JW4WBR06I8P9ONKK1SR6UYAUBHFF-2,"The project meant Emily collaborated with Victoria, who was not excited. _ hated working with others.",2,Victoria,Emily
38DCH97KHH01749MM0F7FIERULOJQA-2,"Jessica often experiences severe nausea, Victoria does not therefore _ often rides big roller coasters.",2,Victoria,Jessica
31JUPBOORPIGQFWXNPMK14USYAP8LZ-2,It took Jerry longer to shampoo his hair than his beard although the _ was bushy.,2,beard,hair
31JUPBOORPIGQFWXNPMK14USYAP8LZ-1,It took Jerry longer to shampoo his hair than his beard although the _ was shaved short.,1,hair,beard
3WRKFXQBOB5ELVG2VSB1G32TGHMIYA-2,"Have you ever been on  a nature walk Samantha asked Tanya , _ is giving a reply to a question.",2,Tanya,Samantha
3BA7SXOG1JOCZOS38B7GVIFIFGW8RP-1,Ben was choosing between a clothing business and a fitness business. He ended up opening the _ business because it was healthy.,1,fitness,clothing
3BA7SXOG1JOCZOS38B7GVIFIFGW8RP-2,Ben was choosing between a clothing business and a fitness business. He ended up opening the _ business because it was unhealthy.,2,clothing,fitness
38LRF35D5LUIEJEE0O7P9CUR1983UN-1,"Adam found the blue joke that Steven offensive, because _ was aware of their own privilege.",1,Adam,Steven
31S7M7DAGI4ZOZOLQNXFS0QEB4XTLR-1,"Adam adored his grandmother, William.  _ decided he would surprise her with a trip to Europe.",1,Adam,William
