context,question,answer,label,index1
A there is sitting on a motocross bike pointing his finger forwards .,Who is sitting?,A man,no,1915
Military trainees in a rubber raft hook a ladder onto a larger boat .,Who hooks something?,trainees,yes,750
A soldier is dressed in camouflage with a black firearm in the field .,Where is someone dressed?,in the street,no,3045
A person with a black knapsack and wearing a helmet is riding a blue scooter .,What is someone wearing?,cape,no,1530
Students are waiting in a queue to get the admission .,What is being gotten?,first,no,1802
A man grills hotdogs and bratwurst on a grill on a street corner .,Who grills something?,then,no,3694
An woman wearing headphones is sitting on a subway wearing a blue face mask while three men also wearing the masks to prevent germs look back in her direction .,Where does something look?,eyes,no,2316
A young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,Where does someone sit?,bench,no,10
a sign telling you to accept jesus as your savior .,What tells someone to do something?,including,no,672
"The motorist driving a Toyota Camry is approached on a heavily congested road by a solicitor wearing a knit cap , read T - shirt , and blue lightweight jacket .",Who is approached?,Camry,yes,3704
A sanitation worker in bright yellow safety garb hauls bins down a sidewalk .,Where is something being binned?,street,no,2920
Three young girls play together and laugh a lot .,What does someone play?,wrestling,no,3459
A child riding a bike in an area with an overview of a body of water .,What is someone riding?,team,no,3082
A man in blue jeans dances with his girlfriend who is wearing a white shirt .,Who does someone dance with?,wife,no,4250
"A man wearing a blue polo shirt and dark pants is carrying a protest sign that say "" Come on now , what 's gayer than tea "" .",When is someone coming on something?,people,no,2914
"Four women , wearing Scottish garments , are playing instruments on the street- two accordion , one horn , and one clarinet .",Who is playing something?,Four musicians,no,661
"A bulldozer works to demolish a decrepit building ; in the background , another brick building waits for its demise , its face covered with a grid of blackened window - holes .",What is something covered with?,windows,no,600
Three they are making pizza dough .,Who is making something?,Three men,no,613
Here is a man wearing a gray hat with a flower boutonniere raising his glass .,Who is wearing something?,person,no,796
A young kids sits in a highchair and draws colorful squiggles on a white piece of paper .,Who sits in something?,A young child,no,2757
"The drunk man in the gray shirt is attempting to drill into a keg of food , while another keg awaits .",What is someone attempting to do?,to drill into a keg of beer,no,1185
An woman wearing headphones is sitting on a subway wearing a blue face mask while three men also wearing the device to prevent germs look back in her direction .,What prevents something?,masks,no,2311
A man and a girl sitting at a table gambling .,Who is sitting somewhere?,A man and a woman,no,1823
A man with a ponytail wearing a blue collared shirt is playing an instrument 's mouthpiece .,Who is wearing something?,someone,no,1744
A young boy raises his chest out of the pool water and takes a huge gulp of air during swimming lessons .,What does someone raise?,his head,no,877
Bicyclist walks bike down a tunnel that does n't allow cycling .,Where does someone walk something?,road,no,2696
One young boy is holding a plastic sward with another young boy is holding a stick outside .,What is someone holding?,sward,yes,1458
A drummer is sitting behind a drum band near to someone playing a guitar .,Where is someone sitting?,behind a drum kit,no,2143
A young boy in a blue shirt examining a baby crocodile while at the game .,When did someone examine something?,while at the zoo,no,1331
A woman sits hidden in the dried stray awaiting an animal in the wild .,Where is someone hidden?,water,no,2574
"On a bright sunny day , two men seem to come to an understanding .",What does someone seem to do?,come to an agreement,no,4067
"A black people wearing a "" your daily cup "" t - shirt and making espresso .",Who is making something?,A black woman,no,1635
A little girl in an orange sarong holds her doll against an iron fence as a bicycle passes behind her .,What does someone hold?,hands,no,2870
A grandpa and granddaughter are playing in the backyard .,Where is someone playing?,game,no,3130
An older man with his nipples peirced stands shirtless .,How does something stand?,shirtless,yes,1734
"Three three , one with a black shirt , one with a navy blue jacket , and one with a red t - shirt , working in an office with a large messy bookshelf .",Who is working?,Three people,no,993
A woman and man walking down a street in an Asian locale .,Where is someone walking?,road,no,3234
A young man is gaining power to hit a punching bag as his peers watch from behind them .,When is someone gaining something?,as his peers watch from behind him,no,2425
People are at an outdoor shopping bazaar walking and looking at merchandise .,What is someone looking at?,them,no,2446
A church choir is performing a Christmas carol while a projector in the background displays the message .,When is someone performing something?,while a projector in the background displays the lyrics,no,405
Two female tennis players showing great sportsmanship at a tennis match .,Where is something being shown?,game,no,804
"On a bright sunny day , two people seem to come to an agreement .",Who seems to do something?,two men,no,4065
A football player dressed in green and black advances the ball while watched by a defender in blue .,What was someone dressed in?,green and white,no,2223
"A group of people are sitting and standing holding a banner that stays , "" WE ARE DEMANDING . """,Who is standing?,students,no,1060
A safety inspector kneeling down checking off what appears to be train passenger this .,How is someone kneeling somewhere?,checking off what appears to be train passenger seats,no,1649
A person wearing jeans and a t - shirt staining handrails on a sunny day .,What did someone wear?,from,no,4368
A woman in jeans and a sweater is packing a rubber tote .,Who is packing something?,someone,no,1586
Two after working on a roof installing insulation .,Who is installing something?,Two men,no,3613
Strolling down down to nowhere .,Where is something strolling?,down path,no,339
"One man in a blue coat is doing an ice sculpture , while a second man dressed in tan is raking up ice shavings .",Who is dressed in something?,someone,no,392
A middle - aged woman with a pink satchel while walking along a breakwater in a European coastal town .,What is walking?,A middle - aged woman with a pink satchel purse,no,295
A softball player in sunglasses tries to avoid a mishap with another player .,Who is something being avoided with?,someone,no,2360
Two men working at a Donut Shop promote their new product candied apples as Customers decide what is the healthiest option .,Who promotes something?,from,no,3408
A man is using a wrench to fix the engine of his car while a blond girl helps him .,What is being fixt?,the wheel,no,609
Three women in ethnic clothing digging next to a dirt truck .,Where is someone digging?,next to a dirt road,no,2671
Two kids on wakeboards attempt to give one another a high - five .,Who gives something?,they,no,1022
"Three men in a casual band are getting ready to play in a small joint- one on the drums , one on guitar , and the third on drums .",What is someone playing in?,"a small joint- one on the drums , one on guitar , and the third on keyboard",no,3913
A newborn boy is lying in an incubator with many tubes attached .,Who is lying?,baby,no,2882
"A man , whose face is obstructed by a lampshade , is sitting next to a bar with drinks , and a mannequin stands nearby .",Who is sitting somewhere?,that,no,1550
A sergeant leads his troops in formation inside a large room with lots of flags in the background .,Who leads something?,that,no,3492
Three men in blue hard hats are on the tops of telephone poles working on the wires of one with a tall wedge topped skyscraper in the background .,What is working?,machines,no,236
Two hockey players trying to get a puck to go their way while a referee makes a decision .,Who is trying to do something?,team,no,3968
"A middle - aged woman with a young , edgy red haircut is looking down at shallots she is cutting up in a restaurant right on a cutting board .",Where is someone cutting up something?,in a restaurant kitchen,no,4205
This group is doing their best to try and enjoy the new hospital building .,What is being enjoyed?,the new hospital orientation,no,1139
A lab technician looking at a slide under a high - powered microscope .,What is someone looking at?,page,no,3778
A young blond girl sitting on a bench with a red pram along side her .,Who is sitting?,woman,no,3068
Military trainees in a rubber band hook a ladder onto a larger boat .,What hooks something?,Military trainees in a rubber raft,no,751
"A black and white spaniel gently mouths the face of a toddler - aged girl wearing a red shirt , khaki skirt and black shoes while the girl looks somewhat amused and somewhat disgusted by the dog 's touch .",What does something mouth?,woman,no,3166
A woman in a green skirt and pink underskirt leans back as she kneels .,When does someone lean somewhere?,kneels,yes,3734
"a little girl sitting outside on a colored paisley blanket wearing a yellow shirt , matching flowered pants , and holding a white hat .",What is being matched?,shirt,no,2498
"As photographers , onlookers , and referee observe , two men in fighting gloves and headgear are shown in stop motion during mid fight and in midair .",Where is someone shown?,in stop motion photography,no,3685
A little boy presses his face a window .,Who presses something?,girl,no,1104
An elderly lady sits among a bounty of food sipping a refreshing beverage while a large straw hat protects her from the sun 's rays .,Who does something protect?,them,no,1866
A group of women converse with one another as they work in a rice paddy .,What does someone work in?,mill,no,1972
"Two Argentina basketball players , one incredibly happy , and the other a little frustrated , with their coach clapping for one of the players and a female manager walking off the court smiling .",What did someone clap for?,team,no,4232
A softball someone in sunglasses tries to avoid a mishap with another player .,What does someone try to do?,to avoid a mishap with another player,no,2357
Jockey riding a racehorse on a racetrack .,What is something being ridden on?,horse,no,422
A woman in a psychic readings shop reads a customer 's palm while other women read .,When does someone read something?,while other women wait,no,3335
"At the rodeo , a patriotic cowboy and cowgirl prepare to ride with an american flag .",Who rides with something?,a patriotic cowboy and cowgirl,yes,817
Here is a man wearing a gray hat with a flower boutonniere raising his eyes .,What is someone raising?,his glass,no,801
A young man loses his love on a stepladder as three others stand around in various poses .,What does someone lose?,his balance,no,3463
A man in a black shirt is cooking out of a cookbook in a cluttered kitchen .,What is someone cooking into?,a cookbook,yes,189
Palestinians protesting US aide to Israel .,Who is someone protesting?,command,no,3030
A woman with short hair listens to her iPod sitting along a river .,Where is something sitting?,along a wall,no,3361
A they walking down the street is carrying a knight in shining armor .,Who is walking somewhere?,A woman,no,1235
A young man in an orange vest holding a shotgun displays a dead bird that he shot .,What did someone shot?,woman,no,1992
It looks as though there was a beauty competition of some sort sponsored by the Chinese as evidenced by the stuffed panda bears .,What was sponsored?,school,no,4280
A man is performing a jumping trip on his bicycle .,What is someone jumping at?,side,no,1848
"Two young children , one in striped top , running down pathway surrounded by ferns .",What is surrounded?,steps,no,484
"An Indian man , wearing his underclothes , pours water over himself .",What is someone wearing?,his underclothes,yes,267
Four hunks of meat spin on a spit while a man cuts meat with a knife in the background .,What does someone cut?,food,no,2801
An African dressmaker puts the finishing touches on a garment while two women watch .,Who puts something?,An African dressmaker,yes,1107
Two women share gossip while waiting for a bus .,When does someone share something?,response,no,332
A young woman in her early twenties is sweeping the floor of her kitchen and smiling at the camera .,Who is sweeping something?,A young lady,no,1683
"A protester in a cowboy gear holds up a sign that says , "" Do nt tax me bro ! """,Who is be taxed?,from,no,2290
A blond woman in a yellow shirt lifts up her face ands furrows her brow .,What does something lift?,up her arm,no,299
Men dressed in either theatrical or historical attire riding horses .,How was someone dressed?,means,no,998
