context,question,answer,start,end
A small boy playing with a toy train set on a tabletop .,Where was something set?,on a tabletop,9,11
A small boy playing with a toy train set on a tabletop .,What was something set on?,a tabletop,10,11
A group of girls are changing in the dressing rom .,Who is changing?,A group of girls,0,3
A group of girls are changing in the dressing rom .,Where is someone changing?,in the dressing rom,6,9
A group of girls are changing in the dressing rom .,What is someone changing in?,the dressing rom,7,9
Asian person holding a white porcelain Asian figurine of a woman holding a fan .,Who is holding something?,Asian person,0,1
Asian person holding a white porcelain Asian figurine of a woman holding a fan .,What is someone holding?,a white porcelain Asian figurine,3,7
Asian person holding a white porcelain Asian figurine of a woman holding a fan .,Who is holding something?,a woman,9,10
Asian person holding a white porcelain Asian figurine of a woman holding a fan .,What is someone holding?,a fan,12,13
A person is reaching out of a window in a high rise to pull on a rope pulley .,Who is reaching?,A person,0,1
A person is reaching out of a window in a high rise to pull on a rope pulley .,Where is someone reaching?,out of a window,4,7
A person is reaching out of a window in a high rise to pull on a rope pulley .,What is someone reaching into?,a window,6,7
A person is reaching out of a window in a high rise to pull on a rope pulley .,How is someone reaching somewhere?,in a high rise,8,11
A person is reaching out of a window in a high rise to pull on a rope pulley .,Why is someone reaching somewhere?,to pull on a rope pulley,12,17
A person is reaching out of a window in a high rise to pull on a rope pulley .,Who pulls on something?,A person,0,1
A person is reaching out of a window in a high rise to pull on a rope pulley .,What does someone pull on?,a rope pulley,15,17
A man in a yellow shirt is standing in the sidewalk measuring .,Who is standing somewhere?,A man,0,1
A man in a yellow shirt is standing in the sidewalk measuring .,Who is standing?,A man in a yellow shirt,0,5
A man in a yellow shirt is standing in the sidewalk measuring .,Where is someone standing?,in the sidewalk measuring,8,11
A woman holding a broom in a small bathroom ; another woman is right outside the door speaking with her .,Who is holding something?,A woman,0,1
A woman holding a broom in a small bathroom ; another woman is right outside the door speaking with her .,What is someone holding?,a broom,3,4
A woman holding a broom in a small bathroom ; another woman is right outside the door speaking with her .,Where is someone holding something?,in a small bathroom,5,8
A woman holding a broom in a small bathroom ; another woman is right outside the door speaking with her .,Who is speaking?,another woman,10,11
A woman holding a broom in a small bathroom ; another woman is right outside the door speaking with her .,Where is someone speaking?,outside the door,14,16
A woman holding a broom in a small bathroom ; another woman is right outside the door speaking with her .,Who is someone speaking with?,her,19,19
A street performer on stilts walks on the stone tiles and discovers the thief escaping with the suitcase .,Who discovers something?,A street performer,0,2
A street performer on stilts walks on the stone tiles and discovers the thief escaping with the suitcase .,Who does someone discover?,the thief,12,13
A street performer on stilts walks on the stone tiles and discovers the thief escaping with the suitcase .,What does someone discover?,the thief escaping with the suitcase,12,17
A street performer on stilts walks on the stone tiles and discovers the thief escaping with the suitcase .,Who is escaping?,the thief,12,13
A street performer on stilts walks on the stone tiles and discovers the thief escaping with the suitcase .,How is someone escaping?,with the suitcase,15,17
A street performer on stilts walks on the stone tiles and discovers the thief escaping with the suitcase .,What is someone escaping with?,the suitcase,16,17
An elderly man sits on a stool robed in off - white,Who sits somewhere?,An elderly man,0,2
An elderly man sits on a stool robed in off - white,Where does someone sit?,on a stool,4,6
An elderly man sits on a stool robed in off - white,What does someone sit on?,a stool,5,6
An elderly man sits on a stool robed in off - white,What is robed?,a stool,5,6
"A teenage girl in blue is holding a piece of paper that says , "" Dreams , "" with another person .",Who is holding something?,A teenage girl,0,2
"A teenage girl in blue is holding a piece of paper that says , "" Dreams , "" with another person .",What is someone holding?,a piece of paper,7,10
"A teenage girl in blue is holding a piece of paper that says , "" Dreams , "" with another person .",What says something?,a piece of paper,7,10
"A teenage girl in blue is holding a piece of paper that says , "" Dreams , "" with another person .",What does something say?,""" Dreams , "" with another person",14,20
"A man , standing amongst many people , is wearing a red shirt and a kilt - like ensemble .",Who is standing?,A man,0,1
"A man , standing amongst many people , is wearing a red shirt and a kilt - like ensemble .",Where is someone standing?,amongst many people,4,6
"A man , standing amongst many people , is wearing a red shirt and a kilt - like ensemble .",Who is wearing something?,A man,0,1
"A man , standing amongst many people , is wearing a red shirt and a kilt - like ensemble .",What is someone wearing?,a red shirt and a kilt - like ensemble,10,18
An old gray - haired man demonstrates a vegetable peeler on a carrot .,Who demonstrates something?,An old gray - haired man,0,5
An old gray - haired man demonstrates a vegetable peeler on a carrot .,What does someone demonstrate?,a vegetable peeler,7,9
An old gray - haired man demonstrates a vegetable peeler on a carrot .,Where does someone demonstrate something?,on a carrot,10,12
An old gray - haired man demonstrates a vegetable peeler on a carrot .,What does someone demonstrate something on?,a carrot,11,12
A man wearing glasses is looking at an electronic device wile holding a lollipop .,Who is wearing something?,A man,0,1
A man wearing glasses is looking at an electronic device wile holding a lollipop .,What did someone wear?,glasses,3,3
A man wearing glasses is looking at an electronic device wile holding a lollipop .,Who is looking?,A man,0,1
A man wearing glasses is looking at an electronic device wile holding a lollipop .,What is someone looking at?,an electronic device,7,9
A man wearing glasses is looking at an electronic device wile holding a lollipop .,What is something holding?,a lollipop,12,13
A worker is carrying plywood for a construction project .,Who is carrying something?,A worker,0,1
A worker is carrying plywood for a construction project .,What is someone carrying?,plywood,4,4
A worker is carrying plywood for a construction project .,Why is someone carrying something?,for a construction project,5,8
A worker is carrying plywood for a construction project .,What is someone carrying something for?,a construction project,6,8
This young girl is enjoying the innocence of childhood and warm weather .,Who is enjoying something?,This young girl,0,2
This young girl is enjoying the innocence of childhood and warm weather .,What is someone enjoying?,the innocence of childhood and warm weather,5,11
A boy plays within the path of a large outdoor meditation labyrinth .,Who plays somewhere?,A boy,0,1
A boy plays within the path of a large outdoor meditation labyrinth .,Where does someone play?,within the path of a large outdoor meditation labyrinth,3,11
Greyhound running on track with blue vest with a white numeral two .,Where is something being greyhounded?,on track,2,3
Greyhound running on track with blue vest with a white numeral two .,What is running?,Greyhound,0,0
Greyhound running on track with blue vest with a white numeral two .,How is something running?,on track,2,3
Greyhound running on track with blue vest with a white numeral two .,What is something running on?,track,3,3
Greyhound running on track with blue vest with a white numeral two .,What is being greyhounded?,running on track,1,3
A man working at a lathe in a woodworking shop .,Who is working?,A man,0,1
A man working at a lathe in a woodworking shop .,Where was someone working?,at a lathe,3,5
A man working at a lathe in a woodworking shop .,What is someone working at?,a lathe,4,5
A man working at a lathe in a woodworking shop .,What is someone woodworking?,shop,9,9
A man hunts for treasure on the beach using his metal detector .,Who hunts for something?,A man,0,1
A man hunts for treasure on the beach using his metal detector .,What does someone hunt for?,treasure,4,4
A man hunts for treasure on the beach using his metal detector .,Where does someone hunt for something?,on the beach,5,7
A man hunts for treasure on the beach using his metal detector .,How does someone hunt for something?,using his metal detector,8,11
A man hunts for treasure on the beach using his metal detector .,Who is using something?,A man,0,1
A man hunts for treasure on the beach using his metal detector .,Where is someone using something?,on the beach,5,7
A man hunts for treasure on the beach using his metal detector .,What is someone using?,his metal detector,9,11
Cops asking a tow truck man some questions .,Who askes someone something?,Cops,0,0
Cops asking a tow truck man some questions .,Who does someone aske something?,a tow truck man,2,5
Cops asking a tow truck man some questions .,What is someone asked?,some questions,6,7
A soldier getting an award for his long commitment as a captain in the united states arm .,Who is getting something?,A soldier,0,1
A soldier getting an award for his long commitment as a captain in the united states arm .,What did someone get?,an award,3,4
A soldier getting an award for his long commitment as a captain in the united states arm .,Why is someone getting something?,for his long commitment as a captain in the united states arm,5,16
A person bungee jumping with the coordinator watching from above .,Who is jumping?,A person,0,1
A person bungee jumping with the coordinator watching from above .,How is someone jumping?,bungee,2,2
A person bungee jumping with the coordinator watching from above .,Who is someone jumping with?,with the coordinator,4,6
A person bungee jumping with the coordinator watching from above .,Who is watching?,the coordinator,5,6
A person bungee jumping with the coordinator watching from above .,Where is someone watching?,from above,8,9
A person bungee jumping with the coordinator watching from above .,Where is someone watching from?,above,9,9
"A man dressed as "" Teen Wolf "" hugs a woman made up like a vampire .",Who was dressed?,A man,0,1
"A man dressed as "" Teen Wolf "" hugs a woman made up like a vampire .",How was someone dressed?,"as "" Teen Wolf """,3,7
"A man dressed as "" Teen Wolf "" hugs a woman made up like a vampire .",What was someone dressed as?,""" Teen Wolf """,4,7
"A man dressed as "" Teen Wolf "" hugs a woman made up like a vampire .",Who hugs someone?,A man,0,1
"A man dressed as "" Teen Wolf "" hugs a woman made up like a vampire .",Who does someone hug?,a woman,9,10
"A man dressed as "" Teen Wolf "" hugs a woman made up like a vampire .",Who is made of something?,a woman,9,10
"A man dressed as "" Teen Wolf "" hugs a woman made up like a vampire .",What is someone made of?,like a vampire,13,15
The skateboarder prepares to wipeout .,Who prepares to do something?,The skateboarder,0,1
The skateboarder prepares to wipeout .,What does someone prepare?,to wipeout,3,4
The skateboarder prepares to wipeout .,What does someone prepare to do?,wipeout,4,4
A toddler wearing an Elmo t - shirt is standing in Santa 's sleigh .,Who is wearing something?,A toddler,0,1
A toddler wearing an Elmo t - shirt is standing in Santa 's sleigh .,What did someone wear?,an Elmo t - shirt,3,7
A toddler wearing an Elmo t - shirt is standing in Santa 's sleigh .,Who is standing somewhere?,A toddler,0,1
A toddler wearing an Elmo t - shirt is standing in Santa 's sleigh .,What is standing?,A toddler wearing an Elmo t - shirt,0,7
A toddler wearing an Elmo t - shirt is standing in Santa 's sleigh .,Where is someone standing?,in Santa 's sleigh,10,13
A toddler wearing an Elmo t - shirt is standing in Santa 's sleigh .,What is someone standing in?,Santa 's sleigh,11,13
A young man in a yellow and orange bathing suit squatting on a rocky protuberance overlooking the water .,Who is squatting somewhere?,A young man,0,2
A young man in a yellow and orange bathing suit squatting on a rocky protuberance overlooking the water .,Who is squatting?,A young man in a yellow and orange bathing suit,0,9
A young man in a yellow and orange bathing suit squatting on a rocky protuberance overlooking the water .,Where is someone squatting?,on a rocky protuberance overlooking the water,11,17
A young man in a yellow and orange bathing suit squatting on a rocky protuberance overlooking the water .,What is someone squatting on?,a rocky protuberance overlooking the water,12,17
A young man in a yellow and orange bathing suit squatting on a rocky protuberance overlooking the water .,What is overlooking something?,a rocky protuberance,12,14
A young man in a yellow and orange bathing suit squatting on a rocky protuberance overlooking the water .,What is something overlooking?,the water,16,17
A man in a black shirt is cooking out of a cookbook in a cluttered kitchen .,Who is cooking?,A man,0,1
A man in a black shirt is cooking out of a cookbook in a cluttered kitchen .,How is someone cooking?,out of a cookbook,8,11
A man in a black shirt is cooking out of a cookbook in a cluttered kitchen .,What is someone cooking into?,a cookbook,10,11
A man in a black shirt is cooking out of a cookbook in a cluttered kitchen .,Where is someone cooking something?,in a cluttered kitchen,12,15
"A street market where goods of fruit and vegetables are being sold by three men , one wearing a long - sleeve white shirt and checked bottoms , the next wearing a yellow shirt with green checkered bottoms , and the last in red .",What is sold?,A street market,0,2
"A street market where goods of fruit and vegetables are being sold by three men , one wearing a long - sleeve white shirt and checked bottoms , the next wearing a yellow shirt with green checkered bottoms , and the last in red .",Who is something sold by?,three men,13,14
"A street market where goods of fruit and vegetables are being sold by three men , one wearing a long - sleeve white shirt and checked bottoms , the next wearing a yellow shirt with green checkered bottoms , and the last in red .",Who wore something?,one,16,16
"A street market where goods of fruit and vegetables are being sold by three men , one wearing a long - sleeve white shirt and checked bottoms , the next wearing a yellow shirt with green checkered bottoms , and the last in red .",What is someone wearing?,a long - sleeve white shirt and checked bottoms,18,26
"A street market where goods of fruit and vegetables are being sold by three men , one wearing a long - sleeve white shirt and checked bottoms , the next wearing a yellow shirt with green checkered bottoms , and the last in red .",What is checked?,bottoms,26,26
"A street market where goods of fruit and vegetables are being sold by three men , one wearing a long - sleeve white shirt and checked bottoms , the next wearing a yellow shirt with green checkered bottoms , and the last in red .",What is being worn?,a yellow shirt,31,33
"A street market where goods of fruit and vegetables are being sold by three men , one wearing a long - sleeve white shirt and checked bottoms , the next wearing a yellow shirt with green checkered bottoms , and the last in red .",What does someone wear?,a yellow shirt with green checkered bottoms,31,37
"A street market where goods of fruit and vegetables are being sold by three men , one wearing a long - sleeve white shirt and checked bottoms , the next wearing a yellow shirt with green checkered bottoms , and the last in red .",What is checkered?,bottoms,37,37
An asian man attempts to put out a wildfire with a small wooden bucket .,Who attempts to do something?,An asian man,0,2
An asian man attempts to put out a wildfire with a small wooden bucket .,What does someone attempt?,to put out a wildfire,4,8
An asian man attempts to put out a wildfire with a small wooden bucket .,What does someone attempt to do?,put out a wildfire,5,8
An asian man attempts to put out a wildfire with a small wooden bucket .,Who puts up something?,An asian man,0,2
An asian man attempts to put out a wildfire with a small wooden bucket .,What does someone put up?,a wildfire,7,8
An asian man attempts to put out a wildfire with a small wooden bucket .,How does someone put up something?,with a small wooden bucket,9,13
An asian man attempts to put out a wildfire with a small wooden bucket .,What does someone put on?,a small wooden bucket,10,13
A brown dog is lying on a grassy field as the wind blows through his fur .,What is lying?,A brown dog,0,2
A brown dog is lying on a grassy field as the wind blows through his fur .,Where is something lying?,on a grassy field,5,8
A brown dog is lying on a grassy field as the wind blows through his fur .,What is something lying on?,a grassy field,6,8
A brown dog is lying on a grassy field as the wind blows through his fur .,When is something lying somewhere?,as the wind blows through his fur,9,15
A brown dog is lying on a grassy field as the wind blows through his fur .,What blows?,the wind,10,11
A brown dog is lying on a grassy field as the wind blows through his fur .,Where does something blow?,through his fur,13,15
A brown dog is lying on a grassy field as the wind blows through his fur .,What does something blow through?,his fur,14,15
A girl wearing a white polka dotted pink bow in her hair squeezes a bubble in front of her face .,Who wears something?,A girl,0,1
A girl wearing a white polka dotted pink bow in her hair squeezes a bubble in front of her face .,What did someone wear?,a white polka dotted pink bow,3,8
A girl wearing a white polka dotted pink bow in her hair squeezes a bubble in front of her face .,Where does someone wear something?,in her hair,9,11
A girl wearing a white polka dotted pink bow in her hair squeezes a bubble in front of her face .,Who is dotted?,A girl,0,1
A girl wearing a white polka dotted pink bow in her hair squeezes a bubble in front of her face .,How is something dotted?,polka,5,5
A girl wearing a white polka dotted pink bow in her hair squeezes a bubble in front of her face .,What is dotted?,pink bow,7,8
A girl wearing a white polka dotted pink bow in her hair squeezes a bubble in front of her face .,Where is something dotted?,in her hair,9,11
A girl wearing a white polka dotted pink bow in her hair squeezes a bubble in front of her face .,Who squeezes something?,A girl,0,1
A girl wearing a white polka dotted pink bow in her hair squeezes a bubble in front of her face .,What squeezes something?,A girl wearing a white polka dotted pink bow in her hair,0,11
A girl wearing a white polka dotted pink bow in her hair squeezes a bubble in front of her face .,What does something squeeze?,a bubble,13,14
A girl wearing a white polka dotted pink bow in her hair squeezes a bubble in front of her face .,Where does something squeeze something?,in front of her face,15,19
A man is wearing a blue shirt that is rolled up above his abdomen .,Who is worn something?,A man,0,1
A man is wearing a blue shirt that is rolled up above his abdomen .,What is someone wearing?,a blue shirt,4,6
A man is wearing a blue shirt that is rolled up above his abdomen .,Who is rolled?,A man,0,1
A man is wearing a blue shirt that is rolled up above his abdomen .,What is rolled?,a blue shirt,4,6
A man is wearing a blue shirt that is rolled up above his abdomen .,Where is something rolled?,up above his abdomen,10,13
A woman holding a giant hotdog covered with mustard .,Who is holding something?,A woman,0,1
A woman holding a giant hotdog covered with mustard .,What is someone holding?,a giant hotdog,3,5
A woman holding a giant hotdog covered with mustard .,Who is covered with something?,A woman,0,1
A woman holding a giant hotdog covered with mustard .,What is covered with something?,a giant hotdog,3,5
A woman holding a giant hotdog covered with mustard .,What is something covered with?,mustard,8,8
Ladies attending a medical seminar .,Who is attending something?,Ladies,0,0
Ladies attending a medical seminar .,What is someone attending?,a medical seminar,2,4
Three men in blue hard hats are on the tops of telephone poles working on the wires of one with a tall wedge topped skyscraper in the background .,What is working?,telephone poles,11,12
Three men in blue hard hats are on the tops of telephone poles working on the wires of one with a tall wedge topped skyscraper in the background .,What is someone working on?,the wires,15,16
Three men in blue hard hats are on the tops of telephone poles working on the wires of one with a tall wedge topped skyscraper in the background .,What is topped?,a tall wedge,20,22
Three men in blue hard hats are on the tops of telephone poles working on the wires of one with a tall wedge topped skyscraper in the background .,Where is something topped?,in the background,25,27
"A group of children , with adult helpers , work together .",Who works?,A group of children,0,3
"A group of children , with adult helpers , work together .",How does someone work?,together,10,10
"A man smiles , while clinking ale bottles , with an unseen person , at a public establishment .",Who smiles?,A man,0,1
"A man smiles , while clinking ale bottles , with an unseen person , at a public establishment .",Who is clinking something?,A man,0,1
"A man smiles , while clinking ale bottles , with an unseen person , at a public establishment .",What is someone clinking?,ale bottles,6,7
"A man smiles , while clinking ale bottles , with an unseen person , at a public establishment .",Where is someone clinking something?,at a public establishment,14,17
A woman walking by two cardboard cowboy gunslingers outside of a building with Dave written on it .,Who is walking?,A woman,0,1
A woman walking by two cardboard cowboy gunslingers outside of a building with Dave written on it .,What is someone walking by?,two cardboard cowboy gunslingers,4,7
A woman walking by two cardboard cowboy gunslingers outside of a building with Dave written on it .,Where did someone walk?,outside of a building,8,11
A woman walking by two cardboard cowboy gunslingers outside of a building with Dave written on it .,Who was written on something?,Dave,13,13
A woman walking by two cardboard cowboy gunslingers outside of a building with Dave written on it .,What was something written on?,it,16,16
A clergyman sits in an old - fashioned wooden confessional .,Who sits?,A clergyman,0,1
A clergyman sits in an old - fashioned wooden confessional .,Where does someone sit?,in an old - fashioned wooden confessional,3,9
A clergyman sits in an old - fashioned wooden confessional .,What does someone sit in?,an old - fashioned wooden confessional,4,9
Businesswoman and man speaking together in front of awaiting army personnel .,Who is speaking?,Businesswoman and man,0,2
Businesswoman and man speaking together in front of awaiting army personnel .,How was someone speaking?,together,4,4
Businesswoman and man speaking together in front of awaiting army personnel .,Where is someone speaking?,in front of awaiting army personnel,5,10
Businesswoman and man speaking together in front of awaiting army personnel .,Who is awaiting someone?,Businesswoman and man,0,2
Businesswoman and man speaking together in front of awaiting army personnel .,Who is being awaited?,army personnel,9,10
He jumped into the pile of leaves we just finished raking .,Who jumped into something?,He,0,0
He jumped into the pile of leaves we just finished raking .,Where did someone jump?,into the pile of leaves,2,6
He jumped into the pile of leaves we just finished raking .,What did someone jump into?,the pile of leaves,3,6
He jumped into the pile of leaves we just finished raking .,Who finished something?,He,0,0
He jumped into the pile of leaves we just finished raking .,What did someone finish?,the pile of leaves,3,6
He jumped into the pile of leaves we just finished raking .,Who was raking?,He,0,0
He jumped into the pile of leaves we just finished raking .,What was someone raking?,the pile of leaves,3,6
"An Indian man , wearing his underclothes , pours water over himself .",Who is wearing something?,An Indian man,0,2
"An Indian man , wearing his underclothes , pours water over himself .",What is someone wearing?,his underclothes,5,6
"An Indian man , wearing his underclothes , pours water over himself .",Who pours something?,An Indian man,0,2
"An Indian man , wearing his underclothes , pours water over himself .",What does someone pour?,water,9,9
"An Indian man , wearing his underclothes , pours water over himself .",Where does someone pour something?,over himself,10,11
