context,question,label,answer1,answer2,index1
"David Lance Arneson (; October 1, 1947 – April 7, 2009) was an American game designer best known for co-developing the first published role-playing game (RPG), Dungeons & Dragons, with Gary Gygax, in the early 1970s. Arneson's early work was fundamental to the development of the genre, developing the concept of the RPG using devices now considered to be archetypical, such as adventuring in ""dungeons"" and using a neutral judge who doubles as the voice and consciousness of all other characters to develop the storyline.Arneson discovered wargaming as a teenager in the 1960s, and began combining these games with the concept of role-playing. He was a University of Minnesota student when he met Gygax at the Gen Con gaming convention in the late 1960s. In 1970 Arneson created the game and fictional world that became Blackmoor, writing his own rules and basing the setting on medieval fantasy elements. Arneson showed the game to Gygax the following year, and the pair co-developed a set of rules that became Dungeons & Dragons (D&D). Gygax subsequently founded TSR, Inc. to publish the game in 1974. Arneson worked briefly for the company.",What was David Lance Arneson ' s career ?,yes,american game designer best known,that,5136
"What later came to be known as the William and Mary style is a furniture design common from 1700 to 1725 in the Netherlands, the Kingdom of England, the Kingdom of Scotland, and later, in England's American colonies. It was a transitional style between Mannerist furniture and Queen Anne furniture. Sturdy, emphasizing both straight lines and curves, and featuring elaborate carving and woodturning, the style was one of the first to imitate Asian design elements such as japanning.",What other style was used in the William and Mary style ?,yes,queen anne furniture,1965 league,2439
German submarine U-738 was a Type VIIC U-boat of Nazi Germany's Kriegsmarine built for service during World War II. Her keel was laid down on 25 February 1942 by Schichau-Werke of Danzig. She was commissioned on 20 February 1943 with Leutnant zur See Erich-Michael Hoffmann in command.,When was the U - 738 commissioned ?,yes,20 february 1943,southern shore,4295
A man in plaid strums and guitar while singing into a microphone in stage .,What is someone singing into?,no,stage,top four spots,11181
A crowd of fans surround a fender bender .,Who surrounds something?,no,A crowd of people,david welsh,11176
Two men are giving shoeshines in an outdoor setting .,Who is giving something?,no,they,bojanala district municipality,10237
"Kyros or Cyrus (Greek: Κύρος), (? – 8 January 712) Ecumenical Patriarch of Constantinople from 705 to 712. He is regarded as a saint in the Eastern Orthodox Church and Roman Catholic Church, which had set his feast for January 7 in Roman Catholic Church and January 8 (21) in Orthodox Church. Cyrus was placed on the patriarchal throne in 705 by Emperor Justinian II, as a replacement for the deposed Patriarch Callinicus I. Soon after Justinian's decline and eventual fall in December 711, Kyros was replaced by the new Emperor Philippicus with Patriarch John VI, who shared Philippicus' Monothelite sympathies.",What position was Cyrus given in 705 ?,yes,patriarchal throne,every minute,6180
Two men stand just under the waterfall 's cascade .,How does someone stand?,no,strong,palestinian police seized,10706
A girl and her fiancee getting lady for some romantic moments after a long day at work .,Who did someone get?,no,ready,"""",9337
Two swordsmen practice their sport .,Who practices something?,yes,Two swordsmen,A man,12260
Sisu (Callsign OHMW) is a Finnish icebreaker of the Atle class built in 1976 in Helsinki.,What is the Sisu ' s callsign ?,yes,callsign ohmw,analyst engaged,4875
One woman playing an oboe behind a woman playing a violin and eyeing sheet ##ing .,Where did someone playe something?,no,behind a woman playing a violin and eyeing sheet music,2010 census,11664
A samurai warrior in full black dress takes his sword from the body on an outdoor training mat .,Where does someone take something?,no,from the sheath,in a shop,8954
'Pushkin gradually became committed to social reform and emerged as a target for the radicals.,How much did it take for Pushkin to commit to social reform?,yes,-10,night,499
"Alchemy Film and Moving Image Festival is an annual film festival and the flagship event of Alchemy Film & Arts that takes place each year in the Scottish Borders town of Hawick. Founded in 2010, it has grown to be considered as a leading festival of experimental and artist film within the UK and Europe.The tenth edition of Alchemy Film and Moving Image Festival will take place 30 April - 4 May 2020.",What kind of festival is Alchemy Film and Moving Image Festival ?,yes,moving image festival,casserole,6867
"The motto of OCS Portsea was Loyalty and Service, which was chosen by Colonel (later Major General Sir) James Harrison during his time serving as OCS's first Commandant (1952–1954).",What was the rank of Colonel Harrison ?,yes,later major general sir,psychological disorders like anxiety,5963
"Colin Maitland (born 12 August 1942) is an English actor who has made several film and television appearances. He is notable for portraying Seth Sawyer, a member of The Dirty Dozen in the 1967 film of that name.He is married to Amanda, whom he met on a blind date, and appeared on the BBC's Bargain Hunt in November 2017. He also appeared in Lolita (1962) and The Bedford Incident (1965). His television roles include the sound/studio engineer in Shoestring (1979–80).",When did Colin Maitland appear on the BBC ' s Bargain Hunt ?,yes,november 2017,they change during night time,2117
Lab technicians are working on a building and teaching the new tech the procedures of the project .,What is someone working on?,no,a project,woodwind instruments,11658
"Survivor is the eponymous debut album by American rock band Survivor, recorded & released in 1979. It is their only album with original drummer Gary Smith and bassist Dennis Keith Johnson. The recording sessions, overseen by A&R executive John Kalodner, were not without difficulties. First Ron Nevison replaced Barry Mraz as producer, and then the project had to be taken to Bruce Fairbairn in Vancouver to achieve a mix that was to Kalodner's satisfaction. The album took eight months to finally be released.",What is the name of the band that released the album ?,yes,american rock band survivor,currently run,7262
"Kyros or Cyrus (Greek: Κύρος), (? – 8 January 712) Ecumenical Patriarch of Constantinople from 705 to 712. He is regarded as a saint in the Eastern Orthodox Church and Roman Catholic Church, which had set his feast for January 7 in Roman Catholic Church and January 8 (21) in Orthodox Church. Cyrus was placed on the patriarchal throne in 705 by Emperor Justinian II, as a replacement for the deposed Patriarch Callinicus I. Soon after Justinian's decline and eventual fall in December 711, Kyros was replaced by the new Emperor Philippicus with Patriarch John VI, who shared Philippicus' Monothelite sympathies.",Which church set Cyrus ' feast for January 8 ?,yes,orthodox church,compilation ultimate survivor,6176
then in red and black raising her leg,Who is raising something?,no,girl,while holding a lavender bag with white embroidery,8296
"Västerås HF was a Swedish handball club based in Västerås. The club was founded in 1934. In 1942–43, the club made its debut in both the top division, Allsvenskan, and Svenska mästerskapet (SM), the tournament held to determine the Swedish champions. They finished fifth in the league, and reached the SM final, where they were defeated by Majornas IK. In the following season they reached the semifinals in SM, but were again defeated by Majornas IK. They reached the SM quarterfinals in 1945–46, 1946–47 and 1947–48. In 1947–48 they were also relegated from the top division and never returned. They reached the semifinals in SM in 1949–50, where they lost against Örebro SK. Västerås HF reached the SM quarterfinals in 1950–51 and 1951–52, after which the tournament was discontinued and the Swedish champions were determined by the league.In later years, the club had a cooperation with Irsta HF, with the clubs running a joint first team under the name Irsta Västerås Handboll. The team, which counted as a continuation of Irsta HF, played in the top division in 2004–05, but were relegated after one season. Irsta HF later withdrew from the cooperation and Västerås HF continued to run the first team with the name IVH Västerås. IVH Västerås merged with Irsta HF in 2011 to form the club VästeråsIrsta HF. The club played in the top division in 2012–13, but as of 2017–18 they play in Division 1, the third level.During their Allsvenskan years, Västerås HF had a notable rivalry with 1938 Swedish champions Västerås IK.",What was the name of the handball club that was founded in 1934 ?,yes,västerås hf continued,episode 1 made early investments,5018
"SpeciesVallaris glabra (L.) Kuntze – bread flower, kesidang (Malay) – Java, Flores, Sumatra; naturalized in W Malaysia, Thailand, Christmas Island",What is another name for the species ?,yes,w malaysia,down,3570
Man dressed up in black and brown and holding a white light saber .,Who is holding something?,no,would,"An acoustic guitarist and lead vocalist , electric guitarist , and a keyboardist",9265
"An older man holding a crook , outside , wearing a red embroidered shirt with a black tassel hanging from it , red glasses , and red and gold embroidered vest over white robes",What did someone wear?,no,a red embroidered hat,official journal,9542
"Zipperface is a 1992 American erotic slasher film written and directed by Mansour Pourmand, and co-written by Barbara Bishop. It stars David Clover, Donna Adams, and Jonathan Mandell.",Who directed the film ?,yes,mansour pourmand,electoral district,1423
"Boris Grigoryevich Fyodorov (Russian: Борис Григорьевич Фёдоров) (13 February 1958 in Moscow – 20 November 2008 in London) was a Russian economist, politician, and reformer. He was awarded a doctor of economics degree from the Moscow Finance Institute and authored over 200 publications. Fyodorov was Minister of Finance of the Russian SFSR (as a constituent of the USSR) in 1990. From 1991 to 1992 he worked for the European Bank for Reconstruction and Development in London. In 1992 he became director of the World Bank. He served as Finance Minister of Russia from 1993 until 1994, when he resigned. Fyodorov was a member of the State Duma between 1994 and 1998. In 1998 he became a tax minister and Deputy Prime Minister of Russia.",What was Boris Fyodorov ' s occupation ?,yes,russian economist,demo tapes,1461
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How many are planes hijacked?,no,once a weekend,second uracil,373
A man in a Tyrolean hat decorates a tan and white cow with ribbons and evergreen while a woman holds the cow 's head .,What does someone decorate?,no,show,puerto rican former professional baseball outfielder,11489
"Static Taxi recorded a large amount of material, some of it on professional studio equipment, and at some point, Stinson brought some demo tapes to the Replacements' old label Twin/Tone. The label refused to sign the band, reportedly because they thought Reigstad's singing was off-key.  Aside from a brief trip to  Las Vegas in 1989, the band's live shows were limited to the local Twin Cities area. Videos of just two of their live shows have surfaced on video-sharing sites such as YouTube: a 1989 show in Las Vegas where they are performing before a small but enthusiastic crowd at a little club, and a 1990 performance where they entertained the employees of a local Twin Cities restaurant at its annual staff party.",What was the first time Static Taxi played in Las Vegas ?,yes,1989 show,russian empire – 6 january 1907,1247
A black man wearing a safety vest and hard hat is dumpster diving and appears to be holding a piece of electrical conduit .,Who is wearing something?,no,person,upperside ground colour,11933
"Two years after leaving the Replacements, Stinson joined Static Taxi in the summer of 1988 with two younger friends, drummer John Reipas and bassist/vocalist Ray Reigstad. Stinson had been jamming informally with Riegstad and Reipas for a couple of years previously, playing cover versions of 1970s pop songs, even while he was still a member of the Replacements. They became a quartet when they recruited bass player Chris Corbett.The band rehearsed tirelessly over the next few years, and developed an extensive catalog of original songs and cover versions. Their headquarters was the office of an abandoned grain elevator near the University of Minnesota campus in southeast Minneapolis. Later, they moved to one of several boxcars which the owner of the grain elevator kept on a railroad siding behind his property and rented out to various artists and musicians. The grain elevator was home to a number of homeless veterans, including one named ""Hillbilly"" who sang the lead on the band's recording of their song ""Hillbilly's Lament.""",What did Stinson do after leaving Static Taxi ?,yes,stinson joined static taxi,rural public school district headquartered,1205
An athletic male scaling a giant rock .,What is someone scaling?,no,male,a sifter,11865
Jeremy Black MBE (born 30 October 1955) is a British historian and a retired professor of history at the University of Exeter. He is a senior fellow at the Center for the Study of America and the West at the Foreign Policy Research Institute in Philadelphia.,What is the status of Jeremy Black ' s job title ?,yes,retired professor,quoya oldfieldii,1909
"'Pushkin wrote his first poem at the age of six, and was widely respected by the cultural elite by the time of his graduation from the Tsarskoye Selo Lyceum.",How much did it take Pushkin to graduate from Tsarskoye Selo Lyceum?,no,fifty years,freud trained,769
A man tells a story as he sits among friends and a couple pints of life .,When does someone tell something?,no,as he sits among friends and a couple pints of beer,a white turtleneck,10026
"Clayton describes a ""batallion de marche"" as comprising the 'fit trained personnel' of all the battalions from a two to three battalion regiment. This creation of a provisional unit may be undertaken because of manpower shortages on mobilisation if new drafts of conscripts and volunteers had not yet arrived .",What type of unit may be created because of manpower shortages ?,yes,provisional unit may,with a toy train,7534
Several uniformed people carrying firearms and wearing white they are lined up in ranks and standing at attention .,What is someone wearing?,no,white gloves,primarily used,10092
"He was editor of the Journal of Adolescence from 1984-2000. In 1989 he founded the Trust for the Study of Adolescence. He was awarded an OBE in 2001 for services to youth justice.His current research interests include young people and new technologies, the parenting of adolescents, and emotional health and well-being. He is engaged, with others, in the establishment of the Association for Young People's Health, which was launched at a major conference on 6 February 2008.",What is one of his research interests ?,yes,current research interests include young people,while sitting next to a loaf of bread,3102
"Donald Walter Trautman (born June 24, 1936) is an American prelate of the Roman Catholic Church who served as Bishop of Erie.",What church is Donald Walter Trautman a member of ?,yes,roman catholic church,"stimulating creative thought .""",6278
Presenters speaking at conference .,Who is speaking?,no,novel,represented new westminster,9525
Old woman in yellow holding tissue over young boys head .,Who heads?,no,male,original contract,9329
"YouTube is an American online video-sharing platform headquartered in San Bruno, California. Three former PayPal employees—Chad Hurley, Steve Chen, and Jawed Karim—created the service in February 2005. Google bought the site in November 2006 for US$1.65 billion; YouTube now operates as one of Google's subsidiaries.",What is youtube ?,yes,sharing platform headquartered,frances brody,5500
"Latin is a highly inflected language, with three distinct genders, six or seven noun cases, five declensions, four verb conjugations, six tenses, three persons, three moods, two voices, two or three aspects and two numbers. The Latin alphabet is derived from the Etruscan and Greek alphabets and ultimately from the Phoenician alphabet.",From what is the Latin alphabet derived ?,yes,phoenician alphabet,lost girls,5350
"Omphalotropis mutica is a species of minute salt marsh snail with an operculum, a terrestrial gastropod mollusk, or micromollusk, in the family Assimineidae. This species is endemic to Palau.",What kind of shell is a salt marsh snail ?,yes,terrestrial gastropod mollusk,reviewed medical journal,5086
A mam is pulling up leaves and dirt from along side a building with a blower .,What is someone pulling up?,no,water,carried 4,11127
A black man wearing a blue shirt and some bling starring into the camera .,Where was someone starring?,no,dark,they were seeing different people,8483
"He was the son of Henry Parker, 10th Baron Morley. He shared a common ancestress in Margaret Beauchamp of Bletsoe with Henry VIII.  Parker was the brother of Jane Boleyn née Parker, and thus the brother-in-law of George Boleyn, during the reign of Queen Anne Boleyn. He was knighted KB on 31 May 1533.He was appointed High Sheriff of Essex and Hertfordshire for 1536–37 and was a Justice of the Peace for Hertfordshire from 1537 to his death. He was also Custos Rotulorum of Hertfordshire from c. 1547 to his death. He was elected a Member (MP) of the Parliament of England for Hertfordshire in 1539 and 1547.He married twice: firstly Grace, the daughter and heiress of John Newport of Furneux Pelham, having at least 2 sons and a daughter, including Henry Parker, 11th Baron Morley. Secondly he married Elizabeth, the daughter and heiress of Sir Philip Calthrope of Erwarton, Suffolk, having at least 1 son who predeceased him.",How many times did he marry ?,yes,henry viii,central germany,5743
"Church of the Name of the Virgin Mary (Czech: Kostel Jména Panny Marie), is a Roman Catholic church in small market town of Křtiny, South Moravian Region, Czech Republic. It is an important pilgrimage destination in Moravia and one of the most celebrated shrines in Central Europe.",In what country is the Church of the Name of the Virgin Mary located ?,yes,czech republic,someone,7393
"'Partial "" lunars occur at least twice a year, but total solar eclipses are less common.",How soon do lunar eclipse happen?,no,2 times a seconds,radio services broadcast,877
"Românii au talent (English: Romanians got talent) is a TV show which began airing on 18 February 2011. The project acts as a Romanian version of the franchise Got Talent, developed by Simco Limited. The show is hosted by Smiley and Pavel Bartoș, while the opening judge panel consisted of singer Andra, presenter Andi Moisescu, and dancer Mihai Petre; following Petre's exclusion for the fifth season, TV presenter Mihaela Rădulescu and actor Florin Călinescu joined the panel. The winner of ""Românii au talent"" is awarded with €120,000.",What is Românii au talent ?,yes,tv show,pdb code 4oge,6503
"A woman sitting , a woman sweeping , and a woman holding a shovel .",Who is sweeping?,no,three,another,8569
"Episode 1 is a venture fund set up to invest in early-stage technology companies based in the UK. The three partners behind the fund – Simon Murdoch, Damien Lane and Adrian Lloyd – are experienced entrepreneurs and investors, and have been through every stage of the start-up process, from inception to initial public offering. The firm invests between £250,000 and £2 million in UK based early-stage companies. Episode 1's first fund was launched in 2013 and totalled £37.5m. Its objective is to give a better start to the next generation of British tech ventures than their predecessors. It was created with a mixture of public and private money, including backing from Alex Chesterman of Zoopla Property Group. It is one of the UK Government's Enterprise Capital Funds – set up to support fund managers who invest in small, high-growth businesses. The £12.5 million of private investment was matched with £25 million of public money. The government's Business Secretary Vince Cable endorsed the launch of the fund, saying it 'will target a serious gap in the equity market for high-growth small firms'.The firm launched a second Enterprise Capital Fund totalling £60m in November 2017. The focus of the second fund is also early stage UK based businesses. ",What is the name of the partner behind Episode 1 ?,yes,alex chesterman,august eduard grell,7228
"'He was asked to lend his support by writing a letter, with Szilard, to President Roosevelt, recommending the U.S. pay attention and engage in its own atomic energy program.",When did Roosevelt receive the letter?,no,1:00 AM,woman,614
A group of elderly peddlers selling blow up balloons and toys along the side of a street .,What does someone blow up?,no,dance,possibly salix alba,10033
"Forestry (mainly forestry) is the main economic activity in this valley; recreational tourism activities, second, main because of the Ashuapmushuan Wildlife Reserve.",What is the name of the wildlife reserve in the valley ?,yes,ashuapmushuan wildlife reserve,a few centuries,6337
"On July 30, 2016, Davies and the New England Revolution announced that he had been diagnosed with cancer.",On what date was Davies diagnosed with cancer ?,yes,july 30,severe injuries,4564
"We are Electrocution is the debut album by nihilistic new wave punk rock band Le Shok released in 2000 on GSL. Initially available only in limited quantities on vinyl, a CD was released the following year. The album garnered inclusion on the Village Voice critics Pazz & Jop list for 2000.",What publication listed Le Shok ' s debut album as a Pazz & Jop ?,yes,village voice critics pazz,house martin,3166
"Bafq (Persian: بافق‎, also Romanized as Bāfq) is a city in and the capital of Bafq County, Yazd Province, Iran. At the 2006 census, its population was 30,867, in 7,919 families.",What county is Bafq the capital of ?,yes,bafq county,southern tip,6665
"A black and white spaniel they mouths the face of a toddler - aged girl wearing a red shirt , khaki skirt and black shoes while the girl looks somewhat amused and somewhat disgusted by the dog 's touch .",How does something mouth something?,no,gently,people,11184
"Prince Aleksander Michał Lubomirski (1614–1677) was a Polish nobleman, aristocrat and the brother of controversial commander Jerzy Sebastian Lubomirski.",What was Prince Aleksander Michał Lubomirski ' s nationality ?,yes,polish nobleman,kids,6187
"In music history, the Roman School was a group of composers of predominantly church music, in Rome, during the 16th and 17th centuries, therefore spanning the late Renaissance and early Baroque eras. The term also refers to the music they produced. Many of the composers had a direct connection to the Vatican and the papal chapel, though they worked at several churches; stylistically they are often contrasted with the Venetian School of composers, a concurrent movement which was much more progressive. By far the most famous composer of the Roman School is Giovanni Pierluigi da Palestrina, whose name has been associated for four hundred years with smooth, clear, polyphonic perfection. However, there were other composers working in Rome, and in a variety of styles and forms.",Where did the composers of the Roman School work ?,yes,several churches,caterer,3790
"The Russian military intervention in the Syrian Civil War started on 30 September 2015, with 4,000 Russian military personnel being stationed in Syria. The Russian forces also consisted of 25 strategic bombers, 20 tactical bombers, 12 attack bombers, 8 fighter aircraft, 16 attack helicopters and various other aircraft.",When did the Russian military intervention in the Syrian Civil War begin ?,yes,30 september 2015,chalk,6551
"The 1926 Open Championship was the 61st Open Championship, held 23–25 June at Royal Lytham & St Annes Golf Club in Lytham St Annes, England. Amateur Bobby Jones won the first of his three Claret Jugs, two strokes ahead of runner-up Al Watrous. Jones was the first amateur to win the title in 29 years, last by Harold Hilton in 1897. Americans finished in the top four spots and it was the fifth victory by an American in six years.This was the first Open Championship in which there was both qualifying and a 36-hole cut. A 36-hole cut had been introduced in 1898 to reduce numbers on the final day. However with an ever increasing number of entries, in 1907 the cut was replaced with a qualification competition. This had continued until 1925, except in 1910–11 when there was again no qualification but a 36-hole cut. To make the cut players would need to be within 14 strokes of the leader after 36 holes. A new rule by the R&A was also put into place in the 1926 Open Championship; it stated that no competitors would be allowed more than two practice rounds prior to the event.  In the past some players had spent weeks on the championship course practicing. This new rule allowed the American players to compete on more equal terms with the British entrants.This was also the first time there was regional qualifying. A southern section played at Sunningdale, a central section at St Annes Old Links and a northern section at Western Gailes. Each section played 36 holes, although for the southern and central sections this took place on two days (16–17 June) while for the northern section it was on just one day (16 June). 49 places (and ties) were allocated to the southern section, 42 places (and ties) to the central section and 10 places (and ties) to the northern section. 55 players qualified from the southern section, 51 from the central section and 11 from the northern section giving a total of 117. Tom Wilson won the northern section with a score of 148. In the southern section Bobby Jones dominated, scoring 134 (66-68) and leading by seven clear strokes. During the two rounds on only one hole did he score more than four, a five at the 10th in his second round.  After his first round of 66, The Times reported that ""the crowd dispersed awe-stricken. They had watched the best round they had ever seen, or ever would see, and what the later players did they neither knew nor cared"". Walter Hagen led the central section with a score of 143, one of nine Americans qualifying there.Hagen opened with 68 on Wednesday to take the lead, but a 77 in the second round dropped him back to third. In his second Open and already the winner of two U.S. Amateurs and a U.S. Open, Jones played steady golf and carded two rounds of 72 to co-lead with Bill Mehlhorn at the midway point. Hagen was a stroke back and one behind him were Watrous and Fred McLeod.Jones had 73 in the third round on Friday morning, but Watrous shot 69 and took a two-stroke lead after 54 holes. In the final round that afternoon, Jones was still two behind Watrous with five holes to play. After picking up two strokes to forge a tie, Jones hit a wayward drive on 17 which appeared to swing the tournament back to Watrous.  However, Jones hit a remarkable recovery shot from the sand dunes onto the green, closer to the hole than Watrous' approach from the fairway. Jones wound up taking the decisive lead in the tournament on this hole after Watrous three-putted. Jones played the tough final 5 holes in 4-3-4-4-4 to post 74 for 291, while Watrous struggled to 78 and 293. Hagen, playing behind Jones and Watrous, had a chance to tie by holing his second shot on the 18th, but his shot rolled past the hole and into a bunker and he settled for third place.Jones, age 24, won his first Open Championship in just his second appearance. His first was five years earlier in 1921 and was less than pleasant: he walked off the Old Course at St Andrews in frustration after taking several shots to get out of a bunker. He went on to win two more Opens; his successful defense in 1927 was back at the Old Course, and his third in 1930 at Royal Liverpool was the second leg of his celebrated grand slam. Its first leg was the 1930 British Amateur, won three weeks earlier, Jones' win 90 years ago in 1930 is the last by an amateur.",Who won the 1926 Open Championship ?,yes,friday morning,george iii,3746
"The 7th South African Grand Prix was a motor race, run to Formula Libre rules, held on 27 December in East London. The race was run over 72 laps of the circuit, and was dominated by British driver Stirling Moss who took pole and came home in first place. Jo Bonnier finished second and also set the fastest lap of the race. The 1960 Formula One World Champion Jack Brabham finished third.",What type of race was the 7th South African Grand Prix ?,yes,motor race,a solicitor,4171
"'Pushkin wrote his first poem at the age of six, and was widely known by the intellectual public by the time of his graduation from the Tsarskoye Selo Lyceum.",At what age did Pushkin graduate from Tsarskoye Selo Lyceum?,no,3,30 years,746
"The Oregon tax rebate, commonly referred to as the kicker, is a rebate calculated for both individual and corporate taxpayers in the U.S. state of Oregon when a revenue surplus exists. The Oregon Constitution mandates that the rebate be issued when the calculated revenue for a given biennium exceeds the forecast revenue by at least two percent. The law was first passed by ballot measure in 1980, and was entered into the Oregon Constitution with the passage of Ballot Measure 86 in 2000.",How was the Oregon tax rebate first passed ?,yes,ballot measure,artery,4258
"Multilingual playback singer Sadhana Sargam has recorded numerous private albums and songs. Below are her mainstream Hindi, Marathi,Tamil, Telugu, Kannada and Malayalam record lists. She has also released thousands of devotional Hindu albums including Gajanana, Aartiyan, Shri Sai Mantra, Shri Ram Mantra and Jai Ambe Maa to name a few. Her 2015 Sai bhajan ""Sai Ram Sai Shyam"" has found immense popularity among devotees.",What is the name of the mantra Sadhana Sargam uses in her devotional albums ?,yes,shri sai mantra,A middle - aged woman with a pink satchel purse,3352
"Hansen's Annex is a historic house on Main Street in Center Sandwich, New Hampshire.  Built about 1839, it is one of a small number of Greek Revival buildings to survive, out of many that once graced the town.  It has seen use as a single-family residence, tavern, and boarding house.  It was listed on the National Register of Historic Places, and included in the Center Sandwich Historic District, in 1983.",On what street is Hansen ' s Annex located ?,yes,main street,logan counties,1412
"Hansen's Annex is a historic house on Main Street in Center Sandwich, New Hampshire.  Built about 1839, it is one of a small number of Greek Revival buildings to survive, out of many that once graced the town.  It has seen use as a single-family residence, tavern, and boarding house.  It was listed on the National Register of Historic Places, and included in the Center Sandwich Historic District, in 1983.",What register was the Hansen ' s Annex listed on ?,yes,national register,subsequently awarded,1411
