question,label,answerA,answerB,answerC,answerD,id
name something kids would play with outside in summer.,A,ball,kick,heat,round,3563_protoqa
name something people kiss for luck.,A,person,honest,reason,thing,2645_protoqa
what might you find out about a job that would keep you from accepting it,B,client,location,office,service,4239_protoqa
tell me a reason someone might move to another state.,D,fair,jobs,business,job,2052_protoqa
name a fruit you often find on or in pancakes,B,raspberries,blueberries,berries,almonds,150_protoqa
name a part of a car that thieves often steal.,D,vertical,titanium,cassette,stereo,1811_protoqa
"past or present, name an educational tv program for children.",A,barney,thor,gandalf,elvis,2018_protoqa
name something a mother might include in a care package to her son who's away at college.,D,pay,some,cash,money,1766_protoqa
"besides potatoes, name something you would find in a potato salad.",A,mayonnaise,flavoured,cucumber,mustard,5415_protoqa
name something a child does to prove they're too sick for school.,B,mouth,cough,dammit,poop,3572_protoqa
name something you'd hate to hear a house-sitter say happened while you were gone.,A,fire,run,into,street,4106_protoqa
name a female disney character.,C,mermaid,rapunzel,cinderella,owl,6232_protoqa
name a quality thats important in a friend and even more important in a spouse,C,benevolence,helpfulness,trustworthiness,dependability,1327_protoqa
name a reason why it would be fun to live in a big city.,A,nightlife,resorts,meetup,losangeles,741_protoqa
name an animal that is known for being black and white.,A,zebra,leopard,polka,lipstick,2831_protoqa
name a james bond theme.,B,betelgeuse,goldfinger,kenway,nightwing,655_protoqa
name an animal that digs.,D,dogs,cat,monkey,dog,805_protoqa
tell me something you can never find when you need it.,D,rolling,pandora,dash,keys,2067_protoqa
what might you see in a personals ad that would make you think it was placed by superman?,A,strong,more,life,calm,2118_protoqa
name something that happens in the royal family that usually makes the news.,B,dinners,weddings,gatherings,costumes,749_protoqa
name something that tastes better plain than fruitflavored,B,bottle,water,salt,burning,2242_protoqa
name something specific people complain about being saddled with.,C,taxes,paying,bills,paid,783_protoqa
name something a caveman might use to fight a sabre-toothed tiger.,C,party,camp,club,miami,6108_protoqa
name a part of your daily personal hygiene routine that you sometimes skip.,B,washing,showering,drying,tidying,7110_protoqa
"name something ""fake"" that you might give to the person hitting on you in a bar.",A,name,guy,friend,what,6788_protoqa
name an animal that ruins a farmer's crops.,A,crow,dynamite,dogg,roach,6941_protoqa
"at the dinner table, what food do kids most like to play with?",B,veggies,vegetables,onions,tomatoes,6485_protoqa
name something you crave on a daily basis.,D,nutella,vodka,banana,chocolate,6909_protoqa
name something that people who are afraid of catching colds will refuse to do.,D,smile,love,baby,kiss,1805_protoqa
name something people file for.,A,divorce,denied,marriage,apology,6142_protoqa
name something that can get tangled.,C,nails,eye,hair,glasses,246_protoqa
"name somewhere people are where they say: ""i gotta get out of this place.""",D,here,working,way,work,1583_protoqa
name something people take lots of photos of during a vacation be specific,A,themselves,each,ourselves,yourself,6640_protoqa
name something an elevator operator probably gets tired of saying,C,thanks,thank,hello,welcome,137_protoqa
name an expensive foreign car.,B,bmw,ferrari,mercedes,porsche,5137_protoqa
name something kids learn at preschool.,D,dna,clone,letters,alphabet,6146_protoqa
name something people like to lie beside.,C,cat,dog,pet,fish,7346_protoqa
how can you tell one car apart from another of the same model and year?,B,red,color,tube,toy,25_protoqa
name something that might hurt after you attend a rock concert.,A,head,side,down,cut,3517_protoqa
"other than clothing store, name a type of business you find in a mall",B,bakery,restaurant,ikea,village,7435_protoqa
name a piece of jewelry women often lose.,B,scarf,earrings,necklace,bracelet,662_protoqa
name a game that would be inappropriate at a company party.,A,twister,grease,drums,budweiser,6693_protoqa
name a phrase on a traffic sign that you could imagine seeing on your inlaws house,D,talk,quit,leave,stop,4423_protoqa
name a fact that most residents don't know about their own state,A,population,cities,forces,states,3336_protoqa
name a way to wake someone up in the morning that would be really mean.,A,scream,cry,breathe,yell,865_protoqa
name a food thats baked in the oven but cant be cooked in the microwave,C,cream,cookie,cake,cupcake,1191_protoqa
name something people often forget to turn off.,D,rocks,sky,doors,lights,5164_protoqa
what food do you want to avoid before kissing someone?,C,pasta,chocolate,pizza,starbucks,3204_protoqa
name an occupation that uses a drill.,A,builder,toolkit,tool,protocol,2866_protoqa
name the first thing a teenager does when he gets home from school.,A,eat,bake,drink,bread,6304_protoqa
name something kids are less afraid of than adults.,B,lizards,insects,squirrels,goats,913_protoqa
name an occupation where a woman works hard for the money.,C,cooks,maid,waitress,waiter,6175_protoqa
tell me something a man teaches his son to do,A,shave,thighs,legs,straighten,2029_protoqa
"where might you be if someone asks ""room for one more?",B,bathroom,elevator,airplane,fence,1057_protoqa
name something specific a child does to get on santa's naughty list.,A,fight,fighting,hold,stand,6923_protoqa
name something your parents look for in your date although you may not,B,some,money,cash,pay,2454_protoqa
what kind of high school clubs do you think bill gates was in?,D,cell,device,camera,computer,1076_protoqa
name your favorite flavor of cambell's soup.,B,avocado,tomato,pepper,garlic,1696_protoqa
at a party where you dont know anyone how might you pass the time,D,bake,bread,eat,drink,3249_protoqa
name something provided in some waiting rooms to help pass the time,D,channel,video,radio,tv,294_protoqa
name something people yell at that cannot yell back.,D,cats,dogs,pets,animals,1579_protoqa
tell me something people postpone doing for as long as they can.,A,diets,supplements,dieting,juicing,4181_protoqa
name someone who is more popular dead than when they were alive.,D,lord,christ,god,jesus,3539_protoqa
name a reason why a plane may be delayed,A,weather,snow,degrees,today,4623_protoqa
name something people keep putting off.,A,housework,painkillers,chores,productively,5866_protoqa
name the hardest thing to teach a dog to do.,C,matkoma,gelana,housebroken,herbivores,787_protoqa
name something you might have to wait for a while on an airplane?,B,wine,food,drink,coffee,3361_protoqa
tell me something about cupid.,B,miss,love,you,baby,5295_protoqa
tell me an excuse for not going to work that no one really believes,A,sick,hell,crazy,feel,6354_protoqa
name a sport that a tough guy might think is wimpy.,A,golf,tennis,bowling,gear,5742_protoqa
name something on a car that might break but wouldn't keep you from driving it.,A,lights,rocks,doors,sky,435_protoqa
name something you might see at a crime scene,A,blood,burning,body,burn,2422_protoqa
name something you buy that has a clock in it.,C,truck,on,car,front,1477_protoqa
name something you might only wear on a special occasion.,D,dresses,skirt,heels,dress,6132_protoqa
"we surveyed 100 women...if you wanted to drive your husband crazy, name something of his you might hide.",D,rolling,dash,pandora,keys,351_protoqa
which sports are more popular in america than in other countries?,D,winning,basketball,soccer,football,6430_protoqa
name something people frequently trip over.,C,cable,batteries,cables,tires,815_protoqa
name the place where you do most of your singing.,A,church,haven,living,house,5028_protoqa
name something that makes noise on the kitchen.,B,vacuum,blender,tumbler,refill,5072_protoqa
name a specific form of entertainment you think costs too much.,A,movies,songs,movie,dancing,3979_protoqa
name someone specific in your life who has tried to set you up on a blind date.,A,sister,dad,brother,mom,6592_protoqa
name something a high school student looks forward to.,B,homecoming,graduation,thursday,prom,3774_protoqa
name something in your house that children are not allowed to touch.,D,tray,gallon,oven,stove,105_protoqa
"name something you keep in your pocket or purse ""just in case.""",B,some,money,pay,cash,277_protoqa
tell me a kind of place where it's acceptable to scream.,D,here,house,out,home,3157_protoqa
name something drivers spend time looking at with their eyes when they should be on the road.,B,abc,radio,fm,video,7211_protoqa
name something that's embarrassing to fall asleep while doing.,C,drinking,smoking,eating,eat,3767_protoqa
name a game a family plays at an annual holiday gathering,B,re-runs,charades,frogger,qwop,5650_protoqa
name something people hate to clean.,C,stuck,bathroom,toilet,flat,2832_protoqa
name something youre supposed to do with both hands but people often use just one,C,corner,switch,drive,running,4438_protoqa
name something you'd hate to see in the ocean next to you.,D,flying,deer,snake,shark,3649_protoqa
"if you were turned into a bee, name something you'd have to learn how to do.",D,walk,turn,jump,fly,2191_protoqa
name the best place for single people to find each other,B,hotel,bar,roll,square,508_protoqa
name something that has a horn.,A,car,truck,on,front,5217_protoqa
name something men think they know more about than women.,B,trucks,cars,bikes,vehicles,6062_protoqa
"if aretha franklin's the queen of soul, who's the princess?",A,beyonce,rihanna,minaj,nicki,4359_protoqa
where were you the last time you had a bit too much to drink.,A,bar,square,roll,hotel,6428_protoqa
"when a man buys flowers for a woman, name a reason why he might choose one kind over another.",B,card,price,discount,stock,4271_protoqa
name something a couple might worry about having less of once they have children,C,pay,some,money,cash,4473_protoqa
who or what might you give a nickname to?,A,pet,fish,dog,cat,5313_protoqa
name a celebrity from decades ago whos still thought of as a style icon,D,urkle,roxie,patsy,twiggy,2314_protoqa
"name something that is made of gold. (""jewelry"" is not an answer. be more specific.)",C,earrings,beaded,necklace,bracelet,476_protoqa
name a place where you often find money unexpectedly.,A,couch,sitting,shower,laying,2708_protoqa
name a reason you might send a bowl of soup back.,B,snow,cold,rough,dry,3625_protoqa
name something naughty that children do while at the store,A,steal,them,carry,dump,18_protoqa
name something a husband asks his wife to carry in her purse for him.,C,pandora,rolling,keys,dash,7102_protoqa
name something a teenager might bring to school.,D,id,text,line,phone,6227_protoqa
"name a food served with melted butter on it. (vegetables is not an answer, be more specific)",A,popcorn,cheesecake,cookies,cookie,2525_protoqa
name the holiday people gan the most weight after.,C,easter,holidays,thanksgiving,brunch,6920_protoqa
name an occupation where people might confess something to you.,A,priest,orphan,widow,preacher,535_protoqa
"if you needed some fast cash, name a possession you might sell",B,eyewear,jewelery,brogues,cardy,1158_protoqa
name something funny someone could do to the family photo.,C,prankster,photobombs,photobomb,magician,7363_protoqa
what places are most likely to get tagged with graffiti,D,tarmac,pky,intersection,overpass,5321_protoqa
name someone who usually wears a cape.,C,thor,potter,batman,spiderman,3749_protoqa
name something doctors tell us to avoid.,C,smoke,drinking,smoking,weed,6110_protoqa
name something that a couple has a first one of.,A,child,children,mother,woman,4124_protoqa
name something people might lie about on their online dating profile.,C,makes,looked,looks,look,333_protoqa
name a specific food or drink that is most responsible for the size of your belly.,B,wine,beer,food,coffee,3703_protoqa
name something youd probably see at a construction site,B,an,men,man,bra,5557_protoqa
name a public place where you might see quarreling lovers make a scene.,D,ikea,village,bakery,restaurant,2694_protoqa
name an event where you see proud parents.,B,thursday,graduation,homecoming,prom,7137_protoqa
what item might a person who cant cook be asked to bring to thanksgiving,C,beers,drink,drinks,snacks,4223_protoqa
name something a person might slide down on a snowy hill.,B,snowboard,sled,tailgate,canoe,573_protoqa
name a place where it's usually not ok to wear jeans.,B,way,work,here,working,749_protoqa
name the electronic device that you use most in a day,C,cell,camera,computer,device,1316_protoqa
name something you tell someone is going to hurt you more than them.,B,handjob,spanking,sass,fisting,6581_protoqa
"if people could have a spare body part, name something you wouldn't mind having an extra one of.",A,hand,hands,eye,arm,6561_protoqa
name something that has pits.,D,cherry,lime,strawberry,peach,5037_protoqa
name something women leave lying all over the bathroom.,D,mug,makeup,lipstick,make-up,4962_protoqa
name a reason why a child might not want long hair,C,look,boy,hot,cool,5711_protoqa
name a way you can tell a storm is coming,C,speed,lightening,lightning,flames,4612_protoqa
name a breed of dog that everyone has heard of.,D,terrier,beagle,labrador,poodle,2459_protoqa
name something you wash in a sink.,D,washing,laundry,cooking,dishes,6999_protoqa
name a profession that is very stressful.,A,doctor,has,actual,doc,7261_protoqa
name a specific animal you think of when you're with a bunch of party animals.,C,unicorn,rabbit,monkey,turtle,7298_protoqa
what would you find at a frat party?,D,vodka,produce,consume,alcohol,1071_protoqa
"name a place that's visited often, that you can't imagine going for a business trip.",C,melbourne,sydney,hawaii,island,3770_protoqa
name something you can't do when it is cold out.,D,fireworks,swim,skating,swimming,2974_protoqa
name a person in your life who it would be unwise to live with.,C,parents,bosses,parent,advice,183_protoqa
give me a slang term for money.,A,cash,money,sell,deal,3278_protoqa
name a body part that swells on a pregnant woman,C,toes,wet,feet,bottom,487_protoqa
name a place where you nap just to pass the time.,D,way,working,here,work,3558_protoqa
name something pirates may do when they are bored.,B,eat,drink,bread,bake,7349_protoqa
tell me the most number of people that could squeeze into a telephone booth,B,five,two,many,three,7449_protoqa
"name something people mean to do in their spare time, but end up watching tv instead.",D,wash,stick,flat,clean,5738_protoqa
name a drink that you might stir,A,coffee,food,tea,wine,5667_protoqa
tell me something you wish would stop growing so you didn't have to deal with it,C,eye,glasses,hair,nails,2042_protoqa
name something people own that they brag about being really big.,A,car,front,on,truck,4848_protoqa
name a place where you might see a lot of rats,C,brick,cannon,alley,cabin,1351_protoqa
name something people do before having their picture taken.,A,hair,nails,glasses,eye,1779_protoqa
name a fruit that can fit in your mouth whole.,A,grapes,pretzels,watermelon,strawberries,1642_protoqa
name a thanksgiving item children make at school.,B,turkish,turkey,italian,soldiers,6586_protoqa
"besides maple, name a flavor of syrup.",B,cheesecake,blueberry,strawberry,vanilla,238_protoqa
name a part of the body you'd be shocked to hear your grandmother got pierced.,D,peirced,toungue,cartilage,bellybutton,7218_protoqa
something people stand in front of a mirror to practice.,C,naked,watching,dancing,singing,5256_protoqa
name something you might do when your hair is a mess.,A,hairdresser,librarian,stylist,dermatologist,542_protoqa
name something people do to keep warm in the winter.,B,tanning,snuggle,cuddles,cuddle,272_protoqa
name an animal that's known for eating garbage,D,pauper,tambourine,tron,racoon,3590_protoqa
name the american city you think that the rudest people.,C,texas,chicago,boston,york,3734_protoqa
name something most people only have one of.,C,truck,front,car,on,1483_protoqa
name something on tv that causes people to yell at their screens,D,adverts,garbage,crap,commercials,4523_protoqa
"besides water, name a liquid used in cooking.",D,plant,coal,mining,oil,1123_protoqa
during an argument what might a teen do that makes their parents really angry,A,yell,scream,scare,scared,1126_protoqa
besides tomatoes name something you sometimes find in spaghetti sauce,B,tofu,mushroom,tomato,onion,4299_protoqa
name a party game that you'd be surprised to see at an adult's birthday,D,drums,grease,budweiser,twister,1210_protoqa
tell me which of the 7 dwarfs would have the hardest time finding a date.,A,grumpy,spoiled,naughty,sassy,2035_protoqa
name something gross a person might say they found in their fast food so they can sue the company.,C,thumb,fingers,finger,ear,2802_protoqa
name something you wear that you don't take to the dry cleaners.,D,pants,socks,matching,underwear,2615_protoqa
name something that people shed.,D,glasses,nails,eye,hair,7264_protoqa
what might you find out about a man that would make you think he wasn't ready to commit?,C,kid,lady,young,rich,7500_protoqa
they say money isn't everything. tell me something that's definitely worth more to you than cash.,D,meet,all,friends,family,2073_protoqa
name something that might be grape-flavored,A,juice,coke,milk,sugar,2316_protoqa
name something embarrassing that might happen while you're laughing,C,burn,punch,pee,sit,2477_protoqa
name a place where youd least expect to see a superhero,B,quit,jail,cop,cops,3615_protoqa
name something a man would need to go from beached whale to ironman athlete.,B,pool,gym,mate,regular,7178_protoqa
name something specific you almost always eat out of a bag,B,donuts,chips,cheese,fries,6704_protoqa
name a reason a parent might not get their teenager a cell phone.,C,obama,says,bill,clinton,4103_protoqa
which animal has the best chance of winning at the hurdles,D,elephant,duck,dog,horse,7533_protoqa
tell me a country that is known for having rude people.,B,china,usa,base,local,342_protoqa
what do you find out about a hotel ahead of time when deciding whether to stay there,A,price,discount,card,stock,6431_protoqa
name something you can adjust on your tv.,B,led,volume,motion,zero,6249_protoqa
name a type of professional who might overcharge you if you don't know any better.,C,hvac,contractor,mechanic,technician,4040_protoqa
name something you wear that you don't replace or buy new very often.,A,coat,shoe,tank,boots,7206_protoqa
what might a child bring to summer camp in case they get homesick,B,pillow,blanket,towel,wrap,5326_protoqa
name a bird people don't usually eat.,A,pigeon,singe,lion,gland,1672_protoqa
name something people put on their french fries.,C,milk,chips,ketchup,pringles,625_protoqa
name something you look forward to seeing in the summer.,B,lake,beach,town,square,5013_protoqa
name something you do when you see a mouse in the house.,B,turn,catch,hit,up,2651_protoqa
name something people do with both hands.,D,corner,switch,running,drive,730_protoqa
name something in your daily routine you could still do even if youre wearing a strait jacket,C,bread,bake,eat,drink,23_protoqa
name something you need to go fishing.,A,bait,ug,malay,abot,3690_protoqa
name something your parents would look for in your date.,B,pay,money,some,cash,4936_protoqa
name an advantage a truck has over a car.,A,size,dress,sizes,gram,4727_protoqa
name a kind of event a child in a large family might have to go to a lot,D,batches,funerals,anniversaries,graduations,6672_protoqa
"past or present, name a famous diet.",A,atkins,bender,walden,squire,934_protoqa
tell me who was at the door the last time you pretended not to be home,C,telemarketer,technicians,salesperson,handyman,7461_protoqa
if they offered a class on how to be a rockstar name something they might teach you how to do,D,jare,jane,meh,sing,4350_protoqa
name something from childhood that people hate to sell or give away.,A,clothes,pants,glasses,shoes,691_protoqa
name something people have to be taught to hold correctly.,C,planks,official-website,silverware,trebles,7115_protoqa
name something in your car that can be turned on and off.,A,radio,abc,fm,video,3571_protoqa
name a quality a single man needs in order to get on the most eligible bachelor list.,D,kids,young,women,rich,5863_protoqa
name a date when you shouldn't break up with someone.,A,birthday,bday,happy,welcome,334_protoqa
name a place where a child might get separated from her parents,A,mall,beach,downtown,town,389_protoqa
name a location where you had your first kiss.,B,truck,car,front,on,2572_protoqa
name something of yours that you'd like to be nicer than your neighbor's.,B,room,house,out,home,317_protoqa
name something you put sugar on.,C,milk,oreos,cereal,taco,6223_protoqa
name something you wouldnt leave in you car on a hot day,C,monkey,cat,dog,dogs,3569_protoqa
name something you use everyday.,C,napkin,inhaler,toothbrush,toothpaste,7294_protoqa
name a vegetable that people like to steam.,A,broccoli,garlic,spinach,asparagus,373_protoqa
which american city do you think has the smartest people?,C,chicago,york,boston,texas,6457_protoqa
name something you might do to make yourself feel cozy after playing in the snow all day.,D,wrap,pillow,towel,blanket,2301_protoqa
name something that might get passed around.,B,nuts,balls,hole,bottom,2738_protoqa
"on a scale from 1-10, how bad does your headache have to be before you call in sick to work?",A,seven,four,nine,three,5252_protoqa
name a feature you have in your car that a mother might like to have on her baby's stroller,A,radio,video,abc,fm,2286_protoqa
name something you brush.,D,belly,chest,ears,teeth,6000_protoqa
name a part of a dolls body that might be movable,C,cut,down,head,side,4384_protoqa
name a famous movie that was all about a dog.,D,damian,ronnie,santino,benji,764_protoqa
name something people proudly share on facebook,B,picture,pictures,pics,selfie,6882_protoqa
"which places do politicians often say are ""overcrowded""?",C,massacres,suicides,prisons,jails,5360_protoqa
name a complaint an astronaut might have about living on the space station,D,crazy,quiet,feel,lonely,6623_protoqa
name a food people often eat with champagne,B,marshmallows,strawberries,grapes,blueberries,1511_protoqa
name something people keep by their toilets.,C,broom,febreeze,plunger,matress,3014_protoqa
name an article of clothing a restaurant might require its customers to wear.,B,pair,shirt,shirts,jacket,1368_protoqa
name a situation where you would eat at a fancy restaurant.,B,th,anniversary,june,celebration,7289_protoqa
name something a man would hate to run out of just before a date.,B,cash,money,pay,some,2815_protoqa
name a food item you peel.,C,purple,green,orange,blue,5120_protoqa
name a way that parents pose their babies in portraits that they don't pose their older kids.,A,naked,hanging,nude,dancing,5974_protoqa
name a time you shouldn't send a text message to your love interest,D,summer,halloween,memories,midnight,5512_protoqa
name something that causes you to have an upset stomach.,C,chocolate,pasta,pizza,starbucks,4436_protoqa
name a monthly bill that is usually less than a hundred dollars.,A,phone,line,id,text,423_protoqa
name something a car can't run without.,B,taxi,gas,counter,truck,3614_protoqa
name something you might see in the jungle.,B,grass,trees,bridges,sand,436_protoqa
name a place in your car that you are likely to find something thats gone missing,B,prototype,console,slate,kinect,3464_protoqa
name something people put in the envelope with their holiday cards.,D,cash,pay,some,money,141_protoqa
name something men will actually take the time to clean.,C,on,front,car,truck,5221_protoqa
name a part of the body that moves a lot.,B,bottom,hands,arms,head,4058_protoqa
name something you would pack for your stay at a hotel made of ice,C,shoe,boots,coat,tank,4628_protoqa
tell me something people love to catch other people doing.,D,walk,somewhere,while,around,7471_protoqa
"if your license has expired, how do you get to the dmv to renew it?",C,car,taxi,bus,jet,2198_protoqa
name a type of sandwich you'd expect to see in new york city.,C,goujons,pakora,hoagie,donair,5553_protoqa
name something you always pack before you go on vacation.,B,pants,clothes,shoes,glasses,5891_protoqa
"besides food, name something you might find in a picnic basket.",A,napkins,towels,cloths,trays,2173_protoqa
name a specific reason a child would be ordered to hold still.,C,living,house,church,haven,1744_protoqa
name a flower or plant that can also be a woman's name.,B,brown,rose,jean,gray,702_protoqa
name something a doctor might advise you to do.,C,its,it,rest,mine,3887_protoqa
name a type of poster a 13-year-old boy might have on his wall.,A,sports,games,football,soccer,517_protoqa
name something you could find in an art class.,A,paint,mouse,pocket,glass,2541_protoqa
name something you've been bitten by.,D,machete,mosquitos,cage,mosquito,2868_protoqa
name a costume a boy might wear for halloween.,C,spiderman,potter,batman,thor,3080_protoqa
name something you'd hate to run out of if you lived in a submarine.,C,salt,burning,water,bottle,4813_protoqa
name someone people get nervous in front of.,C,court,officials,police,suspect,1574_protoqa
"name a phrase that begins with the word ""double.""",B,hear,trouble,thinking,mind,3388_protoqa
