sentence,question,answer,label,category,id
Pushkin gradually became committed to social reform and emerged as a spokesman for literary radicals.,What did Puskin do next?,gave speeches on social reform,yes,Event Ordering,538_MC_TACO
The most powerful families thus carved out for themselves whole regions that were to become the fiefdoms of Japanese feudalism.,How long did it take families to become powerful enough to do this?,9 day,no,Event Duration,350_MC_TACO
"Youll buy fewer items in the long run, so youll save money as well as resources.",How long will it take to save money?,a few months,yes,Event Duration,4833_MC_TACO
All Ana had to do was spell this last word and she would be the winner.,How long did it take her to spell the word?,18 days,no,Event Duration,4908_MC_TACO
Roberta Adams skipped the thick how-to guide on child-custody forms and sat down at a computer at the Lamoreaux Justice Center in Orange on Wednesday.,When did Roberta arrive at the Lamoreaux Justice Center?,6:00 AM,no,Typical Time,2157_MC_TACO
Grants of tax-free land over the years had been made to Buddhist temples and members of the court aristocracy.,What happened after the grants were issued to the temples?,buddhism flourished in the region,yes,Event Ordering,2335_MC_TACO
"This time, however, the anonymous artist worked in tandem with the director of Bristol museum in the UK.",What happened after they worked together?,the artist created many pieces,yes,Event Ordering,4636_MC_TACO
"Ratners's chairman, Gerald Ratner, said the deal remains of ""substantial benefit to Ratners.""",What time of day did he speak?,3:00 PM,yes,Typical Time,8706_MC_TACO
"Portuguese explorers then embarked upon Macau (now Macao), the Congo, and various other parts of Africa, including the Sudan.",When did the explorers visit Macau?,January 1650,yes,Typical Time,6941_MC_TACO
"He also had very short legs, but really big paws.",How often did he have short legs?,every minute,no,Frequency,1359_MC_TACO
"Britain finally ceded the island to Spain in the year 1802, under the terms of the Treaty of Amiens.",How many times did the British cede the Island?,they fought over it 9 different times,no,Frequency,6904_MC_TACO
"A lot of poor people are not going to get served,'' she said.",For how long did the poor remain under-served?,300 years,no,Event Duration,2772_MC_TACO
"Shortly before she left, Tasha said, ""You steal from life for art, Bernardo.",How long did Tasha speak?,a year,no,Event Duration,3805_MC_TACO
The angle at which it strikes the surface tells us how it will bounce off.,How many times did she throw the ball at the surface?,she threw the ball at the surface 100 times,yes,Frequency,3647_MC_TACO
"Still , Preetam vows to marry Nandini if she meets him again .",What happened before they met?,they were seeing different people,yes,Event Ordering,69_MC_TACO
"California was first to require smog checks for clean air, pass anti-tobacco initiatives and bike helmets laws.",When was the anti-tobacco initiative passed?,in the year 1990,yes,Typical Time,8863_MC_TACO
They need only position themselves near a company's satellite dish and wait.,When did they position themselves?,3:00 PM,yes,Typical Time,8494_MC_TACO
Max and Joey would often run through fields in a game of chase.,How often do Max and Joey run?,5 times a week,yes,Frequency,87_MC_TACO
they were heard saying when the photo was taken -- while Rowlf is clearly a selfie king.,What time were the photos taken?,9 p.m,yes,Typical Time,5876_MC_TACO
"Shortly before she left, Tasha said, ""You steal from life for art, Bernardo.",Did Tasha yell at Bernardo for the rest of the day?,"she said no , darling",no,Stationarity,3818_MC_TACO
The factory is highly automated and designed to shift flexibly to produce many different kinds of chips to suit demand.,How long does the factory spend making chips?,12 minutes,no,Event Duration,7708_MC_TACO
"One day, Kevin traveled from his home in the United States of America to Erin's house in England.",What happened after Kevin arrived in England?,he had time with erin,yes,Event Ordering,7834_MC_TACO
The award was voted on and presented by the women's caucus of West Virginia University College of Law.,How many times a year is the award given out?,2.4,no,Frequency,6246_MC_TACO
By the time the spelling bee arrived Ana and her best friend were sure she would win.,How often is the spelling bee held?,every 5 seconds,no,Frequency,3691_MC_TACO
"This was still the Stone Age, but the people are thought to have made silk from thread produced by the worms they cultivated on the leaves of their mulberry trees.",Had these people always made silk from thread in this time period?,they made paper,no,Stationarity,3584_MC_TACO
Convicted murderer Seth Baxter awakens chained to a table beneath a pendulum blade .,How long will Seth be imprisoned for?,2 days,no,Event Duration,5707_MC_TACO
"Our emphasis has been on having our potential clients know about us and deliver services to them, Dudovitz said.",How often does Dudovitz contract potential clients?,every few months,yes,Frequency,6869_MC_TACO
"The exhibition's range, while very varied, remained true to Banksy form with his usual unconventional take on art.",How often are Banksy exhibitions held?,each day,no,Frequency,3427_MC_TACO
"Khallad helped in Yemen until he was arrested in a case of mistaken identity and freed with  Bin Laden's help, as we also mentioned earlier.",How long was Khallad arrested?,1 minute,no,Event Duration,7039_MC_TACO
The report of American 11 heading south was the first; Delta 1989 was the second.,For how long did American 11 head south?,10 month,no,Event Duration,8458_MC_TACO
"Pushkin published his first poem at the age of fifteen, and was widely recognized by the literary establishment by the time of his graduation from the Tsarskoye Selo Lyceum.",What did Pushkin do after his graduation?,begged for money on the street,no,Event Ordering,788_MC_TACO
"By the beginning of the fourth century the Algarve had a bishop in place, based in Faro.",How long did the bishop remain in Faro?,10 seconds,no,Event Duration,3557_MC_TACO
"Adding to the physical, emotional and financial burden they take on, grandparents face legal problems.",What do grandparents do after facing legal problems?,grandparents die,no,Event Ordering,6139_MC_TACO
Roberta Adams skipped the thick how-to guide on child-custody forms and sat down at a computer at the Lamoreaux Justice Center in Orange on Wednesday.,When did Roberta arrive at the Lamoreaux Justice Center?,10:45 PM,no,Typical Time,2160_MC_TACO
"When they meet , John accuses his father of abandoning him , but his father says that `` he left it up to John . ''",How long do John and his father meet?,3 weeks,no,Event Duration,5619_MC_TACO
"Mohamed Atta was born on September 1, 1968, in Kafr el Sheikh, Egypt, to a middle-class family headed by his father, an attorney.",How many years did Atta live with his parents?,18 weeks,no,Event Duration,2370_MC_TACO
Deborah likes to add some sugar with the lettuce so that Billy and Sally know what it is like to have sweet tastes in their life.,How long does it take Deborah to wash and prepare the lettuce?,it takes her 50 minutes,no,Event Duration,2519_MC_TACO
It is spending more than $500 million a year on semiconductor research and development.,When is the development stage projected to end?,1 century,no,Typical Time,4672_MC_TACO
"Billy reached down and blew on the hot oatmeal, to cool it down for Tumble to eat.",When did Tumble eat the oatmeal?,tumble ate the oatmeal about 1am,no,Typical Time,2597_MC_TACO
He also promises to `` come to '' him .,How often will he 'come to' him?,he will 'come to' him once a second,no,Frequency,560_MC_TACO
The NMCC learned about United 93 from the White House.,What happened after the NMCC learned of United 93?,they held a meeting,yes,Event Ordering,4944_MC_TACO
"Its impetus was that Treasury Secretary Hamilton ""secured the nation's financial future and made it possible for her own family to make its fortune in grain elevators and banking.",How long did it take for her family to make their fortune?,20 weeks,no,Event Duration,4564_MC_TACO
"As winter approaches, some plants respond by their leaves changing color.",How long will winter last?,0.89 months,no,Event Duration,5278_MC_TACO
"President Clinton told us that when he pulled Musharraf aside for a brief, one-on-one meeting, he pleaded with the general for help regarding  Bin Laden.""",How long did the meeting last?,4 days,no,Event Duration,2005_MC_TACO
"For example, what if you place a cake in the oven and you leave it in too long?",What time would you put the cake in the oven?,2 a.m,no,Typical Time,427_MC_TACO
"Adding to the physical, emotional and financial burden they take on, grandparents face legal problems.",When did grandparents start facing legal problems?,1970,yes,Typical Time,6127_MC_TACO
"In a 1945 interview, Camus rejected any ideological associations: ""No, I am not an existentialist.",At what time did the interview air?,at 7pm,yes,Typical Time,3048_MC_TACO
"Billy reached down and blew on the hot oatmeal, to cool it down for Tumble to eat.",For how long did Billy blow on the hot oatmeal?,billy blew on the hot oatmeal for twenty - five months,no,Event Duration,2609_MC_TACO
"Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin.",How often does Carl give tours?,once a century,no,Frequency,123_MC_TACO
"Floodplains In very flat regions, flood water may spread out on the surface of the land.",What happens after flood water spreads?,houses get flooded,yes,Event Ordering,7913_MC_TACO
"The Portuguese Crown, delighted with its first important discovery, immediately embarked on a program of colonization.",How long did it take the Portuguese to colonize the new territory?,a week,no,Event Duration,1137_MC_TACO
"Ratners's chairman, Gerald Ratner, said the deal remains of ""substantial benefit to Ratners.""",How long did the chairman speak?,18 minutes,yes,Event Duration,8675_MC_TACO
It too has many Continents are much older than ocean basins.,How often are Continents created?,every minute,no,Frequency,2282_MC_TACO
"In a 1945 interview, Camus rejected any ideological associations: ""No, I am not an existentialist.",How many interviews did Camus do during his career?,none,no,Frequency,3042_MC_TACO
"This is an astonishing new record for a coin, he said.",How often are new records established?,three times an second,no,Frequency,432_MC_TACO
"The music , in a garage punk vein , plays an important role in the film .",When does the music start playing in the film?,and the very end,no,Typical Time,1409_MC_TACO
"Since then, she has earned promotions from managing attorney, senior attorney, then director of the Council on Aging project.",When did she earn her promotions?,once a century,no,Typical Time,5803_MC_TACO
"They also liked to go through the small forest behind the house, making a game of hide and seek.",What time did they play hide and seek?,10:00 PM,no,Typical Time,3424_MC_TACO
"At Christie's, a folio of 21 prints from Alfred Stieglitz's ""Equivalents"" series sold for $396,000, a single-lot record.",How long did it take for the prints to sell?,21 minutes,yes,Event Duration,3609_MC_TACO
They like to play hopscotch or jump rope but that day they wanted to play tag.,How long do they play each day?,108 hours,no,Event Duration,4990_MC_TACO
Cathy Wallace did not always know what she wanted to be when she grew up.,How often did Cathy think about this issue?,once a minute,no,Frequency,856_MC_TACO
"The lightscreen provided had informed me when and where official meals were taking place, but I hadn't bothered to acknowledge the invitations.",For how long did the official meals last?,two weeks,no,Event Duration,9119_MC_TACO
"In particular, the author differentiates between what he terms 'dominance' and a particular version of 'colonization'.",Does the book still differentiate between the 2?,no,no,Stationarity,2887_MC_TACO
Still untaken are several steps that required goodwill from local bar associations and others who had opposed the combination.,How long will it take to speak with the local bar association?,15 hours,no,Event Duration,1940_MC_TACO
"In 1930, the poet Muhammad Iqbal proposed a separate Muslim homeland in the northwest of India.",How long did Muhammad Iqbal consider his proposal?,one week,yes,Event Duration,355_MC_TACO
"Alexander then faced the Assakenoi, who fought in the strongholds of Massaga, Ora and Aornos.",For how long did Alexander face the Assakenoi?,150 minutes,no,Event Duration,4878_MC_TACO
He recalled that theTaliban had spotted a Predator in the fall of 2000 and scrambled their MiG fighters.,How long did it take to assemble the MiG fighters?,5 month,no,Event Duration,959_MC_TACO
"But in between quippy posters and ads for the film, which is a sequel to 2011's blockbuster ""The Muppets"" with Jason Segel, there are ingenious ""selfies"" from the Muppets crew.","How long did it take to make ""The Muppets"" movie?",5 days,no,Event Duration,1788_MC_TACO
"In this case he looks to his girlfriend , Violet .",What happened after he looked at Violet?,she disappeared,no,Event Ordering,3132_MC_TACO
Sarawak's coast and jungle interior were controlled by the Iban — Sea Dayak pirates and Land Dayak slash-and-burn farmers.,What time of day did the Iban gain control?,day,no,Typical Time,2804_MC_TACO
Alexander the Great's accomplishments and legacy have been depicted in many cultures.,How long did Alexander the Great reign?,nearly 4.33 years,no,Event Duration,9067_MC_TACO
"But he told us that he could not drum up much interest in or money for such a purpose from Washington, partly, he thought, because these countries had dictatorial governments.",How long did he try to get money from those countries?,1st week,no,Event Duration,301_MC_TACO
She had it for a long time so it is now a dark brown color.,How often does she use it?,15 times an hour,no,Frequency,7168_MC_TACO
"Whatever their origins, their culture evolved under the pressure and influence of foreign forces.",How often do they evolve,about  every 100 years,yes,Frequency,624_MC_TACO
"Durer's father died in 1502, and his mother died in 1513.",When did Durer die?,"April 6, 1528",yes,Typical Time,29_MC_TACO
"Hitherward they came, Meeting our faces from the middle point, With us beyond but with a larger stride.",How often did they come?,once a minute,no,Frequency,1682_MC_TACO
Johnson is a justice on California's Second District Court of Appeal.,When did Johnson arrive to court?,8:00 AM,yes,Typical Time,6524_MC_TACO
Estimates of his date of birth vary by well over a century.,What time was his birth?,always,no,Typical Time,1101_MC_TACO
Electronic theft by foreign and industrial spies and disgruntled employees is costing U.S. companies billions and eroding their international competitive advantage.,When are electronic thefts most likely to occur?,at peacefully times,no,Typical Time,6060_MC_TACO
She later adopted the stage name Fontaine -- the name of her mother's second husband.,What happened after she was given a stage name?,she and her husband need the car,no,Event Ordering,7803_MC_TACO
She explained that Frank 's father was an alcoholic and that his mother worked as a toll booth operator .,When did Frank's father become an alcoholic?,10 hours ago,no,Typical Time,1552_MC_TACO
It's the first in a new series featuring Iraq war veteran and private investigator Spero Lucas.,How long does the series last?,1 months,no,Event Duration,6546_MC_TACO
"According to the radar reconstruction, American 77 reemerged as a primary target on Indianapolis Center radar scopes at 9:05, east of its last known position.",How long did it take for American 77 to reemerge as a primary target?,one century,no,Event Duration,7103_MC_TACO
"They also liked to go through the small forest behind the house, making a game of hide and seek.",How long do they usually play hide and seek?,30 days,no,Event Duration,3436_MC_TACO
"Tommy and Suzy (brother and sister) went to the playground one afternoon with their mom and dad, Jan and Dean.",What time did they leave the playground?,9:00 AM,no,Typical Time,262_MC_TACO
"At NEADS, the report of the hijacking was relayed immediately to Battle Commander Colonel Robert Marr.",What happened after the hijacking threat was reported?,the u.s. assassinate colonel gadhafi,no,Event Ordering,3143_MC_TACO
They are able to study the DNA of the organism that no longer lives on Earth.,How long did it take to study the DNA?,a night,no,Event Duration,1866_MC_TACO
You can clearly see the same rock layers on opposite sides of the canyon.,When did they canyon split?,"100,000 seconds ago",no,Typical Time,2638_MC_TACO
"Moreover, he said, technology now exists for stealing corporate secrets after they've been ""erased"" from a computer's memory.",How often are corporate secrets stolen after they've been erased?,he said moreover,no,Frequency,7200_MC_TACO
"Upsetting many of his colleagues and contemporaries in France, the book brought about the final split with Sartre.",How often is the book published?,450 times,no,Frequency,1978_MC_TACO
"If I cannot carry my groceries or my laundry, how can I live?",How long did it take to do the laundry?,2 seconds,no,Event Duration,1953_MC_TACO
"He would splash and play until he was ready to go back home, where he would sleep for hours, having worn himself out playing.",How long would he splash and play for?,5 centuries,no,Event Duration,1024_MC_TACO
"He turned, and across the court-room the eyes of the financier and the stenographer met.",How long did they look at each other?,a few hours,no,Event Duration,2487_MC_TACO
"Peter wanted to show off his bark, but he was too tired.",How often does Peter bark?,once every 6.67 years,no,Frequency,3481_MC_TACO
The most powerful families thus carved out for themselves whole regions that were to become the fiefdoms of Japanese feudalism.,How long did it take families to become powerful enough to do this?,45 days,no,Event Duration,349_MC_TACO
"A. DeConcini Federal Courthouse, 405 W. Congress St. Deconcini was one of the organization's early board members.",How often did the board members meet?,every minute,no,Frequency,1388_MC_TACO
"In another major paper from this era, Einstein gave a wave equation for de Broglie waves, which Einstein suggested was the Hamilton-Jacobi equation of mechanics.",How long did Einstein take to publish his wave equation?,6 years,yes,Event Duration,3848_MC_TACO
The hordes of people who attended Hoover Dam's 1935 dedication set the city's now-formidable public relations machine into action.,How often was there a Hoover Dam dedication?,once,yes,Frequency,6008_MC_TACO
"Edwina similarly falls into disfavor with the Maharani , who explains that Safti has been raised to lead a pure life and that Edwina is unworthy of him .",How long had Edwina known Safti?,6 years,yes,Event Duration,8585_MC_TACO
Johnson is a justice on California's Second District Court of Appeal.,How many times a week does Johnson go to court?,5,yes,Frequency,6505_MC_TACO
"A lot of poor people are not going to get served,'' she said.",When did the poor begin to lose services?,a few months ago,yes,Typical Time,2798_MC_TACO
"Radio Televizioni Shqiptar (RTSH) is the public radio and TV broadcaster of Albania, founded by King Zog in 1938.",How old was King Zog when he founded RTSH?,king zog was 35 weeks old,no,Typical Time,7747_MC_TACO
"In the opening scene , Randy Morton describes a typical Friday afternoon at the Waldorf .",How long does he spend at the Waldorf?,a year,no,Event Duration,5138_MC_TACO
"A lot of poor people are not going to get served,'' she said.",For how long did the poor remain under-served?,100 years,no,Event Duration,2771_MC_TACO
"At the sight of the great man, Spear flushed crimson, and then his look of despair slowly disappeared; and into his eyes there came incredulously hope and gratitude.",What did the great man do that caught Spear's attention?,he stabbed spears in the back,no,Event Ordering,8316_MC_TACO
"The Serbian, who beat Tsonga in the 2008 Australian Open final, ended the dream run of Australian 18-year-old Bernard Tomic.",Are they still running the race now?,no,yes,Stationarity,4824_MC_TACO
"Safti at first resists , but ultimately succumbs to Edwina's charms and falls hopelessly in love with her .",How often does she charm him?,each a hour,no,Frequency,3524_MC_TACO
"Growing up on a farm near St. Paul, L. Mark Bailey didn't dream of becoming a judge.",Is Mark still on the farm now?,yes,no,Stationarity,2765_MC_TACO
"Yes, Self, I am also bothered that this observation ignores half-eaten cheese sandwiches, incomplete insect collections, and locks of infants' hair, forgotten in closets, basements, and warehouses.",What did you do after making the observations?,i said i am beside myself,no,Event Ordering,2523_MC_TACO
"By the beginning of the fourth century the Algarve had a bishop in place, based in Faro.",How often did Algarve dispatch new bishops?,once every second,no,Frequency,3581_MC_TACO
"The Portuguese Crown, delighted with its first important discovery, immediately embarked on a program of colonization.",How often did the Portuguese send new settlers to the colonies?,twice per hour,no,Frequency,1152_MC_TACO
"His son and successor, Caracalla, a great admirer, visited the tomb during his own reign.",What did he do when he left the tomb?,sang a track,no,Event Ordering,3377_MC_TACO
"In the end , they drive off , listening to the radio .",How long was the drive?,20 weeks,no,Event Duration,1590_MC_TACO
The side of Malaquez's parcel gave way to reveal a greenmunk caught in a sheen of solid air.,How long was the greenmunk visible?,years,no,Event Duration,2077_MC_TACO
Hamilton attacked his political opponents as demanding freedom for themselves and refusing to allow it to blacks.,How long did Hamilton fight for freedom for blacks?,1 second,no,Event Duration,3406_MC_TACO
"Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained.",Is Islam still the majority religion?,it never was,no,Stationarity,1_MC_TACO
"Einstein was displeased with quantum theory and mechanics (the very theory he helped create), despite its acceptance by other physicists, stating that God ""is not playing at dice.""",How many years did Einstein work with Physics?,1 month,no,Event Duration,294_MC_TACO
She added a special growing mix from the garden store to make the soil better.,When did she add growing mix into the garden?,when coming back from the garden store,yes,Typical Time,8951_MC_TACO
"By 1930 raw-material production had tripled the figure of 1900, manufactured goods had increased twelve-fold, and heavy industry was galloping towards maturity.",What happened after raw-materials production increased?,they made less money,no,Event Ordering,889_MC_TACO
"It refers to a woman who is dangerously attractive, and lures men to their downfall with her sexual attractiveness.",When did she lure them?,once a minute,no,Typical Time,1950_MC_TACO
"Our emphasis has been on having our potential clients know about us and deliver services to them, Dudovitz said.",How often does Dudovitz contract potential clients?,every couple weeks,yes,Frequency,6871_MC_TACO
Alexander II's death caused a great setback for the reform movement.,When did Alexander II die?,5643,no,Typical Time,3665_MC_TACO
They made Parameswara an offer he could not refuse: port facilities and an annual financial tribute in exchange for Chinese protection against the marauding Thais.,Did Parameswara still have the offer the next day?,yes since they wanted to deal with him,yes,Stationarity,5042_MC_TACO
"Jud replies , `` Christ on His throne , no. .",Will Jud believe in Christ tomorrow?,no,yes,Stationarity,6088_MC_TACO
