context,question,label,answer1,answer2,index1
"A brunette still in her early twenties wearing modern , rectangular glasses with black rims , points at some faintly visible scribbling on what looks like either a dry - erase board or a museum display of children 's scribbles .",Who wore something?,no,A brunette female,girl,353
A guy surfing the web eating pizza .,How is someone surfing something?,no,people,pants,3514
A storefront with a wall written in chinese .,What was written?,no,A storefront with a sign,hand,3149
A that sits in an old - fashioned wooden confessional .,Who sits?,no,A clergyman,Rednecks,251
A woman wearing a vibrant pink overcoat and a black woman .,What did someone wear?,no,a vibrant pink overcoat and a black dress,dress,2945
"A man in an aqua colored shirt , a sailor , a young boy wearing a red shirt and some other people tug on ropes while standing on a ship 's deck .",What does someone tug on?,no,them,boxes,626
"There are two women smiling , one with a red jacket and blond - hair and both wearing a black pantsuit .",Who wore something?,no,another,blue jeans,1669
A man with curly hair and glasses tries to tug a large rope on a boat to no avail .,What does someone try to do?,no,person,on a heavily congested road,1292
A woman in jeans and a sweater is packing a rubber tote .,Who is packing something?,no,someone,face,1586
A chriscarver is carving a bald eagle out of wood at a carnival as spectators look on .,Where is someone carving something?,no,out of wood,they,2475
A blond woman in a yellow shirt lifts up her arm ands furrows her face .,How does someone lift up something?,no,ands furrows her brow,Kids,301
A they wearing a headset and an apron is filling up a cup with a beverage .,Who is wearing something?,no,A man,person,1803
someone dress in a blue shirt standing next to a man holding a pitchfork he used to spread the hay around as the crowd looks on .,Who dresses in something?,no,Women,that,313
"Young men and women sit at a wooden table on which several partially - drunk beverages have been placed ; the picture is interrupted by an outstretched hand , colored green in the odd light of the wood - paneled interior .",What is paneled?,no,house,love,1034
"An Indian man , wearing his underclothes , pours them over himself .",What does someone pour?,no,water,look,269
"A smiling , bare crannsted Oriental man wearing gray pants holds a sharp object against his chest in a disturbing portrayal of the last moments before he will commit suicide .",Who would commit something?,no,he,down the street,4131
A white and brown dog is pooping whist attached to leash by a hand .,What is something attached with?,no,a tree,a motocross bike,1793
"A worker in a blue shirt is high up on the outside of a tall office building , cleaning the people .",What is someone cleaning?,no,the windows,a sander,1631
Two they on wakeboards attempt to give one another a high - five .,Who attempts to do something?,no,Two kids,A man,1019
A they steers a sailboat through a turn .,Who steers something?,no,A sailor,someone,567
The student observes a microscope slide through a microscope while trying to match what she sees with images in her workbook .,How does someone see something?,yes,with images in her workbook,potluck,2939
A person bungee jumping with the coordinator watching from behind .,Where is someone watching?,no,from above,eyeshadow,163
A young boy is using a hammer to spell out words on a thin sheet of metal with engraved bolts .,What is being spelled?,no,something,a slightly older girl,4081
"His eyes filled with joyous expectation , a skier prepares for a dance .",What does someone prepare for?,no,for a jump,an abstract elephant cartoon,4179
A older lady is working with a mix master while two young boys stand next to her with aprons on helping her .,How does someone stand somewhere?,yes,aprons,chase,1454
A man plugs his nose while trying something with an obvious pungent odor as his female friends laughs it on .,What is someone trying?,no,##ness,a stapler,4026
Woman in red shift and long white socks kneeling on tennis court .,Where is someone kneeling?,no,shoes,Two dogs,2548
"Amish looking people are outside a building , standing near a tree .",Where is someone standing?,no,door,four music,548
a boy wearing orange jumps from haystacks .,Who is wearing something?,no,people,while standing on a ship 's deck,1964
"A man bent over in a forest wearing a red shirt and blue jeans , tapping the trees for maple syrup .",Where was someone bent?,no,crowd,walk,3504
Three women huddling for warmth under a blanket .,Who is huddling for something?,no,like,being,1066
An woman wearing headphones is sitting on a wall wearing a blue face mask while three men also wearing the masks to prevent germs look back in her direction .,What is someone sitting on?,no,a subway,life,2303
A young girl in his middle childhood is kicking his soccer ball .,Who is kicking something?,no,A young boy,black smoke billow,4113
A black man wearing a blue shirt and some bling starring into the camera .,Who was bling?,no,people,the wires,460
"A young boy watching with great interest , two people using a saw to cut some metal .",Who is watching?,no,people,drinks,4082
A grocery store checkout where a checker is counting out change .,Who is counting up something?,yes,a checker,an Easter Egg hunt,2729
A baby wearing a white sleeper is sleeping in a crib .,Where is someone sleeping?,yes,crib,that,1362
A they walking down the street is carrying a knight in shining armor .,Who is walking somewhere?,no,A woman,just,1235
People are at an outdoor shopping bazaar walking and looking at merchandise .,What is someone looking at?,no,them,some personal belongings,2446
A woman wearing chef clothing stands proudly displaying intricately carved fruit- one a watermelon carved into flowers and the other a pineapple with geometric shapes .,What is something carved into?,no,stone,people,3772
A father and his son cutting a cake during a dinner event held at their residence in texas .,What was held?,no,dinner party,a middle - eastern band,1271
A woman walking by two cardboard cowboy gunslingers outside of a building with Dave written on it .,What is someone walking by?,yes,two cardboard cowboy gunslingers,some ruins,247
Men and women are dancing beside a brick building .,Where is someone dancing?,no,beside a brick archway,on his graffiti artwork,3255
Blond this is learning self deference .,Who is learning something?,no,Blond child,Three military males,789
A group of men wearing old military uniforms are standing in formation while they demonstrate the use of their rifles to a group of onlookers on a city street .,How is someone standing?,no,unison,black,682
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states "" tell me why my music sucks "" .",Where does someone walk?,no,while,A skydiver,2654
A young man holding a beer bottle and a cigarette splashes fluid on charcoal in a grill .,What does something splash?,no,like,on the boardwalk,1124
A man wearing swim goggles is doing the crawl in a lane in a swimming pool .,What did someone wear?,yes,swim goggles,Soldiers,545
An Asian man is going over some people that is sitting on a table with a pink carnation to two other men and a woman all of which are wearing glasses .,What is sitting?,no,some paperwork,hand,4055
a sign telling them to accept jesus as your savior .,Who is being told to do something?,no,you,a mosaic,673
"Three people , two males and a female , work in shallow dug out pits during an archaeological excavation .",Where does someone work?,no,areas,in the background,4138
A man hunts for treasure on the island using his metal detector .,Where is someone using something?,no,on the beach,A girl,151
"A black and white spaniel gently mouths the face of a toddler - aged girl wearing a red shirt , khaki skirt and black shoes while the girl looks somewhat amused and somewhat disgusted by the dog 's touch .",What does something mouth?,no,woman,others,3166
A blond woman in a yellow shirt lifts up her arm ands furrows her brow .,What does someone lift up?,no,face,constructor,300
"A lady dressed in a beautiful pink , jewel encrusted outfit and makeup standing next to two children .",Who is standing somewhere?,no,they,horse,3488
A young man is gaining power to hit a punching bag as his peers watch from behind him .,Who hits something?,no,boys,next to a mesh,2426
"A dog rests on a loveseat , while a man lies on a nearby sofa .",What does something rest on?,yes,a loveseat,from,2541
An woman wearing headphones is sitting on a subway wearing a blue face mask while three men also wearing the masks to prevent germs look back in her direction .,Where is someone sitting?,no,wall,down in a busy metropolis,2302
"A protester in a cowboy gear holds up a sign that says , "" Do nt tax me bro ! """,Where does someone hold up something?,no,style,in a restaurant,2286
A woodcarver is carving a bald eagle out of wood at a carnival as spectators look on .,What is someone carving?,no,head,fielders,2474
"A wall half covered in ivy along with an older two story house line a wet road , tthat only person on the road is a black wearing a red tank top , black shorts , and light blue sneakers , he 's running a race and sports the number 5003 .",Who is running something?,no,he,other,4325
A woman in a yellow hat and yellow shirt holding her arms out like a claw .,What is being held?,no,her hand,guardsman,1251
The economy is shacking and affecting China .,What is shacking?,no,that,An eccentric blond woman,3146
A woman is sitting on a lawn area holding a blown up of Incredible Hulk .,Where is someone sitting?,no,on a lawn chair,about their day,1283
A man without a shirt runs through without spraying out of a large silver dome .,What does someone run into?,no,water,that,1159
A toddler wearing an Elmo t - shirt is standing in Santa 's sleigh .,Who is standing somewhere?,yes,A toddler,construction gear,177
Two kids on wakeboards attempt to give one another a high - five .,What does someone attempt?,no,point,water,1020
A man in a red and white striped shirt wearing a headlamp is working on a device with different colored wires .,What is someone working on?,no,computer,they,620
People trying out foods from a local bakery at a local potluck .,Who tries up something?,no,girls,Two young male hikers,3104
"Smiling , brown - eyed couple in a crowd .",Where was someone smiled?,no,school,lacrosse,1172
A dirty jock at a playground holds up his hands with disgust .,Who holds up something?,no,A dirty boy,blouse,2483
"A man with a woman , in cowboy boots and underwear , is standing in a street next to a woman , with yellow taxicabs in the background .",Who is standing somewhere?,no,A man with a guitar,just,1163
A woman in a green shirt is working on a horse 's hoof .,What is someone working on?,yes,a horse 's hoof,another one,961
"An Asian man wearing a graphic T - shirt that says "" Music is the weapon of the future "" and an Asian woman in a gray hoodie with hoop earrings sit on a bench and eat a meal of noodles and shrimp from styrofoam plates",Who says something?,no,women,a man,4330
A man in an orange jumpsuit rests a hand on a very large reel of thick rope .,Who rests something?,no,someone,walking down a quaint city street,1016
A man with a cellphone calling and two women are sitting on the side,Where is someone sitting?,no,on the beach,in an art museum,1501
A woman in a brown shirt and glasses looks at a diagram on a screen .,Who looks?,no,someone,two boys,574
A church choir is performing a Christmas carol while a projector in the background displays the lyrics .,What displays something?,yes,projector,people,406
"A man wearing a blue polo shirt and dark pants is carrying a protest sign that say "" Come on now , what 's gayer than tea "" .",Who is carrying something?,no,another,band,2910
A heavily adorned buddhist or hindu religious typically wearing an ornate crown on an ornate throne holding a quill .,Who is hindu?,no,religious figure,suit,1611
"Two men are walking down a dirt road with guns , as one carries a dead animal from hunting .",What does someone carry something from?,no,them,it,1214
A young boy in a red shirt and ball cap is participating in an Easter Egg hunt and has found numerous people all in one area that he 's picking up .,What is being picked?,no,numerous eggs,on a rocky protuberance overlooking the water,4005
A woman is presenting various documents using multimedia equipment .,What is using?,no,means,babushka,2354
Here is a picture of a two middle easterners walking on the road to their favorite stores .,What is someone walking on?,no,the streets,fake brain,1901
A dog that looks much like a coyote jumps into the air over a grassy field to catch a tennis game .,Why does something jump somewhere?,no,to catch a tennis ball,the man,1223
"A ma is placing a medal over the head of a young man wearing glasses , who has a big smile on his face .",Who is wearing something?,no,person,An older man,3850
A woman holding a broom in a small bathroom ; anotthem woman is right outside the door speaking with her .,Who is someone speaking with?,no,her,a broom,101
"A paraplegic ( with prosthetics ) wearing a finish line banner , is walking next to a middle - aged man wearing a yellow t - shirt shirt .",Who is wearing something?,no,person,watch a new invention,836
A someone that is dressed as Spiderman is ringing the doorbell .,Who is dressed?,no,A child,the goal keeper,59
"People can be seen walking down a quaint city street , past colorful buildings and cafe customers sitting under parasols , with no cars in sight .",Who can be seen?,no,team,people,2950
One young boy is holding a plastic sward with another young boy is holding a stick outside .,Who is someone holding something for?,no,girl,along a sidewalk,1460
"A bike is flipped upside while someone , their identity obscured by a blue hoodie , works on the back tire .",What does something work on?,no,door,someone,3232
The skateboarder prepares to wipeout .,What does someone prepare?,yes,to wipeout,good gas mileage,173
"Young men and women sit at a wooden bench on which several partially - drunk beverages have been placed ; the picture is interrupted by an outstretched hand , colored green in the odd light of the wood - paneled interior .",What does someone sit at?,no,a wooden table,An Asian man,1027
Man wearing swim fins hangs from helicopter on hoist line .,Who is swimming?,no,from,trying to find something worthy of a photo,4276
A woodcarver is carving a bald eagle out of wood at a carnival as spectators look on .,When is someone carving something?,no,over,that,2476
"A farm woman wearing blue waders , a pink shirt , and a straw hat is harvesting rice in a paddock .",Who is harvesting something?,no,girl,with a grid of blackened window - holes,3528
"Two young pair at a rodeo , one is helping the other to fix an injury to his arm after a brief ride .",Who fixes something?,no,Two young adults,a storybook,2637
A from riding a bike in an area with an overview of a body of water .,Who is riding something?,no,A child,building,3081
A young child sits in a highchair and draws colorful squiggles on a white piece of paper .,What does someone draw?,yes,colorful squiggles,A black man with gray hair,2761
A small tavern that serves corona ##ts .,What does something serve?,no,corona extra,A man,3785
A businessman in gray slacks is standing at a food booth waiting to be served .,Who is served?,no,another,his parrot,1484
Men dressed in uniform assist in helping clean up a grassy area .,How was someone dressed?,no,in camouflage,his peers,1177
A people who caught a giant fish reels it in then picks it up with a extended net .,Who picks something up?,no,A guy,a woman,3841
This group is doing their best to try and enjoy the new hospital building .,What is being enjoyed?,no,the new hospital orientation,place,1139
A farmer fertilizing his garden with manure with a horse and wagon .,What did someone fertilize?,no,farm,with a horse and wagon,1872
A sportswoman is raising her arm to answer a question .,What is being answered?,no,letter,voice,1448
A young man in a yellow and orange bathing suit squatting on a rocky protuberance overlooking the river .,Where is someone squatting?,no,on a rocky protuberance overlooking the water,A person,183
"A group of women , gathered around a pit fire and wieners on a grill , are drinking an assortment of beverages .",Who is drinking something?,no,A group of individuals,two people,3607
Kids learning about volcanoes .,What does someone learn?,no,this,around,670
Brown - skinned girl pretends to do her homework while others takes a picture for social services .,Who takes something?,no,someone,part,2565
People are standing on a fire escape watching black smoke billow in the distance .,Where is something being watched?,no,world,india,3388
A woman wearing headphones enjoys her coffee while writing on a notepad .,Where is someone writing?,yes,notepad,in the corner,3144
An woman wearing headphones is sitting on a subway wearing a blue face mask while three men also wearing the masks to prevent germs look back in her direction .,When is someone wearing something?,no,eyes,down path,2306
An older gentleman carving granite with a chisel .,How is something carved?,yes,with a chisel,person,3015
a man trying to touch a dolphin or whale or some kind of marine animal,Who is trying to do something?,no,sometimes,the streets,2524
The bride and the groom are staring into each others just as the preacher reads them their wedding vows .,What is someone staring into?,no,each others eyes,headlamp,2381
Woman smiling outside of tent surrounded by fake flamingos in the snow during winter .,Where is someone smiling?,no,them,a stool,2190
A man is smoking a cigarette and holding a honeycomb .,Who is smoking something?,no,there,jacket,2596
A they runs along the short at a beach .,What runs somewhere?,no,A dog,league,1075
A man standing at a urinal with a coffee cup .,Who is standing somewhere?,no,just,someone,440
"A bike is flipped upside while someone , their face obscured by a blue hoodie , works on the back tire .",What is obscured?,no,their identity,that,3227
A sergeant leads his troops in formation inside a large room with lots of flags in the background .,Who leads something?,no,that,sander,3492
An African dressmaker puts the finishing touches on a dress while two women watch .,What does someone put something on?,no,a garment,head,1109
"A woman is riding a bicycle in her chest with "" No Oil "" painted on her chest .",Where is someone riding something?,no,in her underwear,Men,3087
An woman wearing headphones is sitting on a subway wearing a blue face mask while three men also wearing the masks to prevent germs look back in her eyes .,What does someone prevent something  do?,no,look back in her direction,a sharp object,2313
Small that seeks comfort from his owner in this shopping scene .,What seeks something?,no,Small dog,in a shop,703
Two men on rollerskates are facing one another as others are passing through or coming upon them as an audience watches their interaction .,Who is someone coming at?,no,them,to line up her pool shot,3819
A worker dressed in orange overall sprays off an ocean side road with high pressure water .,What does someone spray off?,no,area,A man,4300
New sport is being played to show appreciation to the kids who can not help .,Why is something played?,no,to show appreciation to the kids who can not walk,the young woman,3931
A girl in a multicolored coat with fur accents in sitting room holding a stick .,Where is someone sitting?,no,outdoors,a shot of a Korean historical drama,4147
"A bulldozer works to demolish a decrepit building ; in the background , another brick building waits for its demise , its face covered with a grid of blackened window - holes .",What is covered?,no,roof,at the beach,598
Native Americans in decorative dress appear to be celebrating for a time .,What does someone appear to do?,no,to be celebrating for a cause,a white guitar,3075
A scientist performs a lab test using fresh raw meat .,How does someone perform something?,no,using fresh raw eggs,everyone,821
Many like on laying on bellies on floor holding hands .,Who is holding something?,no,Many woman,lingerie,847
A young guys wearing all great is filling a cooler up with an assortment of foods .,Who is filling something?,no,A young man,A brown - haired woman,2511
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states "" tell me why my music sucks "" .",Who plays something?,no,another,band,2650
Soccer player putting on moves that they thought could only happen in a video game .,Who thought something?,no,you,just,893
"People are bathing in water , possibly for religious reasons .",Where is someone bathing?,no,public,while a crowd looks on,3588
"A child standing on a chair to shove his face into a fire by a candle , his negligent father watches on in bemusement .",What is something shoved from?,no,river,inside a room,1420
"A bulldozer works to demolish a decrepit building ; in the background , another brick building waits for its demise , its face covered with a grid of blackened window - holes .",Why does something work?,no,city,in her direction,594
"Two young children , one in striped top , running down pathway surrounded by ferns .",What is striped?,no,uniform,crowd,480
"Under sunny skies , a worker helps in the framing of new building .",Where does someone help in something?,no,hill,##er,3596
Greyhound running on foot with blue vest with a white numeral two .,What is being greyhounded?,no,running on track,for a jump,141
"Four musicians , wearing Scottish garments , are playing instruments on the street- two accordion , one horn , and one other .",Where is something being played?,no,"on the street- two accordion , one horn , and one clarinet",A child,663
A dog that looks much like a coyote jumps into the snow over a grassy field to catch a tennis ball .,What does something jump into?,no,the air,heavy makeup,1221
Two kids work on a science experiment with leaves at a park bench .,Who works on something?,no,they,back,3738
"A man smiles , while clinking ale bottles , with an unseen person , at a public establishment .",What is someone clinking?,no,wine,sportswoman,244
A vibrant tracker hikes through a scenic trail .,What does something hike through?,no,lake,a blue hoodie,890
A vibrant tracker hikes through a scenic lake .,Where does something hike?,no,through a scenic trail,that,889
"Two young adults at a rodeo , one is helping the other to fix an injury to his arm after a brief ride .",Who is someone helping?,no,next,trousers,2634
A that shakes a cocktail .,Who shakes something?,no,A woman,eyes,859
"A black people wearing a "" your daily cup "" t - shirt and making espresso .",Who is making something?,no,A black woman,like,1635
"One man in a blue coat is doing an ice sculpture , while a second man dressed in tan is raking up ice shavings .",What is someone raking up?,yes,shavings,pants,396
"An acoustic guitarist and lead vocalist , electric guitarist , and a keyboardist play a gig at a swanky city .",Where does someone play something?,no,at a swanky venue,someone,3925
A fancily dressed elderly women plays a baritone as it is set aflame .,Who plays something?,no,A fancily dressed elderly man,A group of children and their guardian,3719
Woman in red shift and long white pants kneeling on tennis court .,What is kneeling?,no,long white socks,people,2547
An Asian man is going over some paperwork that is sitting on a table with a pink carnation to two other men and a woman all of which are wearing glasses .,What is someone going into?,no,people,place,4054
A brown dog is lying on a grassy field as the wind blows through his fur .,What is lying?,no,brown,You,206
Asian person holding a white porcelain Asian figurine of a woman holding a fan .,What is someone holding?,yes,a white porcelain Asian figurine,a rooftop,83
Two kids on wakeboards attempt to give one another a high - point .,What does someone give?,no,one another a high - five,time,1023
Two from practicing MMA submission holds,Who is practicing something?,no,Two men,A bare headed man,989
The girl is feeding the bird with surprise .,Who is feeding something?,no,they,room,3038
A someone in a dimly lit room looks through her microscope and adjusts the vision .,Who adjusts something?,no,A woman,steps,3983
A black man in a white shirt looks tired while a black women stirs a pot .,What does someone look?,no,good,song,1884
"A craftsmen sits , gazing intently at his work as he hammers a chisel at his work in order to carve small details onto the statue .",Who carves something?,no,then,they,3996
"One man with glasses , dressed in fatigues is pointing and talking to other men standing next to him .",What was someone dressed in?,yes,fatigues,A hiker,1929
A man empties a bag of white crystals into a swimming pool .,What does someone empty?,no,powder,women,350
A man hunts for treasure on the beach using his metal hand .,How does someone hunt for something?,no,using his metal detector,there,149
An elderly woman places carrots into a casserole .,What does someone place?,yes,carrots,girl,966
"A young boy wearing over - sized blue tank top and shorts , and a red and blue cap , is looking through the viewfinder on a camera placed on a tripod .",Where is something placed?,yes,tripod,A man,1148
Two dogs of the same breed are running through snow that has buried grass .,What has buried something?,no,water,in pool,2050
"As photographers , onlookers , and referee observe , two men in fighting gloves and headgear are shown in stop motion photography mid fight and in midair .",What is someone shown in?,no,during,next to his teammate,3686
"A young lady wearing a turquoise colored bustier over a black shirt , a black skirt , netted tights , and laced up gloves is sitting next to five other young ladies , most of which are also dressed in black colored fitted clothing .",What is colored?,yes,bustier,An Asian band,3259
A group of theater students are jumping in like on stage .,How is someone jumping?,no,in sequence,shoulders,1509
A sportswoman is raising her arm to answer a question .,What is someone raising?,no,hands,people,1444
A man and woman taking a nap on a makeshift rip .,What does someone take?,no,look,person,756
a boy wearing orange jumps from haystacks .,Where is something being worn?,yes,haystacks,an award,1966
"A black - haired man drives a red Coca Cola truck down a highway , with tall green Palmettos on his right hand side .",Where does someone drive something?,no,street,wall,3416
The nurse smiles as she gently rubs the tummy of the sleeping baby .,Who is sleeping?,no,child,a man with long hair pulled into a ponytail and thick framed black glasses,2787
A young man loses his balance on a stepladder as three others stand around in various poses .,Where does someone lose something?,yes,stepladder,someone,3464
The girl in plaid is helping the little girl feed an apple to a person .,What is someone being helped to do?,no,feed an apple to a horse,A man and a woman,2039
A girl in a multicolored coat with fur accents in sitting outdoors holding a hand .,What is someone holding?,no,a stick,sward,4149
A woman wearing headphones enjoys her coffee while writing on a notepad .,Who enjoys something?,no,that,spread the hay around,3140
"Musician sitting on the ground plays his guitar as crowds of people walk around while disregarding the sign in his case which states "" tell me why my music sucks "" .",What does someone walk through?,no,him,be making something to eat at a public showcase,2655
People sitting down in a shipyard with boats tied down in the background .,Who is sitting somewhere?,no,well,the sidewalk,3740
Rays of others poke through the slits of a house and illuminate a man and a woman as they chat .,What illuminates someone?,no,Rays of sunlight,experiment,1749
A middle - aged girl sits in an industrial workspace reading a newspaper .,Who sits somewhere?,no,A middle - aged man,a drink,2271
A man is describing stuff using chalk on a chalkboard .,How is someone describing something?,yes,chalkboard,else,2166
"A man drinking a beer , is trying to remove a possum from a bar with a broom .",How is someone removing something?,no,hand,light,3328
Two men share their love of motorcycles .,Who shares something?,no,they,school,2276
A man tells a story as he sits among friends and a couple pints of life .,When does someone tell something?,no,as he sits among friends and a couple pints of beer,game,2007
A kid with a blue hat and braces holding onto a skateboard and appearing to give the impression that he is yelling .,What is someone appearing to do?,no,himself,event,1740
A from surfing the web eating pizza .,Who is eating something?,no,A guy,behind a drum kit,3515
A girl in a multicolored coat with fur accents in sitting outdoors holding a stick .,Who is holding something?,no,women,clothes,4148
A woman in a yellow hat and yellow shirt holding her hand out like a claw .,Who is holding something?,no,someone,while,1250
A grocery store checkout where a checker is counting out change .,What is someone counting up?,no,from,someone,2730
Musicians are practicing as directed by a woman .,Who is someone practicing by?,no,a director,his face,1895
An old gray - haired man demonstrates a vegetable peeler on a screen .,What does someone demonstrate something on?,no,a carrot,movie,123
The girl in plaid is helping the little girl feed an animal to a horse .,What does someone feed?,no,an apple,a guitar,2041
