context,question,label,answerA,answerB,answerC,answerD,answerE
'Max and Joey would always run through him in a game of chase.,How often do Max and Joey run?,B,9 times per year,5 times a week,it was adopted by others,every 2 -,None of the above
'Max and Joey would always run through them in a game of chase.,How often do Max and Joey run?,B,the next day,on most weekdays before school,the japanese want us to accept their culture,3.33 seconds,None of the above
'Max and Joey would always run through him in a game of chase.,How often do Max and Joey run?,C,a couple of years,once every 3.33 -,every weekend,lived with your father,None of the above
'Max and Joey would always run through max in a game of chase.,How often do Max and Joey run?,E,18 times a year,every 2 -,once every 30 centuries,lived with your father,None of the above
"'Still , Preetam wants to see Nandini if she meets him again .",How much had they known each other?,E,only a few -,5 times a second,you know where she 'll turn up,once a hour,None of the above
"'Still , Preetam wants to meet Nandini if she meets him again .",How much had they known each other?,E,the third friday of each month,it was accepted by others,10 seconds,almost 20 centuries,None of the above
"'Still , Preetam promised to protect Nandini if she meets him again .",How much had they known each other?,E,they go to their destinations,a minute,only a few centuries,when asked,None of the above
"'Still , Preetam wants to meet Nandini if she meets him again .",How much had they known each other?,E,he straining his back,they can only eat 1 meal per minute,10 weeks,30 years,None of the above
"'Still , Preetam tried to ask Nandini if she meets him again .",How much had they known each other?,E,for a few days,she went to work for a fund-raising organization,not speak to each other,a second,None of the above
"'Still , Preetam wants to meet Nandini if she meets him again .",How much had they known each other?,E,6 centuries,35 hours,90 years,9 times per year,None of the above
"'Still , Preetam wants to kill Nandini if she meets him again .",How much had they known each other?,E,they can only eat 9 meal per day,lived on his own,i asked if she had a jim beam,some years,None of the above
"'Still , Preetam wants to meet Nandini if she meets him again .",What happened before they met?,C,they worked,about a week,they were lonely,a few weeks,None of the above
"'Still , Preetam wants to help Nandini if she meets him again .",What happened before they met?,D,a generation,a few questions,yes,they were seeing different people,None of the above
"'Still , Preetam wants to kill Nandini if she meets him again .",How much did they think of each other?,E,twice a minute,every century,18 hours,7 days,None of the above
"'Still , Preetam wants to see Nandini if she meets him again .",How much did they think of each other?,E,rarely,sometimes,always,no they remained ions,None of the above
"'Still , Preetam promised to protect Nandini if she meets him again .",How much did they think of each other?,B,2.5 times,every day,once each five seconds,he tried other countries,None of the above
"'Still , Preetam promised to protect Nandini if she meets him again .",How much did they think of each other?,D,the press recorded their thoughts,for 6 years,it spend on the facility,daily,None of the above
"'Still , Preetam wants to see Nandini if she meets him again .",How much did they think of each other?,E,three days a week,never,they worked,people letters to president roosevelt once a year,None of the above
"'Still , Preetam wants to meet Nandini if she meets him again .",How much did they think of each other?,E,never,every month,a few days,no he gave up,None of the above
"'Still , Preetam wants to meet Nandini if she meets him again .",What day did they meet?,A,saturday,3 times a hour,3 days,midnight,None of the above
"'Still , Preetam used to like Nandini if she meets him again .",What day did they meet?,A,friday,go back and,they can only eat 1 meal per minute,2 hours,None of the above
'Max and Joey would always run through them in a game of chase.,What happened after Max and Joey ran the fields?,D,7.33 years,3.5 hours,twice per minute,they went out to have supper,None of the above
'Max and Joey would always run through them in a game of chase.,What happened after Max and Joey ran the fields?,B,lived with his mother,they walked and,3 day,each hour,None of the above
'Max and Joey would always run through them in a game of chase.,What happened after Max and Joey ran the fields?,E,they change when the type of material change,no they remained ions,they sold a little,yes they do it every minute for fun,None of the above
'Max and Joey would always run through them in a game of chase.,What happened after Max and Joey ran the fields?,B,three times a minute,they went and,once a week,within a few weeks,None of the above
'Max and Joey would also run through them in a game of chase.,How often would they run through the fields?,B,planes are hijacked once a month,max and joey ran 20 % through the fields,each day,for several weeks,None of the above
'Max and Joey would always run through them in a game of chase.,How often would they run through the fields?,A,"30 """,1 times per week,one week,three times a week,None of the above
'Max and Joey would always run through them in a game of chase.,How often would they run through the fields?,E,she doubted that kind of performance is sustainable,they sold a little,organize ways to kill the terrorists,2 seconds,None of the above
'Max and Joey would always run through max in a game of chase.,How often do Max and Joey run?,E,begged for money on the bars,about once a century,once per quarter,1.67 times a week,None of the above
'Max and Joey would always run through him in a game of chase.,How often do Max and Joey run?,A,5 times a week,three days,once per month,she was a pirate,None of the above
'Max and Joey would always run through them in a game of chase.,How often do Max and Joey run?,B,it can take 1 week to grant a subpoena,on most weekdays before school,2 days,within a few weeks,None of the above
'Max and Joey would always run through him in a game of chase.,How often do Max and Joey run?,B,about once a century,every weekend,for several years,he straining his back,None of the above
'Max and Joey would always run through max in a game of chase.,How often do Max and Joey run?,E,every 10 centuries,3 centuries,once every 30 centuries,in an hour,None of the above
'Max and Joey would always run through them in a game of chase.,How often do Max and Joey run?,E,max and joey ran 20 % through the fields,every late night before lunch,1 day,two seconds,None of the above
'Max and Joey would always run through him in a game of chase.,How often do Max and Joey run?,E,twice every night,for 30 times,once a week,once every 30 days,None of the above
'Max and Joey would always run through them in a game of chase.,How often do Max and Joey run?,E,once every 10 years,2.44 years,every 1 years,go back and,None of the above
'Max and Joey would always run through him in a game of chase.,How often do Max and Joey run?,E,four centuries ago,6.67 years,two years,5 times a year,None of the above
'Max and Joey would always run through them in a game of chase.,How often do Max and Joey run?,E,once per hour,each minute,5 times a hour,in the first 5 -,None of the above
'Max and Joey would always run through them in a game of chase.,How often do Max and Joey run?,E,90 years,1 time per day,once every 90 %,place it in a gallery,None of the above
'Max and Joey would always run through them in a game of chase.,How often do Max and Joey run?,C,3 hours,4 seconds,on most weekdays after school,the intelligence committees exercise have,None of the above
'Max and Joey would always run through them in a game of chase.,How often do Max and Joey run?,E,he tried other countries,he attended to high school,several times a century,once every 3.33 -,None of the above
'Max and Joey would always run through max in a game of chase.,How often do Max and Joey run?,E,several hours,every hours,twice a month,0.56 times a week,None of the above
'Max and Joey would always run through them in a game of chase.,How often do Max and Joey run?,E,5 times a second,around 2 am,start the rift,yes they will never be worried,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a map of his life and compared him to Chaplin.",Afterwards did Einstein and Chaplin know each other?,B,twice each month,yes,maybe,he has it on display,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a map of his own and compared him to Chaplin.",How far did the tour last?,E,a few centuries,the first friday of each month,15 days,7.33 years,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a view of his life and compared him to Chaplin.",How far did the tour last?,E,5 days,one second,they can only eat 9 meal per day,four times every hour,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a map of his own and compared him to Chaplin.",How far did the tour last?,E,usually a minute,9 hour,one second,3 hours,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a map of his own and compared him to Chaplin.",How far did the tour last?,E,1 second,three times a century,0.4 weeks,twice every five seconds,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a map of his life and compared him to Chaplin.",How much did the tour last?,C,1 week before he turned 7.8 years old,gave speeches on social reform,1 hour,one second,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a map of his own and compared him to Chaplin.",How far did the tour last?,E,20 centuries,15 centuries,21 hours,18 hours,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a view of his life and compared him to Chaplin.",How far did the tour last?,E,each minute,two years,the first friday of each week,10 weeks,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a view of his life and compared him to Chaplin.",How far did the tour last?,E,three days,a day ago,it was 6 centuries,5 years,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a map of his life and compared him to Chaplin.",How far did the tour last?,E,30 minute,5 seconds,some years,within a few hours,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a map of his own and compared him to Chaplin.",How far did the tour last?,E,two years,every few seconds,45 days,almost 20 centuries,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a part of his life and compared him to Chaplin.",How many does Carl give tours?,D,5 years,about 12 am,9 times each year,about once a day,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a part of his own and compared him to Chaplin.",How much does Carl give tours?,E,5 times a century,no they remained ions,6 seconds,it was put into practice,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a part of his life and compared him to Chaplin.",How much does Carl give tours?,C,once every 3.33 -,for less than a month,every week,1 day,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a part of his life and compared him to Chaplin.",How much does Carl give tours?,E,hold a meeting to discuss issues,once a century,they can only eat 9 meal per day,it can take 1 year to grant a subpoena,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a part of his own and took him to Chaplin.",How much does Carl give tours?,E,every second,sunday,tomorrow,they ' re moved to the place in the facility they ' re required,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a part of his own and compared him to Chaplin.",How much does Carl give tours?,E,one second,it can take 1 second to grant a subpoena,every 30 days,5 times a minute,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a part of his life and compared him to Chaplin.",How many does Carl give tours?,E,a second,big financial stocks carried the day,about once a century,one second,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a part of his life and compared him to Chaplin.",How much does Carl give tours?,E,a few and,about once a minute,she got a job,1 time per day,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a view of his work and compared him to Chaplin.",How many does Carl give tours?,D,1 times per week,hold a meeting to discuss issues,this evening,once a month,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a part of his life and compared him to Chaplin.",How much does Carl give tours?,D,never,another few centuries,a couple times a week,about once a month,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a view of his life and compared him to Chaplin.",At what time did Einstein return to?,E,and he never stopped,never,9 times per year,a second later,None of the above
"'Carl Laemmle, head of Universal Studios, gave Einstein a view of his life and compared him to Chaplin.",At what time did Einstein return to?,B,a day ago,a hour later,2 hours,for a few years,None of the above
'He layed down on the couch and pawed at her as she ran in a circle under it.,How long does he lay on the chair?,D,once or twice,one second,gave speeches on social reform,every day,None of the above
'He layed down on the couch and pawed at her as she ran in a circle under it.,How long does he lay on the chair?,C,a month,10 times a month,each day,the third friday of each month,None of the above
'He layed down on the couch and pawed at her as she ran in a circle under it.,How long does he lay on the chair?,D,a day ago,for 30 hours,at 5 am,every morning,None of the above
'He layed down on the couch and pawed at her as she ran in a circle under it.,How long does he lay on the chair?,B,every 2 -,once a day,a few times a hour,the third friday of each month,None of the above
'He layed down on the couch and pawed at her as she ran in a circle under it.,How long does he lay on the chair?,C,twice a night,2 hours,once every day,it was lost,None of the above
'He layed down on the couch and pawed at her as she ran in a circle under it.,How long does he lay on the chair?,E,once a century,she says i felt kind of safe,on most weekdays after school,1 times per week,None of the above
'He layed down on the couch and pawed at her as she ran in a circle under it.,How long does he lay on the chair?,E,they worked,never,every hours,the two discuss a wide range of issues,None of the above
'He layed down on the couch and pawed at her as she ran in a circle under it.,How long does he lay on the chair?,E,9 times each year,aircraft are hijacked once a week,every month,every century,None of the above
'He layed down on the bed and pawed at her as she ran in a circle under it.,How long did he paw at her?,E,two centuries,2 days,lived with his mother,usually a minute,None of the above
'He layed down on the bed and pawed at her as she ran in a circle under it.,How long did he paw at her?,E,3.5 hours,begged for money on the street,he tried other countries,2 seconds,None of the above
'He layed down on the bed and pawed at her as she ran in a circle under it.,How long did he paw at her?,E,about 12 am,a minute,every late night before lunch,1 day,None of the above
'He layed down on the bed and pawed at her as she ran in a circle under it.,How long did he paw at her?,E,they can eat as often as they want to,10 hours,1.4 hours,about 10 am,None of the above
'He layed down on the bed and pawed at her as she ran in a circle under it.,How long did he paw at her?,A,0.5 minute,they had a sleepover,two years,try to reduce vulnerability,None of the above
'He layed down on the bed and pawed at her as she ran in a circle under it.,How long did he paw at her?,E,every other month,7 hours,every few hours,twice per minute,None of the above
'He layed down on the bed and pawed at her as she ran in a circle under it.,How long did he paw at her?,C,twice each month,2.44 years,7 seconds,3 days,None of the above
'He layed down on the bed and pawed at her as she ran in a circle under it.,How long did he paw at her?,E,twice a night,every couple of months,a few seconds,7 days,None of the above
'He layed down on the bed and pawed at her as she ran in a circle under it.,How long did he paw at her?,A,1 minute,he worked to shed his raider image,no it depends on the tilt of the earths axis,one day,None of the above
'He layed down on the bed and pawed at her as she ran in a circle under it.,How long did he paw at her?,B,two centuries,30 seconds,every few weeks,several hours,None of the above
'He layed down on the bed and pawed at her as she ran in a circle under it.,How long did he paw at her?,C,every 90 years,it was 6 centuries,0.2 minute,usually a century,None of the above
'His counter-attack with Dayak force drove the Chinese out of Bau and across the Sarawak border.,How much was the counter-attack?,B,twice per century,it was 2 million,it was filled with items,they get more food,None of the above
'His counter-attack with Dayak army drove the Chinese out of Bau and across the Sarawak border.,How much was the counter-attack?,E,a second,2 times each week,about 3 am,they ' re moved to the place in the facility they ' re required,None of the above
'His counter-attack with Dayak army drove the Chinese out of Bau and across the Sarawak border.,How old was the counter-attack?,E,once every 30 days,it was 6 centuries,the movie was released in the past hour,15 days,None of the above
'His counter-attack with Dayak army drove the Chinese out of Bau and across the Sarawak border.,How old was the counter-attack?,E,three seconds ago,she was a pirate,tomorrow,it was 9 years,None of the above
'His counter-attack with Dayak force drove the Chinese out of Bau and across the Sarawak border.,What did the Chineese do next?,E,within a few hours,at midnight,7 days,japan plans to send the chinese back but,None of the above
'His counter-attack with Dayak force drove the Chinese out of Bau and across the Sarawak border.,What did the Chineese do next?,B,a year ago,they came back,1 time per day,9 days,None of the above
'His counter-attack with Dayak force drove the Chinese out of Bau and across the Sarawak border.,Did the battle continue forever?,E,"he unleashed his own , unstoppable , attack",twice a night,yes they do it every century for fun,three times a minute,None of the above
'His counter-attack with Dayak army drove the Chinese out of Bau and across the Sarawak border.,Did the battle continue forever?,E,japan negotiating with the chinese government,the subpoena will be granted before the committee is granted authority to grant subpoenas,several hours,yes they do this every century for fun,None of the above
'His counter-attack with Dayak forces drove the Chinese out of Bau and across the Sarawak border.,How much is a warrior promoted during battle?,B,every morning,once or twice,they appear at night time,three days a week,None of the above
'His counter-attack with Dayak force drove the Chinese out of Bau and across the Sarawak border.,What time did the battle end?,E,a crime was committed involving the same comments and images,5 years,a minute before it started,9 times each year,None of the above
'His counter-attack with Dayak force drove the Chinese out of Bau and across the Sarawak border.,What time did the battle end?,C,for 30 weeks,tomorrow,midnight,1 month,None of the above
"'The Spanish immediately began subjugating the Arawak people, many of whom died under the yoke of slavery and of slaves carried by the Europeans.",How many did Arawak people die from European diseases?,E,max and joey ran 20 % through the fields,lived with your father,many of whom operate small -,2 days,None of the above
"'The Spanish immediately began subjugating the Arawak people, many of whom died under the yoke of slavery and of slaves carried by the Europeans.",How much did Arawak people die from European diseases?,E,puts it in a gallery,every year,they change at day time,0.4 weeks,None of the above
"'The Spanish immediately began subjugating the Arawak people, many of whom died under the yoke of slavery and of slaves carried by the Europeans.",How long did Arawak people die from European diseases?,E,no they remain ions,every other year,they draw the images,1 second,None of the above
"'The Spanish immediately began subjugating the Arawak people, many of whom died under the yoke of slavery and of exploitation carried by the Europeans.",How much did Arawak people die from European diseases?,E,10 times a minute,big financial stocks carried the day,the room was used,two seconds,None of the above
"'The Spanish immediately began subjugating the Arawak people, many of whom died under the yoke of slavery and of slaves carried by the Europeans.",How much did Arawak people die from European diseases?,E,each few seconds,spanish authorities clear the price for the treatment,twice a month,every century,None of the above
"'The Spanish immediately began subjugating the Arawak people, many of whom died under the yoke of slavery and of slaves carried by the Europeans.",What time did the Spanish arrive?,A,at dawn,one second,the u.k. and france keep their nuclear weapons,every 30 days,None of the above
"'The Spanish immediately began subjugating the Arawak people, many of whom died under the yoke of slavery and of slaves carried by the Europeans.",For how much did the Spanish subjugate the Arawak population?,E,10 hours,he visited other countries,6 weeks,5 times a second,None of the above
"'The Spanish immediately began subjugating the Arawak people, many of whom died under the yoke of slavery and of slaves carried by the Europeans.",Did the Spanish subjugate the Arawak population forever?,E,they can only eat 1 meal per day,he places it on display,for several weeks,maybe,None of the above
About 30% of Ratners's work already is imported from the U.S.,How much did it take to make profit?,E,they can only eat 1 meal per minute,a hour,a year ago,a minute,None of the above
About 30% of Ratners's work already is imported from the U.S.,How much did it take to make profit?,E,in an week,another few centuries,2 seconds,at 5 pm,None of the above
About 30% of Ratners's work already is imported from the U.S.,How much did it take to make profit?,D,for several weeks,the first friday of each century,1 second,3 ),None of the above
About 30% of Ratners's work already is imported from the U.S.,How much did it take to make profit?,E,1 days,1 times per week,1 time per second,begged for money on the street,None of the above
About 30% of Ratners's work already is imported from the U.S.,How much did it take to make profit?,E,1 times per week,1.67 seconds,2 weeks,every few centuries,None of the above
About 30% of Ratners's work already is imported from the U.S.,How much did it take to make profit?,E,they can only eat 1 meal per month,they went out to have supper,3 days,each few weeks,None of the above
About 30% of Ratners's work already is imported from the U.S.,How much did it take to make profit?,E,6 weeks,3 centuries,every 20 days,for several years,None of the above
About 30% of Ratners's work already is imported from the U.S.,How much did it take to make profit?,E,a second,once every month,once every 30 days,several times a century,None of the above
About 30% of Ratners's work already is imported from the U.S.,How much did it take to make profit?,E,a few hours,not speak to each other,a week,a second later,None of the above
About 30% of Ratners's work already is imported from the U.S.,How much did it take to make profit?,E,they go to their destinations,they both laughed,once every 3.33 -,9 days,None of the above
About 30% of Ratners's money already is imported from the U.S.,What happened before Ratners's made a profit?,D,aircraft are hijacked once a hour,a minute,almost 60 years,he worked hard,None of the above
About 30% of Ratners's money already is imported from the U.S.,What happened before Ratners's made a profit?,E,she ordered grass,he was rich,he woke up,destroy it,None of the above
About 30% of Ratners's income already is sourced from the U.S.,Is Ratners's profit derived from the U.S. today?,B,lived on his own,yes,every few hours,every night,None of the above
About 30% of Ratners's income already is not from the U.S.,How long did Ratners make a profit?,E,yes they do this every minute for fun,once every century,only a few -,every century,None of the above
About 30% of Ratners's income already is not from the U.S.,How long did Ratners make a profit?,C,every few seconds,she doubted that kind of performance is sustainable,sometimes,all time,None of the above
About 30% of Ratners's income already is not from the U.S.,How long did Ratners make a profit?,E,never,he published books of his poetry,it was filled with items,she know whether she had actually been pregnant,None of the above
About 30% of Ratners's income already is not from the U.S.,How long did Ratners make a profit?,E,a crime was committed involving the same comments and images,for a few years,one century,once a second,None of the above
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",At what time do the wafers get placed on tracks?,E,he woke up,1 week,it spend on the facility,aircraft are hijacked once a week,None of the above
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",At what time do the wafers get placed on tracks?,E,they draw the images,about 12 am,a month ago,for a few years,None of the above
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",At what time do the wafers get placed on tracks?,E,about 3 am,every 10 years,begged for money on the bars,they had a sleepover,None of the above
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",At what time do the wafers get placed on tracks?,E,they had a sleepover,about 1 am,a few times a hour,in an week,None of the above
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",At what time do the wafers get placed on tracks?,E,he attended to high school,years,about 2 am,every 2 years,None of the above
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",At what time do the wafers get placed on tracks?,E,two seconds,about 5 am,everyday,no the hijacker was arrested,None of the above
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",At what time do the wafers get placed on tracks?,E,around 2 am,5 years,for 30 hours,a month,None of the above
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",At what time do the wafers get placed on tracks?,B,10 weeks,about 10 am,a minute before it started,every few centuries,None of the above
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",What happens after the wafers are put on tracks?,C,she ordered grass,he places this on display,they are everywhere,for a century,None of the above
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",What happens after the wafers are put on tracks?,D,he emerged as the heir apparent,come back and,2.22 years,they go to their destinations,None of the above
"The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",What happens after the wafers are put on tracks?,C,a day ago,every few seconds,they ' re moved to the place in the facility they ' re required,3 days,None of the above
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",For how much do the wafers ride on tracks?,E,three times a minute,the first friday of each month,at 5 am,two centuries,None of the above
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",For how much do the wafers ride on tracks?,A,5 hours,at midnight,for several weeks,once per quarter,None of the above
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",For how much do the wafers ride on tracks?,E,a couple of years,2 days,10 days,two -,None of the above
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",For how much do the wafers ride on tracks?,E,two seconds,30 minute,3 seconds,hold a meeting to discuss issues,None of the above
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",For how much do the wafers ride on tracks?,E,they can only eat 1 meal per night,twice a minute,one hour,each week,None of the above
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",For how much do the wafers ride on tracks?,E,7,5 centuries,for 15 years,2 centuries,None of the above
"Lennon accuses his mother of leaving him again , and then leaves , after telling his family that he wo n't live with him anymore .",How long does Lennon's father leave him?,E,once a second,japan negotiating with the chinese government,every hour,20 weeks,None of the above
"Lennon accuses his mother of leaving him again , and then leaves , after telling his family that he wo n't live with him anymore .",How long does Lennon's father leave him?,E,every night,several hours,every second,bailey was very happy,None of the above
"Lennon accuses his mother of leaving him again , and then leaves , after telling his family that he wo n't live with him anymore .",How long does Lennon's father leave him?,E,he worked hard,a year,about 3 am,every couple of months,None of the above
"Lennon accuses his mother of leaving him again , and then leaves , after telling his family that he wo n't live with him anymore .",When did Lennon's father return?,E,once every month,no he gave up,after he left earlier,once every century,None of the above
"Lennon accuses his mother of leaving him again , and then leaves , after telling his family that he wo n't live with him anymore .",When did Lennon's father return?,E,it was put into practice,about a hour,since he left earlier,in the afternoon,None of the above
"Lennon accuses his mother of leaving him again , and then leaves , after telling his son that he wo n't live with him anymore .",When did Lennon's father return?,E,they went and,a hour later,for 15 years,tomorrow,None of the above
"Lennon accuses his mother of leaving him again , and then leaves , after telling his wife that he wo n't live with him anymore .",When did Lennon's father return?,E,before a couple days,in an hour,they went out to have supper,three times a century,None of the above
"Lennon accuses his mother of leaving him again , and then leaves , after telling his family that he wo n't live with him anymore .",What did Lennon do after he left?,B,twice a week,lived with his mother,10 years,at midnight,None of the above
"Lennon accuses his mother of leaving him again , and then leaves , after telling his family that he wo n't live with him anymore .",What did Lennon do after he left?,B,the u.k. and france keep their nuclear weapons,found a new apartment,1 time per second,1.4 hours,None of the above
"Lennon accuses his mother of leaving him again , and then leaves , after telling his family that he wo n't live with him anymore .",What did Lennon do after he left?,E,the who ignored the population,he attended to high school,it was put into practice,lived with your father,None of the above
"Lennon accuses his mother of leaving him again , and then leaves , after telling his son that he wo n't live with him anymore .",What did Lennon do after he left?,B,they came back,lennon buys an apartment somewhere else,no the hijacker was arrested,on most weekdays after school,None of the above
"Lennon accuses his mother of leaving him again , and then leaves , after telling his family that he wo n't live with him anymore .",What did Lennon do after he left?,C,twice every day,he straining his back,lived on his own,always,None of the above
"Lennon accuses his mother of leaving him again , and then leaves , after telling his son that he wo n't live with him anymore .",How far does this conversation between Lennon and his father take?,E,he emerged as the heir apparent,6 seconds,fifty years,for 6 years,None of the above
"Lennon accuses his mother of leaving him again , and then leaves , after telling his son that he wo n't live with him anymore .",How far does this conversation between Lennon and his father take?,E,7.33 years,3 centuries,10 centuries,four centuries ago,None of the above
"Lennon accuses his mother of leaving him again , and then leaves , after telling his son that he wo n't live with him anymore .",How far does this conversation between Lennon and his father take?,E,about 1 am,every couple of months,6 weeks,yes they do it all century for fun,None of the above
"Lennon accuses his mother of leaving him again , and then leaves , after telling his son that he wo n't live with him anymore .",How far does this conversation between Lennon and his father take?,E,a minute,they laughed,1 time per day,10 seconds,None of the above
