context,question,label,answerA,answerB,answerC,answerD,answerE
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",What is someone wearing?,B,his face,a bib,"while a middle - eastern band prepares to play keyboard , drums , violin and a mandolin",the face of a toddler - aged girl,None of the above
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",What displays something?,B,A mailman,a bib,A man with a yellow shirt and blue jeans,a sailboat,None of the above
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",What is being displayed?,D,a beer bottle,from a cup,A toddler wearing a pink shirt and jeans,a large red crab,None of the above
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",What is held?,C,for a construction project,in their olive drab uniforms,another red crustacean,around the dinner table,None of the above
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",Where is something held?,A,in his hand,with a horse and wagon,a punching bag,in an art museum,None of the above
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",What is something held in?,D,an argument,a bed,An eagle,his hand,None of the above
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",Who sits?,D,A dog,Lady,in a room,another man,None of the above
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",Who holds something?,A,another man,while watched by a defender in blue,a shirt,against his chest,None of the above
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",What does someone hold?,C,at a diagram,the stone steps,some food,in an office with a large messy bookshelf,None of the above
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",Where does someone hold something?,B,while watched by a defender in blue,behind him,his return,the hand of a young lady,None of the above
"A woman works on a piece of computer equipment , while surrounded by a variety of mechanical and computer equipment , in what appears to be some type of laboratory workroom .",Who works?,A,A woman,while playing guitar with passion,a lighthouse,while wearing a bib displaying a large red crab,None of the above
"A woman works on a piece of computer equipment , while surrounded by a variety of mechanical and computer equipment , in what appears to be some type of laboratory workroom .",Where does someone work?,D,a fire,an egg,how to aim,on a piece of computer equipment,None of the above
"A woman works on a piece of computer equipment , while surrounded by a variety of mechanical and computer equipment , in what appears to be some type of laboratory workroom .",What does someone work on?,A,a piece of computer equipment,A band,A young person,a lollipop,None of the above
"A woman works on a piece of computer equipment , while surrounded by a variety of mechanical and computer equipment , in what appears to be some type of laboratory workroom .",Who is surrounded?,A,A woman,while waiting for a bus,a skier,next to a sign about crime,None of the above
"A woman works on a piece of computer equipment , while surrounded by a variety of mechanical and computer equipment , in what appears to be some type of laboratory workroom .",What is something surrounded by?,C,by the steps to an airliner,a small wooden bucket,a variety of mechanical and computer equipment,into a casserole,None of the above
"A woman works on a piece of computer equipment , while surrounded by a variety of mechanical and computer equipment , in what appears to be some type of laboratory workroom .",What does something appear to do?,D,his glass,a fire hydrant,from the sheath,to be some type of laboratory workroom,None of the above
"There is a man wearing construction gear , standing next to a bulldozer that is picking up rubble and debris .",Who is wearing something?,B,a canal,a man,a pot of boiling water,at a table,None of the above
"There is a man wearing construction gear , standing next to a bulldozer that is picking up rubble and debris .",What is someone wearing?,C,the color spectrum,two dentists in blue uniform,construction gear,under the waterfall 's cascade,None of the above
"There is a man wearing construction gear , standing next to a bulldozer that is picking up rubble and debris .",Who is standing somewhere?,A,a man,to play the bagpipes and eat some cuisine,to raise a wooden stair banister with a pulley system,a large telescope,None of the above
"There is a man wearing construction gear , standing next to a bulldozer that is picking up rubble and debris .",Where is someone standing?,A,next to a bulldozer,with a fork,The nurse,the popup,None of the above
"There is a man wearing construction gear , standing next to a bulldozer that is picking up rubble and debris .",What is picking up something?,D,from a silver punch bowel,from a sifter,a rider,a bulldozer,None of the above
"There is a man wearing construction gear , standing next to a bulldozer that is picking up rubble and debris .",What is being picked?,C,the stone steps,the window,rubble and debris,watching black smoke billow in the distance,None of the above
A male adolescent or young teenager is wearing camouflaged shorts or long swim trunks and is upside down over a body of water like a lake or reservoir whose cement walls and graveled top appear in the corner .,Who is wearing something?,C,Teen girl,on a bench in the park,A male adolescent or young teenager,give the impression that he is yelling,None of the above
A male adolescent or young teenager is wearing camouflaged shorts or long swim trunks and is upside down over a body of water like a lake or reservoir whose cement walls and graveled top appear in the corner .,What is someone wearing?,B,more balloons,camouflaged shorts or long swim trunks,another red crustacean,a slightly older girl,None of the above
A male adolescent or young teenager is wearing camouflaged shorts or long swim trunks and is upside down over a body of water like a lake or reservoir whose cement walls and graveled top appear in the corner .,Where is something reservoir?,B,to work wood,in the corner,him,his proposal,None of the above
A male adolescent or young teenager is wearing camouflaged shorts or long swim trunks and is upside down over a body of water like a lake or reservoir whose cement walls and graveled top appear in the corner .,What graveled somewhere?,C,while holding a lavender bag with white embroidery,atop a metal beam,cement walls,colored cord,None of the above
A male adolescent or young teenager is wearing camouflaged shorts or long swim trunks and is upside down over a body of water like a lake or reservoir whose cement walls and graveled top appear in the corner .,Where does something graveled?,D,down a highway,A girl,a tall wedge,in the corner,None of the above
A man wearing a black suit is surrounded by many people inside a building with busts of people on the wall .,Who is wearing something?,A,A man,over a grassy field,on the carpet,down a sidewalk,None of the above
A man wearing a black suit is surrounded by many people inside a building with busts of people on the wall .,What did someone wear?,C,the court,put out a wildfire,a black suit,a hose,None of the above
A man wearing a black suit is surrounded by many people inside a building with busts of people on the wall .,Who is surrounded?,C,a coach,A drummer,A man,a large cruise ship,None of the above
A man wearing a black suit is surrounded by many people inside a building with busts of people on the wall .,Who is someone surrounded by?,A,many people,Two women and a man,like everyone is getting good gas mileage,A man controlling a dog sled,None of the above
A man wearing a black suit is surrounded by many people inside a building with busts of people on the wall .,Where is someone surrounded?,D,a cooler,in the far left background,the goal post,inside a building,None of the above
"A man wearing a black shirt and blue jeans up in the air holding a plywood in each hand in front of a building that has a word "" stomp "" .",Who wore something?,C,on a sidewalk,"a red tank top , black shorts , and light blue sneakers",A man,a chute,None of the above
"A man wearing a black shirt and blue jeans up in the air holding a plywood in each hand in front of a building that has a word "" stomp "" .",What did someone wear?,C,A woman with curly brown hair and a blue skirt,A toddler wearing an Elmo t - shirt,a black shirt and blue jeans,a skateboard,None of the above
"A man wearing a black shirt and blue jeans up in the air holding a plywood in each hand in front of a building that has a word "" stomp "" .",Where did someone wear something?,B,to give one another a high - five,up in the air,A brown dog,at the dock,None of the above
"A man wearing a black shirt and blue jeans up in the air holding a plywood in each hand in front of a building that has a word "" stomp "" .",Who held something?,C,to raise a wooden stair banister with a pulley system,a martini glass,A man,A young lady,None of the above
"A man wearing a black shirt and blue jeans up in the air holding a plywood in each hand in front of a building that has a word "" stomp "" .",What is holding?,D,on a carrot,a horse and a man,on a pier,a plywood,None of the above
"A man wearing a black shirt and blue jeans up in the air holding a plywood in each hand in front of a building that has a word "" stomp "" .",Where is something being held?,D,A male wearing a strange helmet,in her hair,in the distance,in each hand,None of the above
A hair designer working during renovations .,Who is working?,A,A hair designer,A toddler,a saw,in a large foyer,None of the above
A hair designer working during renovations .,When was someone working?,A,during renovations,before assembly is completed,during winter,the harpsichord,None of the above
A child that is dressed as Spiderman is ringing the doorbell .,Who is dressed?,D,A pair of athletes,A white and brown dog,as the photographer captures her agility,A child,None of the above
A child that is dressed as Spiderman is ringing the doorbell .,How is someone dressed?,C,to spread the hay around,using his metal detector,as Spiderman,a project,None of the above
A child that is dressed as Spiderman is ringing the doorbell .,Who is ringing something?,B,A lone performer or lecturer,A child,in a harbor,a large foyer,None of the above
A child that is dressed as Spiderman is ringing the doorbell .,What is someone ringing?,A,the doorbell,in the wind,while grasping the hand of a young lady,her bicycle,None of the above
A tarp wrapped around a tree and a watering can .,What is wrapped?,B,a beer,A tarp,to put out a wildfire,a poster,None of the above
A tarp wrapped around a tree and a watering can .,Where is something wrapped?,B,with a beverage,around a tree,at a pep rally,out of the pool water,None of the above
A tarp wrapped around a tree and a watering can .,What is something wrapped into?,C,with an electric sander,a flood,a tree,a red shirt and blue jeans,None of the above
A man cleaning the inside of a large pane of glass .,Who is cleaning something?,C,a horse,A wall,A man,a quill,None of the above
A man cleaning the inside of a large pane of glass .,What is someone cleaning?,B,now,the inside of a large pane of glass,in the lead of the pack,beer pillow gift,None of the above
Three people walking through a ravine between two rocky cliffs .,Who is walking?,A,Three people,in a shop,A girl wearing a black bikini,in the ebb and flow of the city,None of the above
Three people walking through a ravine between two rocky cliffs .,Where was someone walking?,C,A young woman,a carrot,through a ravine,a periodical,None of the above
Three people walking through a ravine between two rocky cliffs .,What is someone walking into?,C,a babushka,a blue scooter,a ravine,a mix master,None of the above
A small boy playing with a toy train set on a tabletop .,Who is playing with something?,A,A small boy,a bunch of colorful balloons,A Jewish family,PAY HERE,None of the above
A small boy playing with a toy train set on a tabletop .,How is someone playing?,C,a director,in a canal,with a toy train,along a walkway,None of the above
A small boy playing with a toy train set on a tabletop .,What is someone playing with?,C,a road,a sledge,a toy train,a slightly older girl wearing a white turtleneck,None of the above
A small boy playing with a toy train set on a tabletop .,Who was set?,C,his hands,the young woman standing in front of the ocean with a parasol,A small boy,with many tubes attached,None of the above
A small boy playing with a toy train set on a tabletop .,What is set?,C,An African woman,behind some guard rails,A small boy playing with a toy train,the cow 's head,None of the above
A small boy playing with a toy train set on a tabletop .,Where was something set?,C,down her face,as the devil,on a tabletop,to their favorite stores,None of the above
A small boy playing with a toy train set on a tabletop .,What was something set on?,A,a tabletop,through a microscope,over a chocolate cake,"in a blue helmet , sweater , jeans and sneakers",None of the above
A group of girls are changing in the dressing rom .,Who is changing?,D,to their favorite stores,the lawn,sitting along a wall,A group of girls,None of the above
A group of girls are changing in the dressing rom .,Where is someone changing?,D,to touch a dolphin or whale or some kind of marine animal,on either side of him,Two men,in the dressing rom,None of the above
A group of girls are changing in the dressing rom .,What is someone changing in?,C,at a white target,Two little girls,the dressing rom,to a horse,None of the above
Asian person holding a white porcelain Asian figurine of a woman holding a fan .,Who is holding something?,A,Asian person,behind a woman playing a violin and eyeing sheet music,An African family,give one another a high - five,None of the above
Asian person holding a white porcelain Asian figurine of a woman holding a fan .,What is someone holding?,B,A person with gray hair,a white porcelain Asian figurine,A black and tan dog,with cubes on the floor,None of the above
Asian person holding a white porcelain Asian figurine of a woman holding a fan .,Who is holding something?,A,a woman,All,you,in her underwear,None of the above
Asian person holding a white porcelain Asian figurine of a woman holding a fan .,What is someone holding?,D,out of a hole,the goal post,a giant rock,a fan,None of the above
A person is reaching out of a window in a high rise to pull on a rope pulley .,Who is reaching?,A,A person,in the background,with a crowd and a brick building in the background,with hands,None of the above
A person is reaching out of a window in a high rise to pull on a rope pulley .,Where is someone reaching?,C,a purple shirt,a large rope,out of a window,a mannequin,None of the above
A person is reaching out of a window in a high rise to pull on a rope pulley .,What is someone reaching into?,B,a big event,a window,a sailboat,the dog 's touch,None of the above
A person is reaching out of a window in a high rise to pull on a rope pulley .,How is someone reaching somewhere?,D,at the dock,during swimming lessons,his opponent,in a high rise,None of the above
A person is reaching out of a window in a high rise to pull on a rope pulley .,Why is someone reaching somewhere?,A,to pull on a rope pulley,a fantastic jump,A woman and her saint bernard dog,A farm woman,None of the above
A person is reaching out of a window in a high rise to pull on a rope pulley .,Who pulls on something?,D,Old woman,outside of a building,while playing the board game Clue,A person,None of the above
A person is reaching out of a window in a high rise to pull on a rope pulley .,What does someone pull on?,B,on a white piece of paper,a rope pulley,using a jigsaw cutting machine,a loveseat,None of the above
A man in a yellow shirt is standing in the sidewalk measuring .,Who is standing somewhere?,B,racing up quickly from behind,A man,A newborn boy,an Asian man,None of the above
A man in a yellow shirt is standing in the sidewalk measuring .,Who is standing?,A,A man in a yellow shirt,through water,a flower,a grassy field,None of the above
A man in a yellow shirt is standing in the sidewalk measuring .,Where is someone standing?,B,down the road,in the sidewalk measuring,A helicopter,face and head,None of the above
A woman holding a broom in a small bathroom ; another woman is right outside the door speaking with her .,Who is holding something?,B,A woman and her saint bernard dog,A woman,the thief,showing the color spectrum,None of the above
A woman holding a broom in a small bathroom ; another woman is right outside the door speaking with her .,What is someone holding?,D,by a candle,a safari hunter,his metal detector,a broom,None of the above
A woman holding a broom in a small bathroom ; another woman is right outside the door speaking with her .,Where is someone holding something?,B,A small child,in a small bathroom,A man with a yellow shirt and blue jeans,a newspaper,None of the above
A woman holding a broom in a small bathroom ; another woman is right outside the door speaking with her .,Who is speaking?,B,a woman in red and black striped pants,another woman,at their residence in texas,with a lease,None of the above
A woman holding a broom in a small bathroom ; another woman is right outside the door speaking with her .,Where is someone speaking?,D,with great interest,A cat,many people,outside the door,None of the above
A street performer on stilts walks on the stone tiles and discovers the thief escaping with the suitcase .,Who discovers something?,A,A street performer,to no avail,on a locker 's lock,along a river,None of the above
A street performer on stilts walks on the stone tiles and discovers the thief escaping with the suitcase .,Who does someone discover?,B,A girl and her fiancee,the thief,a computer screen,over white robes,None of the above
A street performer on stilts walks on the stone tiles and discovers the thief escaping with the suitcase .,What does someone discover?,B,the camera,the thief escaping with the suitcase,a glare,""" Come on now , what 's gayer than tea """,None of the above
A street performer on stilts walks on the stone tiles and discovers the thief escaping with the suitcase .,Who is escaping?,A,the thief,Yong man with cellphone and goatee,a red public bench,a group of children,None of the above
A street performer on stilts walks on the stone tiles and discovers the thief escaping with the suitcase .,How is someone escaping?,C,to be served,to be holding a piece of electrical conduit,with the suitcase,An Asian woman,None of the above
A street performer on stilts walks on the stone tiles and discovers the thief escaping with the suitcase .,What is someone escaping with?,C,in shining armor,from above,the suitcase,to search for a certain piece of fabric suspended above him,None of the above
An elderly man sits on a stool robed in off - white,Who sits somewhere?,C,An older man,as Customers decide what is the healthiest option,An elderly man,with her hand outstretched,None of the above
An elderly man sits on a stool robed in off - white,Where does someone sit?,B,a queue,on a stool,Man and woman and others,A black man with gray hair,None of the above
An elderly man sits on a stool robed in off - white,What does someone sit on?,A,a stool,A person ski,a man and a woman,a dropper,None of the above
An elderly man sits on a stool robed in off - white,What is robed?,C,the ruts in the trail,a disc,a stool,a man 's hand,None of the above
"A teenage girl in blue is holding a piece of paper that says , "" Dreams , "" with another person .",Who is holding something?,C,a food booth,a road,A teenage girl,A drummer,None of the above
"A teenage girl in blue is holding a piece of paper that says , "" Dreams , "" with another person .",What is someone holding?,D,to bud,on his bicycle,away,a piece of paper,None of the above
"A teenage girl in blue is holding a piece of paper that says , "" Dreams , "" with another person .",What says something?,C,A clown,a hand,a piece of paper,on the boardwalk,None of the above
"A teenage girl in blue is holding a piece of paper that says , "" Dreams , "" with another person .",What does something say?,C,to a horse,a rapid body of water,""" Dreams , "" with another person",along a wall,None of the above
"A man , standing amongst many people , is wearing a red shirt and a kilt - like ensemble .",Who is standing?,D,a white turtleneck,while at the zoo,to find something worthy of a photo,A man,None of the above
"A man , standing amongst many people , is wearing a red shirt and a kilt - like ensemble .",Where is someone standing?,D,for money,A young boy and girl,give the impression that he is yelling,amongst many people,None of the above
"A man , standing amongst many people , is wearing a red shirt and a kilt - like ensemble .",Who is wearing something?,D,his bike,while a large straw hat protects her from the sun 's rays,on a sidewalk,A man,None of the above
"A man , standing amongst many people , is wearing a red shirt and a kilt - like ensemble .",What is someone wearing?,B,near a red car,a red shirt and a kilt - like ensemble,after a brief ride,An Asian man wearing a graphic T - shirt,None of the above
An old gray - haired man demonstrates a vegetable peeler on a carrot .,Who demonstrates something?,C,to get a puck to go their way,the singer,An old gray - haired man,on an escalator,None of the above
An old gray - haired man demonstrates a vegetable peeler on a carrot .,What does someone demonstrate?,A,a vegetable peeler,a black tassel,a large tree trunk,sauce,None of the above
An old gray - haired man demonstrates a vegetable peeler on a carrot .,Where does someone demonstrate something?,A,on a carrot,A woman in white,to hurry up,among a bounty of food,None of the above
An old gray - haired man demonstrates a vegetable peeler on a carrot .,What does someone demonstrate something on?,C,on a nice sunny day,a cigarette,a carrot,on a city sidewalk,None of the above
A man wearing glasses is looking at an electronic device wile holding a lollipop .,Who is wearing something?,A,A man,a large foyer,through a thicket,the virtues of one of her paper lamps,None of the above
A man wearing glasses is looking at an electronic device wile holding a lollipop .,Who is looking?,A,A man,the man closet to the camera,a blond child,The man,None of the above
A man wearing glasses is looking at an electronic device wile holding a lollipop .,What is someone looking at?,A,an electronic device,The nurse,an Audi and truck,with an ear thermometer,None of the above
A man wearing glasses is looking at an electronic device wile holding a lollipop .,What is something holding?,D,the drums,a little girl,a stove,a lollipop,None of the above
A worker is carrying plywood for a construction project .,Who is carrying something?,C,a lab test,a ladder,A worker,a hose,None of the above
A worker is carrying plywood for a construction project .,Why is someone carrying something?,B,an escalator,for a construction project,some bike maintenance,in a restaurant,None of the above
A worker is carrying plywood for a construction project .,What is someone carrying something for?,C,the carpet,over a tuft of grass,a construction project,the procedures of the project,None of the above
This young girl is enjoying the innocence of childhood and warm weather .,Who is enjoying something?,A,This young girl,next to a dirt road,in front of a gentleman,A mean looking dog,None of the above
This young girl is enjoying the innocence of childhood and warm weather .,What is someone enjoying?,A,the innocence of childhood and warm weather,by a solicitor,a picture of another woman,The girl in plaid,None of the above
A boy plays within the path of a large outdoor meditation labyrinth .,Who plays somewhere?,C,A young female basketball player,on the rocks,A boy,to catch a tennis ball,None of the above
A boy plays within the path of a large outdoor meditation labyrinth .,Where does someone play?,A,within the path of a large outdoor meditation labyrinth,a baby crocodile,"modern , rectangular glasses with black rims",A young man in an orange vest holding a shotgun,None of the above
Greyhound running on track with blue vest with a white numeral two .,Where is something being greyhounded?,C,to be celebrating for a cause,a patient 's mouth,on track,a red sports shirt,None of the above
Greyhound running on track with blue vest with a white numeral two .,How is something running?,D,all great,a fire hydrant,""" Come on now , what 's gayer than tea """,on track,None of the above
Greyhound running on track with blue vest with a white numeral two .,What is being greyhounded?,B,the steps,running on track,at a pep rally,in a boxing match,None of the above
A man working at a lathe in a woodworking shop .,Who is working?,B,in a city square,A man,a garter,at the dock,None of the above
A man working at a lathe in a woodworking shop .,Where was someone working?,B,with a lease,at a lathe,a clear beverage,at a swanky venue,None of the above
A man working at a lathe in a woodworking shop .,What is someone working at?,A,a lathe,through a ravine,a lollipop,holding a quill,None of the above
A man hunts for treasure on the beach using his metal detector .,Who hunts for something?,D,to ride with an american flag,from the states,walking down the street,A man,None of the above
A man hunts for treasure on the beach using his metal detector .,Where does someone hunt for something?,B,for a construction project,on the beach,in either theatrical or historical attire,girl,None of the above
A man hunts for treasure on the beach using his metal detector .,How does someone hunt for something?,C,A man holding a baby and an older child,A small white and tan dog,using his metal detector,as the photographer captures her agility,None of the above
A man hunts for treasure on the beach using his metal detector .,Who is using something?,D,behind a plane,A group of older people,with a toy train,A man,None of the above
A man hunts for treasure on the beach using his metal detector .,Where is someone using something?,A,on the beach,on charcoal,Two men in life jackets,The girl in plaid,None of the above
A man hunts for treasure on the beach using his metal detector .,What is someone using?,C,a crust of bread,A pair of athletes,his metal detector,its face,None of the above
Cops asking a tow truck man some questions .,Who does someone aske something?,D,a doorstep,in a small bathroom,the desert,a tow truck man,None of the above
Cops asking a tow truck man some questions .,What is someone asked?,B,one another a high - five,some questions,A young and old Hindu,another participant,None of the above
A soldier getting an award for his long commitment as a captain in the united states arm .,Who is getting something?,D,another red crustacean,a queue,a red checkered shirt,A soldier,None of the above
A soldier getting an award for his long commitment as a captain in the united states arm .,What did someone get?,B,A team of players,an award,for a possible event,Staff and youth,None of the above
A soldier getting an award for his long commitment as a captain in the united states arm .,Why is someone getting something?,D,with some sort of meat on it,A group of older people,Three girls,for his long commitment as a captain in the united states arm,None of the above
A person bungee jumping with the coordinator watching from above .,Who is jumping?,B,a yellow t - shirt shirt,A person,"in a narrow , snowy passageway between two sets of trees",a locomotive,None of the above
A person bungee jumping with the coordinator watching from above .,Who is someone jumping with?,D,a white target,a pharaoh 's headdress,next to a loaf of bread,with the coordinator,None of the above
A person bungee jumping with the coordinator watching from above .,Who is watching?,D,Two young girls,in black and brown,in front of a microphone,the coordinator,None of the above
A person bungee jumping with the coordinator watching from above .,Where is someone watching?,D,a small wooden bucket,with a lease,his eyebrow raised,from above,None of the above
"A man dressed as "" Teen Wolf "" hugs a woman made up like a vampire .",Who was dressed?,B,part in a religious Buddhist tradition,A man,on a shopping cart,a black tassel,None of the above
"A man dressed as "" Teen Wolf "" hugs a woman made up like a vampire .",How was someone dressed?,D,ride with an american flag,in normal clothes,from the WWII era,"as "" Teen Wolf """,None of the above
"A man dressed as "" Teen Wolf "" hugs a woman made up like a vampire .",What was someone dressed as?,C,a middle - aged man,A little baby,""" Teen Wolf ""","a "" your daily cup "" t - shirt",None of the above
"A man dressed as "" Teen Wolf "" hugs a woman made up like a vampire .",Who hugs someone?,B,for a cause,A man,inside a room,off a ramp,None of the above
"A man dressed as "" Teen Wolf "" hugs a woman made up like a vampire .",Who does someone hug?,C,Welcome To Golden,a huge gulp of air,a woman,A girl and her fiancee,None of the above
"A man dressed as "" Teen Wolf "" hugs a woman made up like a vampire .",Who is made of something?,A,a woman,at a white target,a parade,with a horse and wagon,None of the above
"A man dressed as "" Teen Wolf "" hugs a woman made up like a vampire .",What is someone made of?,A,like a vampire,with a plethora of nicely dressed people behind them,This 70 's style fashion statement,to the bannister,None of the above
The skateboarder prepares to wipeout .,Who prepares to do something?,C,in front of a gentleman,in a field,The skateboarder,to the back of it,None of the above
The skateboarder prepares to wipeout .,What does someone prepare?,C,across the shore,Woman with yellow button up shirt and jeans,to wipeout,a pencil and a dictionary,None of the above
A toddler wearing an Elmo t - shirt is standing in Santa 's sleigh .,Who is wearing something?,B,at a Hawaiian resort,A toddler,at a local pub,with a chainsaw,None of the above
A toddler wearing an Elmo t - shirt is standing in Santa 's sleigh .,What did someone wear?,A,an Elmo t - shirt,a break from boating,Men,out of a window,None of the above
A toddler wearing an Elmo t - shirt is standing in Santa 's sleigh .,Who is standing somewhere?,D,playing a sitar for money,a lease,on a rooftop,A toddler,None of the above
A toddler wearing an Elmo t - shirt is standing in Santa 's sleigh .,What is standing?,D,from the states,the use of their rifles,in a blue and white kayak,A toddler wearing an Elmo t - shirt,None of the above
A toddler wearing an Elmo t - shirt is standing in Santa 's sleigh .,Where is someone standing?,A,in Santa 's sleigh,Two children,the nozzle of a vacuum cleaner,a rubber raft,None of the above
A toddler wearing an Elmo t - shirt is standing in Santa 's sleigh .,What is someone standing in?,C,to the street,in blue,Santa 's sleigh,A group of patrons,None of the above
A young man in a yellow and orange bathing suit squatting on a rocky protuberance overlooking the water .,Who is squatting somewhere?,D,red,a blond child,a medical seminar,A young man,None of the above
A young man in a yellow and orange bathing suit squatting on a rocky protuberance overlooking the water .,Who is squatting?,D,in a fetal position,down a dirt road,a black and white hat,A young man in a yellow and orange bathing suit,None of the above
A young man in a yellow and orange bathing suit squatting on a rocky protuberance overlooking the water .,What is something overlooking?,B,in port,the water,A farm woman,three men,None of the above
A man in a black shirt is cooking out of a cookbook in a cluttered kitchen .,Who is cooking?,B,a goal kick,A man,tell me why my music sucks,the road,None of the above
A man in a black shirt is cooking out of a cookbook in a cluttered kitchen .,How is someone cooking?,B,"in a beautiful pink , jewel encrusted outfit and makeup",out of a cookbook,a lampshade,something to eat,None of the above
A man in a black shirt is cooking out of a cookbook in a cluttered kitchen .,What is someone cooking into?,A,a cookbook,a dropper,A boy,a checked scarf,None of the above
A man in a black shirt is cooking out of a cookbook in a cluttered kitchen .,Where is someone cooking something?,D,next to a police cruiser,their destination,a bike,in a cluttered kitchen,None of the above
"A street market where goods of fruit and vegetables are being sold by three men , one wearing a long - sleeve white shirt and checked bottoms , the next wearing a yellow shirt with green checkered bottoms , and the last in red .",What is sold?,C,now,at a Hawaiian resort,A street market,for his appointment,None of the above
"A street market where goods of fruit and vegetables are being sold by three men , one wearing a long - sleeve white shirt and checked bottoms , the next wearing a yellow shirt with green checkered bottoms , and the last in red .",Who is something sold by?,C,"something important , gems , gold or other sort",to an agreement,three men,the drums,None of the above
"A street market where goods of fruit and vegetables are being sold by three men , one wearing a long - sleeve white shirt and checked bottoms , the next wearing a yellow shirt with green checkered bottoms , and the last in red .",What is someone wearing?,B,The gal in the yellow hard hat,a long - sleeve white shirt and checked bottoms,a graphic T - shirt,so hard that it sends clumps of dirt and grass flying,None of the above
"A street market where goods of fruit and vegetables are being sold by three men , one wearing a long - sleeve white shirt and checked bottoms , the next wearing a yellow shirt with green checkered bottoms , and the last in red .",What is being worn?,A,a yellow shirt,the stuffed panda bears,A young child,a movie starlet,None of the above
